calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,39.16,14.2,74.25,328.21,325.63,334.89,24.31,23.1,25.5,79.35,73.0,85.0,16.3,32.3
2,2,Feb,45.48,18.35,80.7,307.85,304.68,312.87,24.31,23.2,25.3,78.39,73.0,83.0,15.1,31.8
3,3,Mar,59.35,15.0,103.5,354.48,348.57,358.95,24.76,23.7,26.0,76.68,71.0,82.0,16.1,33.4
4,4,Apr,83.94,19.85,145.75,352.99,343.07,359.61,25.55,24.4,26.7,77.88,72.0,84.0,17.7,33.3
5,5,May,116.16,79.15,156.05,353.16,330.51,371.47,26.25,25.15,27.4,80.2,74.0,86.0,17.9,33.5
6,6,Jun,116.72,27.8,187.8,340.39,309.36,356.57,26.99,25.8,28.01,79.37,73.0,86.0,20.9,36.0
7,7,Jul,130.7,21.8,225.75,367.81,344.23,386.34,27.3,26.2,28.4,78.88,72.0,85.0,20.7,35.0
8,8,Aug,132.28,71.95,208.1,353.18,337.61,369.46,27.3,26.3,28.5,80.53,73.0,86.0,21.2,35.1
9,9,Sep,153.06,52.9,213.7,330.53,309.8,351.87,26.89,25.9,28.0,82.95,77.0,88.1,20.4,33.7
10,10,Oct,176.58,102.65,267.25,321.39,291.33,339.04,26.14,25.1,27.2,85.11,80.0,90.0,20.0,33.1
11,11,Nov,126.38,36.4,261.2,298.46,250.55,319.44,25.26,24.3,26.4,83.84,78.0,89.0,18.7,32.2
12,12,Dec,60.59,23.25,83.95,314.85,304.66,322.08,24.62,23.3,25.9,81.56,77.0,86.0,17.4,30.9
