calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,40.4,27.3,52.6,79.04,54.19,91.9,-3.25,-11.45,2.5,84.98,75.0,94.0,-25.1,13.5
2,2,Feb,36.61,17.25,57.35,119.31,92.77,155.48,-2.32,-10.8,3.6,82.19,71.0,92.9,-31.0,11.8
3,3,Mar,38.51,15.1,68.25,216.0,175.62,251.46,2.55,-4.4,8.65,75.08,60.5,89.0,-20.7,23.3
4,4,Apr,48.32,28.5,88.5,285.42,232.08,330.73,9.5,4.19,15.01,67.8,52.0,86.0,-5.1,26.9
5,5,May,64.47,21.4,114.2,352.2,305.48,394.9,15.62,10.55,20.45,64.92,48.0,82.0,1.3,29.7
6,6,Jun,64.38,28.45,112.7,403.51,384.38,421.89,20.44,16.2,24.5,64.1,50.0,78.1,5.7,34.6
7,7,Jul,74.01,44.2,120.45,400.75,370.86,432.06,21.72,17.7,25.5,66.68,53.0,80.0,10.0,35.9
8,8,Aug,44.28,15.35,77.65,367.13,324.16,399.87,21.1,16.7,25.3,64.36,50.0,79.0,8.9,36.2
9,9,Sep,41.67,14.95,68.55,276.83,217.71,313.4,15.68,10.4,20.4,68.38,54.0,84.1,1.3,33.3
10,10,Oct,49.13,9.35,79.45,187.99,126.3,245.52,8.86,3.8,13.7,77.61,64.0,90.0,-5.0,23.6
11,11,Nov,46.24,17.85,81.45,89.94,60.67,119.49,3.7,-1.9,9.11,84.55,74.0,94.0,-13.7,17.8
12,12,Dec,55.63,32.55,85.45,66.52,44.24,101.28,-0.72,-6.6,4.45,87.17,75.0,96.0,-19.7,12.6
