time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,0.0,74,35513.43,19.6,17.9,21.8,9.864841666666667,1
2010-01-02,0.0,76,35329.04,18.6,15.7,21.9,9.813622222222222,1
2010-01-03,0.0,76,34862.16,18.3,14.2,22.3,9.683933333333334,1
2010-01-04,0.0,73,35057.58,19.1,15.0,23.0,9.738216666666666,1
2010-01-05,0.0,73,33560.23,18.9,15.3,23.1,9.322286111111111,1
2010-01-06,0.0,66,35655.68,19.5,16.5,22.7,9.904355555555556,1
2010-01-07,0.0,64,35690.68,19.3,15.1,22.5,9.914077777777777,1
2010-01-08,0.0,66,35727.94,19.4,17.3,22.5,9.924427777777778,1
2010-01-09,0.0,77,35767.36,18.8,15.2,22.6,9.935377777777777,1
2010-01-10,0.0,76,35808.87,19.2,15.1,23.1,9.946908333333335,1
2010-01-11,0.0,74,34965.44,19.3,15.5,23.3,9.712622222222222,1
2010-01-12,0.0,70,35897.78,18.5,14.3,22.8,9.971605555555556,1
2010-01-13,0.0,57,35945.01,20.7,17.4,24.5,9.984725000000001,1
2010-01-14,0.0,62,35993.98,18.9,16.5,22.6,9.998327777777778,1
2010-01-15,0.0,63,36044.6,19.2,17.1,21.7,10.01238888888889,1
2010-01-16,0.0,75,34466.96,19.4,15.4,22.6,9.574155555555555,1
2010-01-17,0.0,62,36150.47,20.1,14.6,24.5,10.041797222222222,1
2010-01-18,0.0,56,36205.55,19.8,14.2,24.9,10.057097222222223,1
2010-01-19,0.0,56,36261.95,19.7,14.0,24.5,10.072763888888888,1
2010-01-20,0.0,68,36319.59,19.1,15.0,22.8,10.088774999999998,1
2010-01-21,0.0,67,36378.39,20.0,15.5,24.5,10.105108333333334,1
2010-01-22,1.0,74,36438.27,21.9,19.9,25.5,10.121741666666665,1
2010-01-23,1.3,68,35758.82,19.5,17.6,21.7,9.933005555555555,1
2010-01-24,0.0,58,36560.96,18.4,17.0,20.2,10.155822222222222,1
2010-01-25,0.0,66,36623.62,18.2,16.1,20.7,10.173227777777779,1
2010-01-26,0.0,71,36687.54,18.2,15.2,21.7,10.190983333333334,1
2010-01-27,0.3,74,36185.71,18.9,15.0,23.7,10.05158611111111,1
2010-01-28,0.0,66,36820.36,19.3,15.8,23.1,10.227877777777778,1
2010-01-29,0.0,68,36889.07,19.3,15.7,22.4,10.246963888888889,1
2010-01-30,0.0,72,36959.16,19.0,15.8,22.1,10.266433333333334,1
2010-01-31,0.0,73,37030.55,20.0,18.0,22.4,10.28626388888889,1
2010-02-01,0.2,78,37103.14,20.1,16.2,22.9,10.306427777777778,2
2010-02-02,7.0,77,8661.42,19.1,17.4,21.6,2.40595,2
2010-02-03,0.2,73,37251.51,18.2,15.7,21.0,10.347641666666668,2
2010-02-04,0.0,73,37327.1,18.1,15.1,21.1,10.368638888888889,2
2010-02-05,0.0,69,37403.5,19.0,15.2,22.7,10.389861111111111,2
2010-02-06,0.0,63,37480.61,18.9,14.0,23.8,10.411280555555555,2
2010-02-07,0.0,68,37558.36,18.6,14.4,22.3,10.432877777777778,2
2010-02-08,0.0,63,37636.65,18.4,14.7,21.6,10.454625,2
2010-02-09,0.0,67,27632.3,19.7,16.1,22.3,7.675638888888889,2
2010-02-10,3.8,70,0.0,18.2,16.9,19.5,0.0,2
2010-02-11,0.0,64,37873.93,17.3,15.3,19.4,10.520536111111111,2
2010-02-12,0.0,65,31556.41,18.9,16.6,20.8,8.765669444444445,2
2010-02-13,0.0,65,38033.3,20.4,17.7,23.5,10.564805555555557,2
2010-02-14,0.0,74,38113.11,19.8,16.0,23.1,10.586975,2
2010-02-15,0.0,68,38193.16,20.4,16.1,24.1,10.609211111111112,2
2010-02-16,0.0,64,38274.1,20.7,16.1,24.3,10.631694444444443,2
2010-02-17,0.0,68,38355.93,20.8,17.2,24.4,10.654425,2
2010-02-18,0.0,69,38438.57,20.4,16.5,24.0,10.677380555555555,2
2010-02-19,0.0,68,38521.91,20.2,14.2,24.7,10.700530555555556,2
2010-02-20,0.0,51,38605.88,20.2,15.5,25.1,10.723855555555556,2
2010-02-21,0.0,61,38690.41,19.2,15.6,22.7,10.747336111111112,2
2010-02-22,0.0,60,38775.41,19.4,15.3,23.2,10.770947222222222,2
2010-02-23,0.0,62,38860.82,18.7,16.6,21.0,10.794672222222221,2
2010-02-24,0.0,60,38946.53,19.5,17.7,22.0,10.818480555555555,2
2010-02-25,0.0,48,39032.51,20.5,15.9,24.7,10.84236388888889,2
