time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,0.0,78,22822.49,-0.8,-3.7,1.4,6.339580555555556,1
2010-01-02,0.1,87,23413.39,-1.2,-3.9,2.8,6.503719444444444,1
2010-01-03,0.8,86,23392.31,-1.7,-5.6,-0.2,6.497863888888889,1
2010-01-04,0.0,86,23379.87,-3.4,-6.3,0.1,6.494408333333333,1
2010-01-05,0.0,91,23026.38,-1.8,-4.0,1.3,6.396216666666667,1
2010-01-06,0.7,85,4239.15,-3.1,-4.5,-1.4,1.1775416666666665,1
2010-01-07,0.6,84,22616.02,-4.2,-5.9,-1.6,6.282227777777778,1
2010-01-08,0.0,83,24016.56,-4.9,-6.5,-1.9,6.671266666666667,1
2010-01-09,0.2,77,153.86,-2.5,-4.5,-0.8,0.042738888888888896,1
2010-01-10,0.0,80,13988.54,-1.2,-2.4,0.2,3.885705555555556,1
2010-01-11,0.0,86,6234.09,-2.6,-5.3,0.2,1.7316916666666666,1
2010-01-12,0.0,84,0.0,-0.3,-1.4,1.0,0.0,1
2010-01-13,1.6,86,0.0,0.1,-1.1,1.7,0.0,1
2010-01-14,0.0,93,20678.39,2.3,-0.7,6.0,5.743997222222222,1
2010-01-15,0.0,94,9704.22,1.3,-1.6,5.6,2.6956166666666665,1
2010-01-16,8.5,92,0.0,2.7,1.1,4.8,0.0,1
2010-01-17,4.2,90,26085.54,5.8,2.3,8.1,7.245983333333333,1
2010-01-18,0.3,96,3728.89,3.5,-0.5,7.6,1.0358027777777778,1
2010-01-19,0.0,96,1289.7,4.4,3.2,5.6,0.35825,1
2010-01-20,1.1,91,0.0,2.6,1.1,3.5,0.0,1
2010-01-21,0.0,92,310.34,2.2,0.9,4.2,0.08620555555555555,1
2010-01-22,0.2,88,14737.72,3.8,1.5,6.8,4.093811111111111,1
2010-01-23,8.8,90,0.0,3.7,2.1,4.5,0.0,1
2010-01-24,2.1,95,0.0,3.1,1.8,5.5,0.0,1
2010-01-25,0.0,90,2984.27,0.9,-0.6,2.4,0.8289638888888888,1
2010-01-26,0.0,73,25805.4,-1.9,-4.5,-0.1,7.168166666666667,1
2010-01-27,1.0,68,6738.32,-2.2,-5.9,3.3,1.8717555555555554,1
2010-01-28,1.0,89,26027.53,3.2,1.6,4.7,7.229869444444444,1
2010-01-29,9.0,92,0.0,2.8,0.3,4.0,0.0,1
2010-01-30,0.5,74,28564.23,0.0,-1.6,2.3,7.9345083333333335,1
2010-01-31,0.0,79,28697.55,0.1,-2.6,3.7,7.971541666666666,1
2010-02-01,0.4,79,28797.53,0.7,-1.3,3.6,7.999313888888889,2
2010-02-02,7.5,90,0.0,2.8,-1.3,7.0,0.0,2
2010-02-03,2.2,92,552.35,4.3,2.9,6.7,0.15343055555555557,2
2010-02-04,0.7,90,17615.01,5.9,3.9,8.6,4.893058333333333,2
2010-02-05,5.9,87,12683.64,6.1,3.4,9.5,3.523233333333333,2
2010-02-06,0.0,90,28801.48,4.6,1.8,8.7,8.000411111111111,2
2010-02-07,0.6,85,3572.81,3.6,2.6,4.8,0.9924472222222223,2
2010-02-08,2.4,91,5023.29,1.8,-0.8,4.2,1.3953583333333333,2
