month,day,avg_accumulated_precipitation,years_sampled
1,1,2.59,15
1,2,5.69,15
1,3,9.75,15
1,4,12.2,15
1,5,13.6,15
1,6,14.94,15
1,7,16.72,15
1,8,19.39,15
1,9,21.09,15
1,10,22.47,15
1,11,23.28,15
1,12,27.08,15
1,13,30.07,15
1,14,34.41,15
1,15,37.45,15
1,16,40.29,15
1,17,42.09,15
1,18,44.09,15
1,19,45.53,15
1,20,47.66,15
1,21,49.22,15
1,22,50.83,15
1,23,52.67,15
1,24,54.15,15
1,25,54.77,15
1,26,56.22,15
1,27,58.73,15
1,28,60.99,15
1,29,63.88,15
1,30,67.15,15
1,31,68.48,15
2,1,71.93,15
2,2,74.75,15
2,3,76.63,15
2,4,78.0,15
2,5,79.43,15
2,6,81.71,15
2,7,84.99,15
2,8,87.75,15
2,9,90.58,15
2,10,93.61,15
2,11,95.11,15
2,12,95.71,15
2,13,97.32,15
2,14,98.98,15
2,15,100.42,15
2,16,102.15,15
2,17,102.63,15
2,18,104.35,15
2,19,105.93,15
2,20,108.61,15
2,21,109.51,15
2,22,111.99,15
2,23,114.08,15
2,24,115.97,15
2,25,117.71,15
2,26,120.41,15
2,27,122.34,15
2,28,124.99,15
2,29,125.59,4
3,1,127.46,15
3,2,129.39,15
3,3,131.26,15
3,4,134.69,15
3,5,138.94,15
3,6,140.21,15
3,7,142.93,15
3,8,146.23,15
3,9,149.15,15
3,10,151.47,15
3,11,153.61,15
3,12,155.82,15
3,13,157.22,15
3,14,159.04,15
3,15,160.7,15
3,16,161.71,15
3,17,163.07,15
3,18,164.88,15
3,19,165.39,15
3,20,166.84,15
3,21,168.19,15
3,22,168.98,15
3,23,170.37,15
3,24,171.52,15
3,25,172.92,15
3,26,174.53,15
3,27,176.19,15
3,28,177.73,15
3,29,179.58,15
3,30,181.45,15
3,31,183.5,15
4,1,184.63,15
4,2,186.54,15
4,3,188.28,15
4,4,190.48,15
4,5,190.94,15
4,6,191.77,15
4,7,194.33,15
4,8,195.29,15
4,9,197.48,15
4,10,199.38,15
4,11,200.49,15
4,12,202.57,15
4,13,203.23,15
4,14,203.75,15
4,15,205.61,15
4,16,206.47,15
4,17,207.07,15
4,18,207.86,15
4,19,208.6,15
4,20,209.57,15
4,21,210.44,15
4,22,211.12,15
4,23,212.24,15
4,24,214.01,15
4,25,215.82,15
4,26,217.53,15
4,27,219.05,15
4,28,222.31,15
4,29,224.01,15
4,30,226.61,15
5,1,229.09,15
5,2,232.0,15
5,3,233.27,15
5,4,235.42,15
5,5,236.75,15
5,6,237.74,15
5,7,238.79,15
5,8,240.54,15
5,9,242.35,15
5,10,245.34,15
5,11,247.39,15
5,12,248.89,15
5,13,250.17,15
5,14,251.79,15
5,15,254.19,15
5,16,255.76,15
5,17,257.08,15
5,18,259.33,15
5,19,262.04,15
5,20,264.75,15
5,21,266.83,15
5,22,269.89,15
5,23,272.39,15
5,24,274.14,15
5,25,274.46,15
5,26,277.62,15
5,27,278.69,15
5,28,280.24,15
5,29,283.04,15
5,30,285.41,15
5,31,287.87,15
6,1,288.44,15
6,2,288.69,15
6,3,289.99,15
6,4,293.29,15
6,5,295.44,15
6,6,298.1,15
6,7,300.65,15
6,8,302.96,15
6,9,304.09,15
6,10,306.9,15
6,11,307.85,15
6,12,308.87,15
6,13,309.87,15
6,14,310.67,15
6,15,312.4,15
6,16,313.86,15
6,17,315.21,15
6,18,322.19,15
6,19,325.26,15
6,20,331.51,15
6,21,334.22,15
6,22,336.47,15
6,23,337.67,15
6,24,339.44,15
6,25,340.67,15
6,26,341.6,15
6,27,343.11,15
6,28,344.87,15
6,29,347.08,15
6,30,349.58,15
7,1,352.03,15
7,2,352.52,15
7,3,353.15,15
7,4,355.03,15
7,5,357.93,15
7,6,360.51,15
7,7,360.91,15
7,8,362.5,15
7,9,365.36,15
7,10,367.29,15
7,11,367.99,15
7,12,371.39,15
7,13,372.82,15
7,14,376.12,15
7,15,378.59,15
7,16,380.36,15
7,17,381.08,15
7,18,381.62,15
7,19,383.12,15
7,20,386.67,15
7,21,387.55,15
7,22,388.31,15
7,23,390.21,15
7,24,392.43,15
7,25,395.17,15
7,26,397.37,15
7,27,402.65,15
7,28,404.87,15
7,29,405.78,15
7,30,406.54,15
7,31,408.34,15
8,1,411.4,15
8,2,414.56,15
8,3,417.65,15
8,4,419.0,15
8,5,421.47,15
8,6,422.56,15
8,7,424.37,15
8,8,426.97,15
8,9,428.91,15
8,10,431.24,15
8,11,432.07,15
8,12,432.88,15
8,13,436.33,15
8,14,438.97,15
8,15,440.68,15
8,16,445.62,15
8,17,449.4,15
8,18,452.69,15
8,19,453.34,15
8,20,455.25,15
8,21,456.24,15
8,22,458.43,15
8,23,460.41,15
8,24,463.56,15
8,25,467.37,15
8,26,471.79,15
8,27,473.89,15
8,28,474.49,15
8,29,475.47,15
8,30,478.55,15
8,31,480.45,15
9,1,481.26,15
9,2,482.07,15
9,3,482.6,15
9,4,484.24,15
9,5,484.93,15
9,6,488.76,15
9,7,489.85,15
9,8,493.01,15
9,9,495.96,15
9,10,497.47,15
9,11,499.6,15
9,12,500.51,15
9,13,502.81,15
9,14,504.67,15
9,15,505.33,15
9,16,507.98,15
9,17,509.94,15
9,18,510.97,15
9,19,511.72,15
9,20,512.48,15
9,21,514.83,15
9,22,517.24,15
9,23,520.69,15
9,24,524.14,15
9,25,526.21,15
9,26,530.0,15
9,27,532.71,15
9,28,533.98,15
9,29,535.79,15
9,30,536.93,15
10,1,541.52,15
10,2,544.95,15
10,3,548.52,15
10,4,551.69,15
10,5,554.41,15
10,6,557.51,15
10,7,558.21,15
10,8,560.27,15
10,9,562.45,15
10,10,563.73,15
10,11,565.23,15
10,12,567.02,15
10,13,570.87,15
10,14,573.37,15
10,15,574.75,15
10,16,577.41,15
10,17,579.96,15
10,18,582.55,15
10,19,585.03,15
10,20,589.16,15
10,21,593.9,15
10,22,594.81,15
10,23,596.41,15
10,24,597.47,15
10,25,599.47,15
10,26,601.67,15
10,27,603.2,15
10,28,605.24,15
10,29,606.87,15
10,30,610.35,15
10,31,611.99,15
11,1,615.37,15
11,2,618.56,15
11,3,621.17,15
11,4,624.81,15
11,5,626.85,15
11,6,629.12,15
11,7,631.23,15
11,8,632.55,15
11,9,634.65,15
11,10,636.65,15
11,11,638.46,15
11,12,640.63,15
11,13,643.56,15
11,14,646.61,15
11,15,648.08,15
