calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,10.96,3.35,19.05,344.03,323.09,372.55,22.09,21.0,23.2,81.89,77.5,86.0,17.5,28.6
2,2,Feb,20.5,6.0,38.0,300.89,284.82,319.05,23.12,21.8,24.4,82.12,76.0,88.0,17.9,28.9
3,3,Mar,20.71,5.15,33.85,330.45,307.05,347.95,22.8,21.3,24.1,82.34,77.0,88.0,17.1,28.9
4,4,Apr,3.69,0.7,7.7,333.81,325.52,341.63,21.24,19.6,22.91,82.54,78.0,87.0,15.4,28.0
5,5,May,0.95,0.0,2.25,329.62,304.78,347.09,19.26,17.4,20.95,82.55,79.0,86.0,13.2,26.5
6,6,Jun,1.03,0.1,2.45,307.66,278.56,325.96,17.86,16.0,19.8,82.04,78.0,85.0,12.1,24.4
7,7,Jul,0.76,0.0,1.75,324.16,294.07,338.96,16.94,15.3,18.7,81.11,77.0,85.0,10.8,23.9
8,8,Aug,0.66,0.2,1.3,325.06,280.99,348.36,16.62,14.9,18.45,80.81,76.0,85.0,11.8,23.5
9,9,Sep,1.15,0.2,2.7,330.22,290.2,354.79,16.99,15.3,18.61,80.83,76.0,85.0,11.7,24.2
10,10,Oct,2.05,0.4,4.55,344.21,311.18,368.54,17.53,15.9,19.3,81.52,77.0,85.0,11.7,25.0
11,11,Nov,1.39,0.2,2.35,336.47,310.55,349.72,18.66,17.2,20.1,80.58,77.0,84.0,13.1,25.1
12,12,Dec,7.37,0.95,15.5,335.42,316.18,358.18,20.31,19.05,21.6,82.18,78.0,86.0,15.7,27.1
