month,day,avg_daytime_temperature,years_sampled
1,1,13.0,16
1,2,13.25,16
1,3,13.17,16
1,4,13.33,16
1,5,12.27,16
1,6,12.0,16
1,7,12.39,16
1,8,11.98,16
1,9,12.89,16
1,10,13.07,16
1,11,12.71,16
1,12,12.26,16
1,13,12.33,16
1,14,12.46,16
1,15,12.65,16
1,16,12.98,16
1,17,12.74,16
1,18,12.37,16
1,19,12.37,16
1,20,12.75,16
1,21,12.94,16
1,22,12.5,16
1,23,12.73,16
1,24,12.77,16
1,25,13.05,16
1,26,13.05,16
1,27,13.03,16
1,28,12.86,16
1,29,12.98,16
1,30,12.89,16
1,31,13.2,16
2,1,12.86,16
2,2,12.75,16
2,3,12.6,16
2,4,12.52,16
2,5,12.97,16
2,6,12.97,16
2,7,12.96,16
2,8,12.63,16
2,9,13.15,16
2,10,12.92,16
2,11,13.31,16
2,12,13.0,16
2,13,13.25,16
2,14,13.54,16
2,15,13.51,16
2,16,13.49,16
2,17,13.44,16
2,18,13.39,16
2,19,13.84,16
2,20,14.21,16
2,21,14.41,16
2,22,14.57,16
2,23,13.97,16
2,24,13.94,16
2,25,14.26,16
2,26,13.48,16
2,27,13.68,16
2,28,13.23,16
2,29,13.88,4
3,1,13.68,16
3,2,13.85,16
3,3,13.62,16
3,4,13.76,16
3,5,13.89,16
3,6,14.32,16
3,7,14.53,16
3,8,14.37,16
3,9,14.72,16
3,10,14.84,16
3,11,15.09,16
3,12,14.42,16
3,13,14.25,16
3,14,14.5,16
3,15,14.86,16
3,16,14.67,16
3,17,14.97,16
3,18,15.24,16
3,19,15.3,16
3,20,14.58,16
3,21,14.5,16
3,22,14.95,16
3,23,14.94,16
3,24,15.23,16
3,25,15.19,16
3,26,15.19,16
3,27,15.88,16
3,28,15.99,16
3,29,15.96,16
3,30,15.61,16
3,31,15.67,16
4,1,15.43,16
4,2,15.6,16
4,3,15.31,16
4,4,15.79,16
4,5,16.22,16
4,6,16.12,16
4,7,16.61,16
4,8,17.0,16
4,9,17.06,16
4,10,16.64,16
4,11,17.21,16
4,12,17.07,16
4,13,17.08,16
4,14,17.49,16
4,15,17.17,16
4,16,17.29,16
4,17,17.65,16
4,18,17.13,16
4,19,16.75,16
4,20,17.01,16
4,21,16.68,16
4,22,16.59,16
4,23,17.33,16
4,24,17.98,16
4,25,17.53,16
4,26,17.22,16
4,27,17.62,16
4,28,17.52,16
4,29,17.01,16
4,30,16.89,16
5,1,17.1,16
5,2,17.95,16
5,3,19.11,16
5,4,18.64,16
5,5,18.1,16
5,6,18.1,16
5,7,18.78,16
5,8,18.81,16
5,9,18.49,16
5,10,18.78,16
5,11,18.88,16
5,12,19.35,16
5,13,19.82,16
5,14,19.19,16
5,15,19.75,16
5,16,20.54,16
5,17,20.32,16
5,18,19.14,16
5,19,19.32,16
5,20,20.19,16
5,21,19.7,16
5,22,19.81,16
5,23,20.66,16
5,24,20.7,16
5,25,20.88,16
5,26,20.5,16
5,27,20.86,16
5,28,21.01,16
5,29,21.14,16
5,30,21.77,16
5,31,22.31,16
6,1,22.17,16
6,2,21.42,16
6,3,20.81,16
6,4,21.01,16
6,5,20.81,16
6,6,20.75,16
6,7,20.93,16
6,8,20.83,16
6,9,20.89,16
6,10,20.44,16
6,11,20.64,16
6,12,21.14,16
6,13,21.36,16
6,14,21.27,16
6,15,21.92,16
6,16,22.37,16
6,17,22.23,16
6,18,21.77,16
6,19,21.8,16
6,20,21.83,16
6,21,21.6,16
6,22,22.25,16
6,23,22.6,16
