month,day,avg_daytime_temperature,years_sampled
1,1,7.34,16
1,2,6.36,16
1,3,6.41,16
1,4,5.85,16
1,5,6.44,16
1,6,5.69,16
1,7,6.25,16
1,8,6.22,16
1,9,6.07,16
1,10,5.69,16
1,11,6.17,16
1,12,6.64,16
1,13,5.81,16
1,14,5.18,16
1,15,5.7,16
1,16,5.28,16
1,17,4.08,16
1,18,3.84,16
1,19,4.22,16
1,20,3.78,16
1,21,3.84,16
1,22,4.92,16
1,23,4.79,16
1,24,5.58,16
1,25,5.7,16
1,26,5.81,16
1,27,6.41,16
1,28,6.43,16
1,29,6.87,16
1,30,5.25,16
1,31,5.62,16
2,1,6.18,16
2,2,7.0,16
2,3,6.25,16
2,4,7.16,16
2,5,6.51,16
2,6,6.46,16
2,7,5.23,16
2,8,5.4,16
2,9,5.74,16
2,10,4.66,16
2,11,4.53,16
2,12,4.96,16
2,13,5.47,16
2,14,6.85,16
2,15,8.12,16
2,16,8.09,16
2,17,8.16,16
2,18,8.06,16
2,19,7.08,16
2,20,8.81,16
2,21,8.59,16
2,22,7.89,16
2,23,7.8,16
2,24,7.78,16
2,25,7.39,16
2,26,7.06,16
2,27,6.34,16
2,28,6.35,16
2,29,7.91,4
3,1,6.58,16
3,2,6.17,16
3,3,6.7,16
3,4,6.41,16
3,5,6.61,16
3,6,7.11,16
3,7,7.34,16
3,8,7.76,16
3,9,9.2,16
3,10,8.98,16
3,11,8.1,16
3,12,8.53,16
3,13,8.63,16
3,14,8.46,16
3,15,9.62,16
3,16,9.33,16
3,17,8.51,16
3,18,8.61,16
3,19,8.78,16
3,20,9.64,16
3,21,9.69,16
3,22,9.45,16
3,23,9.29,16
3,24,9.23,16
3,25,9.19,16
3,26,9.2,16
3,27,9.02,16
3,28,9.67,16
3,29,10.29,16
3,30,10.72,16
3,31,9.77,16
4,1,9.06,16
4,2,9.7,16
4,3,9.88,16
4,4,10.12,16
4,5,10.33,16
4,6,11.21,16
4,7,10.94,16
4,8,11.16,16
4,9,11.04,16
4,10,11.13,16
4,11,11.71,16
4,12,11.53,16
4,13,10.91,16
4,14,11.26,16
4,15,11.53,16
4,16,11.43,16
4,17,11.71,16
4,18,11.4,16
4,19,12.22,16
4,20,12.04,16
4,21,12.34,16
4,22,12.13,16
4,23,12.23,16
4,24,12.33,16
4,25,11.36,16
4,26,10.72,16
4,27,10.91,16
4,28,10.98,16
4,29,11.61,16
4,30,12.24,16
5,1,12.57,16
5,2,12.3,16
5,3,11.32,16
5,4,11.99,16
5,5,12.56,16
5,6,13.22,16
5,7,14.38,16
5,8,14.29,16
5,9,14.63,16
5,10,14.18,16
5,11,13.85,16
5,12,13.66,16
5,13,13.36,16
5,14,12.8,16
5,15,13.31,16
5,16,14.04,16
5,17,14.5,16
5,18,14.55,16
5,19,15.25,16
5,20,15.22,16
5,21,15.61,16
5,22,15.4,16
5,23,14.98,16
5,24,15.47,16
5,25,15.28,16
5,26,15.8,16
5,27,15.57,16
5,28,15.49,16
5,29,15.22,16
5,30,15.56,16
5,31,15.7,16
6,1,16.03,16
6,2,16.78,16
6,3,16.13,16
6,4,15.53,16
6,5,15.53,16
6,6,15.15,16
6,7,15.8,16
6,8,15.91,16
6,9,15.96,16
6,10,16.18,16
6,11,16.74,16
6,12,16.6,16
6,13,17.32,16
6,14,17.59,16
6,15,16.93,16
6,16,17.31,16
6,17,18.02,16
6,18,17.74,16
6,19,17.8,16
6,20,17.7,16
6,21,18.46,16
6,22,17.94,16
6,23,18.59,16
6,24,19.01,16
6,25,19.64,16
6,26,19.25,16
6,27,18.98,16
6,28,18.73,16
6,29,18.35,16
6,30,18.49,16
7,1,19.36,16
7,2,18.17,16
7,3,18.36,16
7,4,18.9,16
7,5,18.95,16
7,6,18.45,16
7,7,18.64,16
7,8,18.96,16
7,9,19.37,16
7,10,19.15,16
7,11,19.19,16
7,12,18.75,16
7,13,18.96,16
7,14,18.83,16
7,15,19.04,16
7,16,20.14,16
7,17,20.89,16
7,18,21.5,16
7,19,21.62,16
7,20,20.18,16
7,21,19.84,16
7,22,20.0,16
7,23,20.62,16
7,24,20.37,16
7,25,20.74,16
7,26,19.98,16
7,27,19.61,16
7,28,18.79,16
7,29,18.9,16
7,30,19.09,16
7,31,19.84,16
8,1,19.81,16
8,2,19.63,16
8,3,20.13,16
8,4,19.11,16
8,5,19.06,16
8,6,19.24,16
8,7,19.69,16
8,8,19.43,16
8,9,19.37,16
8,10,19.6,16
8,11,20.16,16
8,12,20.71,16
8,13,19.65,16
8,14,19.59,16
8,15,19.69,16
8,16,18.48,16
8,17,18.71,16
8,18,18.88,16
8,19,18.73,16
8,20,18.87,16
8,21,19.03,16
8,22,19.41,16
8,23,19.38,16
8,24,18.86,16
8,25,18.68,16
8,26,18.97,16
8,27,18.57,16
8,28,18.68,16
8,29,17.64,16
8,30,17.5,16
8,31,16.88,16
9,1,17.82,16
9,2,18.09,16
9,3,18.7,16
9,4,18.44,16
9,5,18.16,16
9,6,18.22,16
9,7,18.32,16
9,8,17.85,16
9,9,18.08,16
9,10,17.68,16
9,11,17.33,16
9,12,17.15,16
9,13,16.81,16
9,14,17.0,16
9,15,17.15,16
9,16,16.71,16
9,17,16.17,16
9,18,16.58,16
9,19,16.83,16
9,20,17.18,16
9,21,16.22,16
9,22,15.82,16
9,23,15.25,16
9,24,15.73,16
9,25,15.19,16
9,26,15.56,16
9,27,15.31,16
9,28,15.56,16
9,29,15.44,16
9,30,15.18,16
10,1,15.81,16
10,2,15.58,16
10,3,15.06,16
10,4,14.68,16
10,5,15.16,16
10,6,14.28,16
10,7,14.65,16
10,8,14.88,16
10,9,14.68,16
10,10,14.24,16
10,11,14.04,16
10,12,13.24,16
10,13,13.56,16
10,14,12.42,16
10,15,12.73,16
10,16,13.8,16
10,17,13.75,16
10,18,13.32,16
10,19,13.96,16
10,20,13.0,16
10,21,12.69,16
10,22,12.43,16
10,23,13.15,16
10,24,13.17,16
10,25,12.59,16
10,26,12.36,16
10,27,12.1,16
10,28,12.43,16
10,29,12.48,16
10,30,12.09,16
10,31,12.75,16
11,1,12.19,16
11,2,11.13,16
11,3,10.89,16
11,4,10.66,16
11,5,10.61,16
11,6,10.38,16
11,7,11.04,16
11,8,10.07,16
11,9,10.4,16
11,10,10.64,16
11,11,10.75,16
11,12,11.03,16
11,13,10.72,16
11,14,10.69,16
11,15,10.29,16
11,16,9.1,16
11,17,9.1,16
11,18,9.19,16
11,19,7.52,16
11,20,7.55,16
11,21,7.44,16
11,22,8.22,16
11,23,8.07,16
11,24,8.19,16
11,25,7.41,16
11,26,6.89,16
11,27,8.11,16
11,28,6.85,16
11,29,6.77,16
11,30,6.52,16
12,1,6.59,16
12,2,5.47,16
12,3,6.79,16
12,4,5.94,16
12,5,6.36,16
12,6,6.19,16
12,7,7.18,16
12,8,7.1,16
12,9,6.64,16
12,10,6.64,16
12,11,5.95,16
12,12,6.29,16
12,13,5.88,16
12,14,6.5,16
12,15,7.1,16
12,16,7.76,16
12,17,7.01,16
12,18,8.03,16
12,19,7.71,16
12,20,7.37,16
12,21,9.35,16
12,22,8.52,16
12,23,9.12,16
12,24,8.05,16
12,25,7.32,16
12,26,7.02,16
12,27,6.95,16
12,28,7.27,16
12,29,7.21,16
12,30,7.92,16
12,31,8.11,16
