month,day,avg_daytime_temperature,years_sampled
1,1,14.08,16
1,2,14.79,16
1,3,15.08,16
1,4,14.97,16
1,5,15.66,16
1,6,16.11,16
1,7,15.69,16
1,8,15.73,16
1,9,14.85,16
1,10,14.64,16
1,11,14.97,16
1,12,15.1,16
1,13,15.35,16
1,14,15.7,16
1,15,16.2,16
1,16,16.57,16
1,17,16.68,16
1,18,16.48,16
1,19,15.77,16
1,20,15.84,16
1,21,15.43,16
1,22,15.35,16
1,23,15.54,16
1,24,15.86,16
1,25,15.95,16
1,26,15.52,16
1,27,15.99,16
1,28,17.03,16
1,29,16.79,16
1,30,15.79,16
1,31,15.81,16
2,1,16.01,16
2,2,16.15,16
2,3,15.59,16
2,4,15.63,16
2,5,15.47,16
2,6,15.93,16
2,7,16.21,16
2,8,16.4,16
2,9,16.79,16
2,10,16.76,16
2,11,16.84,16
2,12,17.37,16
2,13,17.57,16
2,14,17.8,16
2,15,17.3,16
2,16,17.7,16
2,17,16.64,16
2,18,15.61,16
2,19,15.14,16
2,20,15.42,16
2,21,16.17,16
2,22,16.05,16
2,23,15.74,16
2,24,16.21,16
2,25,16.36,16
2,26,16.24,16
2,27,15.86,16
2,28,16.84,16
2,29,17.68,4
3,1,16.38,16
3,2,16.6,16
3,3,16.55,16
3,4,16.53,16
3,5,16.87,16
3,6,15.47,16
3,7,15.78,16
3,8,16.94,16
3,9,18.45,16
3,10,17.84,16
3,11,17.08,16
3,12,17.91,16
3,13,17.77,16
3,14,18.28,16
3,15,19.28,16
3,16,19.39,16
3,17,18.34,16
3,18,17.34,16
3,19,17.22,16
3,20,17.63,16
3,21,16.95,16
3,22,17.15,16
3,23,17.61,16
3,24,18.08,16
3,25,17.03,16
3,26,16.96,16
3,27,17.89,16
3,28,18.26,16
3,29,18.44,16
3,30,17.91,16
3,31,18.29,16
4,1,18.32,16
4,2,18.05,16
4,3,18.19,16
4,4,18.14,16
4,5,18.46,16
4,6,19.3,16
4,7,19.82,16
4,8,19.92,16
4,9,20.28,16
4,10,20.05,16
4,11,19.24,16
4,12,18.01,16
4,13,17.38,16
4,14,18.21,16
4,15,19.26,16
4,16,19.7,16
4,17,20.01,16
4,18,20.72,16
4,19,20.55,16
4,20,20.58,16
4,21,20.87,16
4,22,19.98,16
4,23,19.88,16
4,24,20.0,16
4,25,20.3,16
4,26,19.99,16
4,27,20.7,16
4,28,21.84,16
4,29,21.96,16
4,30,21.81,16
5,1,21.41,16
5,2,21.92,16
5,3,22.29,16
5,4,21.5,16
5,5,20.27,16
5,6,19.29,16
5,7,19.49,16
5,8,19.6,16
5,9,19.65,16
5,10,19.99,16
5,11,20.83,16
5,12,21.48,16
5,13,22.02,16
5,14,21.3,16
5,15,20.45,16
5,16,20.16,16
5,17,19.4,16
5,18,19.46,16
5,19,20.1,16
5,20,21.08,16
5,21,21.06,16
5,22,19.96,16
5,23,19.29,16
5,24,19.83,16
5,25,20.06,16
5,26,19.96,16
5,27,20.57,16
5,28,20.99,16
5,29,21.49,16
5,30,22.22,16
5,31,21.99,16
6,1,22.31,16
6,2,22.17,16
6,3,22.2,16
6,4,21.7,16
