month,day,avg_accumulated_precipitation,years_sampled
1,1,0.62,16
1,2,1.24,16
1,3,2.2,16
1,4,3.47,16
1,5,8.23,16
1,6,10.15,16
1,7,11.17,16
1,8,12.08,16
1,9,18.14,16
1,10,22.96,16
1,11,23.91,16
1,12,26.6,16
1,13,27.01,16
1,14,31.36,16
1,15,32.69,16
1,16,35.39,16
1,17,38.46,16
1,18,40.54,16
1,19,42.53,16
1,20,47.94,16
1,21,51.05,16
1,22,58.28,16
1,23,60.24,16
1,24,60.85,16
1,25,61.66,16
1,26,63.46,16
1,27,63.61,16
1,28,64.56,16
1,29,66.35,16
1,30,67.39,16
1,31,69.13,16
2,1,71.7,16
2,2,74.88,16
2,3,76.04,16
2,4,80.96,16
2,5,88.36,16
2,6,93.26,16
2,7,95.05,16
2,8,95.16,16
2,9,96.54,16
2,10,97.55,16
2,11,97.86,16
2,12,98.24,16
2,13,101.14,16
2,14,103.64,16
2,15,104.24,16
2,16,104.72,16
2,17,108.39,16
2,18,110.81,16
2,19,114.52,16
2,20,117.65,16
2,21,118.48,16
2,22,118.99,16
2,23,119.93,16
2,24,122.21,16
2,25,126.36,16
2,26,127.97,16
2,27,131.94,16
2,28,136.05,16
2,29,136.11,4
3,1,139.48,16
3,2,143.06,16
3,3,143.79,16
3,4,144.66,16
3,5,146.38,16
3,6,150.74,16
3,7,151.73,16
3,8,152.38,16
3,9,152.39,16
3,10,156.78,16
3,11,158.89,16
3,12,160.4,16
3,13,163.5,16
3,14,166.26,16
3,15,170.24,16
3,16,171.11,16
3,17,172.98,16
3,18,173.02,16
3,19,173.65,16
3,20,177.99,16
3,21,182.61,16
3,22,186.98,16
3,23,188.82,16
3,24,189.21,16
3,25,191.34,16
3,26,191.45,16
3,27,191.59,16
3,28,193.58,16
3,29,194.99,16
3,30,197.22,16
3,31,198.16,16
4,1,198.37,16
4,2,198.54,16
4,3,198.62,16
4,4,198.91,16
4,5,199.63,16
4,6,201.61,16
4,7,202.84,16
4,8,204.22,16
4,9,206.44,16
4,10,207.02,16
4,11,208.26,16
4,12,209.3,16
4,13,211.42,16
4,14,211.79,16
4,15,211.9,16
4,16,211.95,16
4,17,211.99,16
4,18,212.16,16
4,19,212.24,16
4,20,212.41,16
4,21,212.44,16
4,22,212.77,16
4,23,212.79,16
4,24,212.82,16
4,25,213.19,16
4,26,214.38,16
4,27,214.41,16
4,28,214.56,16
4,29,214.69,16
4,30,214.73,16
5,1,214.82,16
5,2,214.97,16
5,3,215.01,16
5,4,215.87,16
5,5,216.17,16
5,6,216.92,16
5,7,217.18,16
5,8,217.59,16
5,9,217.66,16
5,10,218.08,16
5,11,218.17,16
5,12,218.26,16
5,13,218.35,16
5,14,218.87,16
5,15,219.27,16
5,16,219.84,16
5,17,220.07,16
5,18,220.51,16
5,19,221.12,16
5,20,221.3,16
5,21,221.48,16
5,22,221.66,16
5,23,221.88,16
5,24,221.94,16
5,25,222.1,16
5,26,222.42,16
5,27,222.43,16
5,28,222.43,16
5,29,222.49,16
5,30,222.52,16
5,31,222.66,16
6,1,222.72,16
6,2,222.73,16
6,3,223.02,16
6,4,223.07,16
6,5,223.32,16
6,6,223.42,16
6,7,223.48,16
6,8,223.51,16
6,9,223.52,16
6,10,223.54,16
6,11,223.64,16
6,12,223.71,16
6,13,223.71,16
6,14,223.72,16
6,15,223.76,16
6,16,223.77,16
6,17,223.88,16
6,18,223.88,16
6,19,223.88,16
6,20,223.89,16
6,21,223.99,16
6,22,226.31,16
6,23,226.31,16
6,24,226.34,16
6,25,226.34,16
6,26,226.34,16
6,27,226.34,16
6,28,226.39,16
6,29,226.44,16
6,30,226.45,16
7,1,226.47,16
