month,day,avg_accumulated_precipitation,years_sampled
1,1,2.14,15
1,2,5.41,15
1,3,6.95,15
1,4,10.18,15
1,5,12.6,15
1,6,14.06,15
1,7,15.8,15
1,8,18.43,15
1,9,21.95,15
1,10,24.06,15
1,11,25.99,15
1,12,26.61,15
1,13,29.62,15
1,14,31.53,15
1,15,33.36,15
1,16,37.27,15
1,17,40.24,15
1,18,41.9,15
1,19,44.96,15
1,20,47.78,15
1,21,49.11,15
1,22,50.99,15
1,23,52.09,15
1,24,53.34,15
1,25,54.01,15
1,26,57.55,15
1,27,59.53,15
1,28,61.63,15
1,29,64.23,15
1,30,66.61,15
1,31,68.31,15
2,1,72.83,15
2,2,74.61,15
2,3,75.76,15
2,4,76.83,15
2,5,79.14,15
2,6,80.54,15
2,7,83.67,15
2,8,84.4,15
2,9,87.26,15
2,10,91.07,15
2,11,92.39,15
2,12,94.01,15
2,13,95.19,15
2,14,98.17,15
2,15,101.31,15
2,16,102.31,15
2,17,103.69,15
2,18,104.14,15
2,19,105.11,15
2,20,105.81,15
2,21,108.01,15
2,22,110.57,15
2,23,111.65,15
2,24,112.91,15
2,25,114.21,15
2,26,116.25,15
2,27,117.85,15
2,28,119.01,15
2,29,119.21,4
3,1,120.21,15
3,2,123.08,15
3,3,125.9,15
3,4,127.75,15
3,5,130.31,15
3,6,131.77,15
3,7,133.45,15
3,8,135.25,15
3,9,136.5,15
3,10,139.41,15
3,11,141.23,15
3,12,142.16,15
3,13,144.95,15
3,14,147.63,15
3,15,149.91,15
3,16,151.21,15
3,17,153.3,15
3,18,155.53,15
3,19,157.15,15
3,20,157.67,15
3,21,158.95,15
3,22,160.36,15
3,23,160.88,15
3,24,163.17,15
3,25,165.05,15
3,26,167.63,15
3,27,171.25,15
3,28,173.48,15
3,29,175.38,15
3,30,179.48,15
3,31,181.53,15
4,1,186.05,15
4,2,187.41,15
4,3,189.5,15
4,4,192.89,15
4,5,194.3,15
4,6,194.53,15
4,7,195.91,15
4,8,197.07,15
4,9,198.69,15
4,10,199.63,15
4,11,202.89,15
4,12,204.11,15
4,13,204.74,15
4,14,205.87,15
4,15,208.95,15
4,16,210.36,15
4,17,212.14,15
4,18,212.84,15
4,19,214.47,15
4,20,215.81,15
4,21,216.72,15
4,22,217.92,15
4,23,220.82,15
4,24,221.91,15
4,25,226.28,15
4,26,229.52,15
4,27,235.79,15
4,28,240.55,15
4,29,243.54,15
4,30,247.34,15
5,1,255.22,15
5,2,262.69,15
5,3,264.88,15
5,4,267.49,15
5,5,270.43,15
5,6,273.39,15
5,7,275.8,15
5,8,278.39,15
5,9,280.95,15
5,10,286.07,15
5,11,291.86,15
5,12,296.05,15
5,13,303.02,15
5,14,307.39,15
5,15,311.54,15
5,16,313.93,15
5,17,314.53,15
5,18,317.63,15
5,19,320.84,15
5,20,321.79,15
5,21,325.43,15
5,22,329.13,15
5,23,332.02,15
5,24,333.25,15
5,25,334.31,15
5,26,336.03,15
5,27,337.77,15
5,28,339.67,15
5,29,341.64,15
5,30,343.36,15
5,31,348.17,15
6,1,349.39,15
6,2,350.97,15
6,3,356.7,15
6,4,358.94,15
6,5,361.58,15
6,6,363.87,15
6,7,366.04,15
6,8,370.17,15
6,9,373.85,15
6,10,376.92,15
6,11,380.81,15
6,12,384.15,15
6,13,388.03,15
6,14,390.05,15
6,15,393.71,15
6,16,396.59,15
6,17,397.37,15
6,18,398.11,15
6,19,399.11,15
6,20,402.68,15
6,21,406.11,15
6,22,410.22,15
6,23,412.42,15
6,24,415.69,15
6,25,416.77,15
6,26,419.07,15
6,27,419.81,15
6,28,421.33,15
6,29,425.73,15
6,30,427.61,15
7,1,430.39,15
7,2,432.25,15
7,3,434.11,15
7,4,434.87,15
7,5,435.4,15
7,6,442.69,15
7,7,447.05,15
7,8,448.14,15
7,9,449.47,15
7,10,452.86,15
7,11,453.95,15
7,12,458.87,15
7,13,464.73,15
7,14,466.57,15
7,15,468.36,15
7,16,470.13,15
7,17,471.86,15
7,18,472.81,15
7,19,473.93,15
7,20,475.69,15
7,21,480.79,15
7,22,485.57,15
7,23,486.56,15
7,24,488.71,15
7,25,489.34,15
7,26,490.21,15
7,27,491.85,15
7,28,498.89,15
7,29,502.91,15
7,30,503.6,15
7,31,504.8,15
8,1,505.71,15
8,2,507.73,15
8,3,509.09,15
8,4,511.48,15
8,5,513.51,15
8,6,515.39,15
8,7,520.34,15
8,8,524.64,15
8,9,526.64,15
8,10,528.23,15
8,11,528.76,15
8,12,529.38,15
8,13,531.63,15
8,14,536.8,15
8,15,539.31,15
8,16,541.51,15
8,17,542.35,15
8,18,545.06,15
8,19,547.53,15
8,20,549.03,15
8,21,549.1,15
8,22,549.57,15
8,23,550.45,15
8,24,554.41,15
8,25,556.19,15
8,26,560.65,15
8,27,561.94,15
8,28,563.75,15
8,29,564.45,15
8,30,565.81,15
8,31,568.94,15
9,1,570.35,15
9,2,570.72,15
9,3,571.03,15
9,4,572.56,15
9,5,573.66,15
9,6,574.22,15
9,7,580.55,15
9,8,583.86,15
9,9,584.75,15
9,10,585.07,15
9,11,586.36,15
9,12,588.35,15
9,13,592.21,15
9,14,594.41,15
9,15,596.39,15
9,16,597.74,15
9,17,602.56,15
9,18,607.5,15
9,19,609.99,15
9,20,611.25,15
9,21,613.38,15
9,22,617.94,15
9,23,618.69,15
9,24,622.01,15
9,25,625.39,15
9,26,632.45,15
9,27,634.07,15
9,28,636.03,15
9,29,638.83,15
9,30,640.11,15
10,1,642.09,15
10,2,645.17,15
10,3,652.23,15
10,4,656.11,15
10,5,658.07,15
10,6,659.55,15
10,7,662.25,15
10,8,667.65,15
10,9,670.06,15
10,10,675.78,15
10,11,678.67,15
10,12,679.77,15
10,13,684.53,15
10,14,686.39,15
10,15,689.27,15
10,16,690.01,15
10,17,692.74,15
10,18,693.91,15
10,19,698.31,15
10,20,702.24,15
10,21,706.61,15
10,22,707.24,15
10,23,712.68,15
10,24,717.07,15
10,25,721.39,15
10,26,725.64,15
10,27,728.43,15
10,28,730.75,15
10,29,732.89,15
10,30,735.85,15
10,31,738.38,15
11,1,744.5,15
11,2,746.53,15
11,3,749.01,15
11,4,758.65,15
11,5,763.18,15
11,6,765.23,15
11,7,767.42,15
11,8,768.66,15
11,9,772.76,15
11,10,777.73,15
11,11,779.15,15
11,12,780.55,15
11,13,781.43,15
11,14,785.38,15
11,15,791.93,15
11,16,792.58,15
11,17,793.49,15
11,18,794.33,15
11,19,795.73,15
11,20,798.55,15
11,21,805.32,15
11,22,809.92,15
11,23,812.91,15
11,24,814.45,15
11,25,818.31,15
11,26,822.63,15
11,27,825.32,15
11,28,828.27,15
11,29,829.79,15
11,30,832.0,15
12,1,836.71,15
12,2,839.62,15
12,3,841.35,15
12,4,844.75,15
12,5,846.43,15
12,6,849.39,15
12,7,851.63,15
12,8,856.25,15
12,9,858.45,15
12,10,860.42,15
12,11,862.69,15
12,12,866.25,15
12,13,868.11,15
12,14,870.22,15
12,15,874.49,15
12,16,876.42,15
12,17,878.65,15
12,18,880.69,15
12,19,884.15,15
12,20,888.07,15
12,21,891.65,15
12,22,894.5,15
12,23,895.49,15
12,24,896.71,15
12,25,899.08,15
12,26,899.77,15
12,27,901.83,15
12,28,904.72,15
12,29,907.19,15
12,30,909.61,15
12,31,911.77,15
