month,day,avg_daytime_temperature,years_sampled
1,1,5.94,16
1,2,5.82,16
1,3,5.64,16
1,4,5.73,16
1,5,5.65,16
1,6,5.75,16
1,7,5.69,16
1,8,6.32,16
1,9,5.75,16
1,10,5.08,16
1,11,4.36,16
1,12,4.07,16
1,13,5.23,16
1,14,4.83,16
1,15,4.73,16
1,16,4.48,16
1,17,4.9,16
1,18,3.91,16
1,19,3.0,16
1,20,3.72,16
1,21,4.27,16
1,22,4.64,16
1,23,4.43,16
1,24,4.67,16
1,25,5.22,16
1,26,4.71,16
1,27,5.28,16
1,28,5.97,16
1,29,6.17,16
1,30,6.09,16
1,31,6.32,16
2,1,6.11,16
2,2,6.33,16
2,3,5.64,16
2,4,5.17,16
2,5,5.3,16
2,6,5.11,16
2,7,5.01,16
2,8,5.36,16
2,9,5.58,16
2,10,5.56,16
2,11,4.75,16
2,12,4.82,16
2,13,5.49,16
2,14,6.25,16
2,15,7.14,16
2,16,7.64,16
2,17,7.89,16
2,18,8.11,16
2,19,7.5,16
2,20,8.17,16
2,21,7.91,16
2,22,8.25,16
2,23,8.71,16
2,24,8.54,16
2,25,7.95,16
2,26,7.16,16
2,27,6.54,16
2,28,6.84,16
2,29,8.29,4
3,1,7.66,16
3,2,8.73,16
3,3,8.61,16
3,4,8.79,16
3,5,7.88,16
3,6,7.79,16
3,7,8.16,16
3,8,9.0,16
3,9,9.89,16
3,10,10.5,16
3,11,10.54,16
3,12,10.22,16
3,13,9.62,16
3,14,9.2,16
3,15,9.62,16
3,16,10.54,16
3,17,11.19,16
3,18,10.43,16
3,19,10.84,16
3,20,10.86,16
3,21,11.44,16
3,22,11.39,16
3,23,11.37,16
3,24,11.56,16
3,25,10.96,16
3,26,11.09,16
3,27,10.38,16
3,28,11.9,16
3,29,12.91,16
3,30,12.84,16
3,31,12.88,16
4,1,10.8,16
4,2,12.15,16
4,3,12.33,16
4,4,12.06,16
4,5,12.64,16
4,6,12.89,16
4,7,13.23,16
4,8,13.45,16
4,9,13.53,16
4,10,14.4,16
4,11,14.4,16
4,12,13.85,16
4,13,13.38,16
4,14,13.44,16
4,15,13.74,16
4,16,12.8,16
4,17,13.07,16
4,18,13.5,16
4,19,13.79,16
4,20,13.95,16
4,21,14.63,16
4,22,15.64,16
4,23,14.82,16
4,24,15.09,16
4,25,15.3,16
4,26,14.64,16
4,27,14.09,16
4,28,13.97,16
4,29,14.63,16
4,30,14.59,16
5,1,13.9,16
5,2,14.61,16
5,3,14.69,16
5,4,15.48,16
5,5,15.44,16
5,6,15.42,16
5,7,15.92,16
5,8,17.04,16
5,9,17.77,16
5,10,17.83,16
5,11,17.36,16
5,12,15.72,16
5,13,15.18,16
5,14,15.43,16
5,15,14.61,16
5,16,14.96,16
5,17,16.61,16
5,18,17.41,16
5,19,17.15,16
5,20,17.73,16
5,21,18.51,16
5,22,18.4,16
5,23,17.68,16
5,24,18.28,16
5,25,18.38,16
5,26,19.39,16
5,27,18.76,16
5,28,19.04,16
5,29,19.16,16
5,30,19.28,16
5,31,18.71,16
6,1,19.24,16
6,2,20.01,16
6,3,20.33,16
6,4,20.03,16
6,5,20.55,16
6,6,20.73,16
6,7,20.73,16
6,8,20.48,16
6,9,19.88,16
6,10,20.6,16
6,11,20.85,16
6,12,21.11,16
6,13,21.18,16
6,14,21.06,16
6,15,21.84,16
6,16,21.91,16
6,17,22.03,16
6,18,22.77,16
6,19,22.97,16
6,20,22.53,16
6,21,23.0,16
6,22,22.49,16
