month,day,avg_daytime_temperature,years_sampled
1,1,7.06,15
1,2,7.0,15
1,3,7.54,15
1,4,7.88,15
1,5,7.0,15
1,6,6.31,15
1,7,6.38,15
1,8,6.49,15
1,9,6.68,15
1,10,7.2,15
1,11,7.18,15
1,12,6.32,15
1,13,5.8,15
1,14,6.09,15
1,15,6.6,15
1,16,7.04,15
1,17,7.08,15
1,18,6.49,15
1,19,5.95,15
1,20,6.92,15
1,21,6.98,15
1,22,6.71,15
1,23,7.4,15
1,24,8.27,15
1,25,8.4,15
1,26,8.29,15
1,27,7.81,15
1,28,8.13,15
1,29,7.93,15
1,30,8.38,15
1,31,8.5,15
2,1,9.1,15
2,2,7.78,15
2,3,8.13,15
2,4,7.97,15
2,5,8.69,15
2,6,8.78,15
2,7,7.94,15
2,8,7.91,15
2,9,7.7,15
2,10,7.86,15
2,11,7.98,15
2,12,8.42,15
2,13,9.43,15
2,14,9.08,15
2,15,9.26,15
2,16,9.64,15
2,17,9.45,15
2,18,9.81,15
2,19,10.25,15
2,20,10.61,15
2,21,10.18,15
2,22,10.3,15
2,23,9.62,15
2,24,9.69,15
2,25,9.91,15
2,26,10.06,15
2,27,9.45,15
2,28,9.79,15
2,29,10.63,4
3,1,9.89,15
3,2,10.48,15
3,3,9.76,15
3,4,10.06,15
3,5,9.55,15
3,6,9.82,15
3,7,10.54,15
3,8,10.58,15
3,9,11.48,15
3,10,12.21,15
3,11,12.52,15
3,12,12.35,15
3,13,11.86,15
3,14,11.71,15
3,15,12.72,15
3,16,12.31,15
3,17,13.0,15
3,18,12.17,15
3,19,12.28,15
3,20,12.57,15
3,21,12.02,15
3,22,12.05,15
3,23,11.98,15
3,24,12.43,15
3,25,12.13,15
3,26,12.15,15
3,27,12.39,15
3,28,13.93,15
3,29,13.91,15
3,30,13.68,15
3,31,12.59,15
4,1,12.89,15
4,2,12.49,15
4,3,12.26,15
4,4,12.5,15
4,5,13.13,15
4,6,14.1,15
4,7,14.21,15
4,8,14.49,15
4,9,13.8,15
4,10,14.86,15
4,11,15.35,15
4,12,14.61,15
4,13,14.79,15
4,14,16.62,15
4,15,16.61,15
4,16,16.44,15
4,17,16.82,15
4,18,16.63,15
4,19,15.41,15
4,20,15.11,15
4,21,14.99,15
4,22,14.62,15
4,23,15.11,15
4,24,15.82,15
4,25,16.29,15
4,26,15.97,15
4,27,15.8,15
4,28,15.35,15
4,29,15.19,15
4,30,15.33,15
5,1,15.76,15
5,2,16.89,15
5,3,17.22,15
5,4,17.93,15
5,5,17.9,15
5,6,18.36,15
5,7,19.11,15
5,8,19.75,15
5,9,20.2,15
5,10,20.05,15
5,11,19.86,15
5,12,19.02,15
5,13,19.47,15
5,14,18.55,15
5,15,18.05,15
5,16,18.84,15
5,17,18.92,15
5,18,19.29,15
5,19,18.39,15
5,20,18.4,15
5,21,19.4,15
5,22,19.8,15
5,23,20.48,15
5,24,21.0,15
5,25,20.72,15
5,26,20.66,15
5,27,21.6,15
5,28,20.8,15
5,29,21.21,15
5,30,21.53,15
5,31,22.22,15
6,1,22.22,15
6,2,22.6,15
6,3,23.15,15
6,4,22.52,15
6,5,22.52,15
6,6,23.27,15
6,7,22.39,15
6,8,21.94,15
6,9,22.27,15
6,10,22.27,15
6,11,22.25,15
6,12,22.66,15
6,13,23.81,15
6,14,24.48,15
6,15,24.14,15
6,16,24.43,15
6,17,24.41,15
6,18,24.28,15
6,19,23.62,15
6,20,23.86,15
6,21,24.84,15
6,22,25.59,15
6,23,26.39,15
6,24,26.5,15
6,25,27.53,15
6,26,27.67,15
6,27,27.87,15
6,28,27.53,15
6,29,26.97,15
6,30,26.46,15
7,1,26.58,15
7,2,26.99,15
7,3,27.44,15
7,4,28.19,15
7,5,28.73,15
7,6,27.49,15
7,7,27.37,15
7,8,27.5,15
7,9,28.08,15
7,10,28.93,15
7,11,29.72,15
7,12,28.82,15
7,13,28.44,15
7,14,28.25,15
7,15,27.96,15
7,16,29.23,15
7,17,29.91,15
7,18,30.43,15
7,19,30.05,15
7,20,29.94,15
7,21,29.39,15
7,22,29.26,15
7,23,30.07,15
7,24,29.94,15
7,25,29.66,15
7,26,29.79,15
7,27,29.58,15
7,28,29.77,15
7,29,29.96,15
7,30,30.05,15
7,31,29.82,15
8,1,29.89,15
8,2,29.41,15
8,3,29.7,15
8,4,29.7,15
8,5,29.93,15
8,6,29.93,15
8,7,29.76,15
8,8,29.26,15
8,9,29.63,15
8,10,29.31,15
8,11,29.4,15
8,12,29.17,15
8,13,27.56,15
8,14,27.84,15
8,15,27.91,15
8,16,27.85,15
8,17,28.18,15
8,18,28.32,15
8,19,28.83,15
8,20,29.48,15
8,21,29.58,15
8,22,29.38,15
8,23,29.08,15
8,24,28.27,15
8,25,28.27,15
8,26,27.31,15
8,27,27.35,15
8,28,27.25,15
8,29,26.06,15
8,30,25.9,15
8,31,25.38,15
9,1,25.24,15
9,2,24.51,15
9,3,25.11,15
9,4,25.1,15
9,5,25.04,15
9,6,25.31,15
9,7,24.39,15
9,8,24.06,15
9,9,24.26,15
9,10,24.31,15
9,11,24.74,15
9,12,24.97,15
9,13,23.53,15
9,14,22.83,15
9,15,22.12,15
9,16,22.52,15
9,17,21.81,15
9,18,21.26,15
9,19,21.1,15
9,20,22.28,15
9,21,22.44,15
9,22,22.47,15
9,23,22.19,15
9,24,21.87,15
9,25,20.93,15
9,26,21.05,15
9,27,21.37,15
9,28,20.54,15
9,29,20.86,15
9,30,21.26,15
10,1,21.6,15
10,2,21.12,15
10,3,20.84,15
10,4,20.9,15
10,5,21.35,15
10,6,21.69,15
10,7,20.28,15
10,8,20.42,15
10,9,19.81,15
10,10,19.38,15
10,11,18.95,15
10,12,18.45,15
10,13,18.83,15
10,14,17.48,15
10,15,16.71,15
10,16,17.45,15
10,17,17.42,15
10,18,17.36,15
10,19,17.12,15
10,20,16.37,15
10,21,15.92,15
10,22,15.43,15
10,23,15.24,15
10,24,15.71,15
10,25,16.06,15
10,26,15.38,15
10,27,15.16,15
10,28,14.92,15
10,29,14.78,15
10,30,14.48,15
10,31,14.46,15
11,1,14.9,15
11,2,14.65,15
11,3,13.37,15
11,4,12.49,15
11,5,12.17,15
11,6,12.36,15
11,7,11.68,15
11,8,11.59,15
11,9,11.63,15
11,10,11.57,15
11,11,12.12,15
11,12,12.53,15
11,13,12.52,15
11,14,12.05,15
11,15,11.72,15
11,16,11.39,15
11,17,11.54,15
11,18,11.28,15
11,19,11.35,15
11,20,11.26,15
11,21,10.88,15
11,22,9.87,15
11,23,10.25,15
11,24,9.83,15
11,25,10.97,15
11,26,9.26,15
11,27,8.74,15
11,28,8.52,15
11,29,9.02,15
11,30,9.29,15
12,1,8.24,15
12,2,7.87,15
12,3,7.47,15
12,4,8.24,15
12,5,8.29,15
12,6,9.15,15
12,7,8.38,15
12,8,8.6,15
12,9,8.79,15
12,10,8.91,15
12,11,8.72,15
12,12,8.0,15
12,13,8.39,15
12,14,9.09,15
12,15,9.01,15
12,16,8.16,15
12,17,7.91,15
12,18,7.22,15
12,19,8.52,15
12,20,8.05,15
12,21,9.27,15
12,22,9.14,15
12,23,8.55,15
12,24,8.11,15
12,25,7.65,15
12,26,7.43,15
12,27,7.43,15
12,28,7.87,15
12,29,7.28,15
12,30,7.07,15
12,31,7.09,15
