calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,39.1,13.84,70.86,206.4086409259259,177.99097166666667,240.9430788888889,4.9464516129032265,1.4400000000000006,9.060000000000002,78.46236559139786,65.0,91.60000000000002,-11.2,18.1,-11.2,18.1
2,2,Feb,30.086666666666666,4.1000000000000005,60.52,220.83845407407406,189.69426666666666,254.48432944444443,6.662735849056604,2.7,10.2,69.85377358490567,51.300000000000004,87.0,-4.5,21.0,-4.5,21.0
3,3,Mar,57.00666666666666,10.02,112.36,276.3874742592592,231.8291888888889,315.65498444444444,9.499784946236558,5.7,13.6,63.94408602150538,44.0,82.0,-4.0,26.0,-4.0,26.0
4,4,Apr,56.96000000000001,19.3,96.97999999999999,315.33476537037035,279.01801166666667,341.9986416666667,12.84488888888889,8.4,17.71,60.266666666666666,40.0,79.0,-1.8,31.9,-1.8,31.9
5,5,May,29.986666666666668,7.140000000000002,54.0,381.9848255555555,360.9352388888889,399.5607872222222,17.362150537634406,11.9,22.6,50.01075268817204,34.0,69.0,2.0,35.3,2.0,35.3
6,6,Jun,19.02,2.26,49.0,389.9497466666666,368.3586966666667,403.44489444444446,22.579555555555558,16.89,28.0,41.58888888888889,27.0,62.10000000000002,6.3,40.1,6.3,40.1
7,7,Jul,5.933333333333334,0.4,11.359999999999996,412.3132427777778,405.6711311111111,417.04034333333334,26.950322580645164,23.0,30.26,31.286021505376343,23.0,40.0,12.5,41.1,12.5,41.1
8,8,Aug,9.013333333333332,0.48000000000000004,19.459999999999997,383.4881448148148,373.8663505555556,390.7511544444444,26.368172043010755,22.4,29.96,33.868817204301074,23.0,45.60000000000002,10.9,41.3,10.9,41.3
9,9,Sep,42.273333333333326,6.040000000000001,106.89999999999998,318.77545981481484,302.2601338888889,332.46256055555557,20.82888888888889,16.8,24.8,48.78666666666667,32.900000000000006,73.0,6.8,38.2,6.8,38.2
10,10,Oct,62.79333333333333,34.300000000000004,99.67999999999999,262.72869240740744,242.6936161111111,283.88248833333336,15.483655913978494,11.3,19.9,63.48172043010753,42.0,84.0,1.5,30.9,1.5,30.9
11,11,Nov,53.19333333333335,18.68,94.5,200.80397703703704,179.2574661111111,232.159125,9.280444444444443,5.6,13.0,77.14444444444445,64.0,89.0,-2.6,21.1,-2.6,21.1
12,12,Dec,40.62,8.0,84.88,192.03359092592595,170.9785861111111,222.06557777777778,6.116344086021504,2.9400000000000004,9.360000000000003,80.63225806451612,69.0,92.0,-3.7,16.2,-3.7,16.2
