calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,39.84375,13.95,70.8,212.61799635416668,182.35350416666665,251.25903611111113,5.14616935483871,1.65,9.3,78.44354838709677,65.0,91.0,-11.1,18.3
2,2,Feb,29.03125,4.2,60.45,237.65282100694444,203.22240694444446,272.0718166666667,6.845353982300885,2.9,10.4,70.27433628318585,52.1,86.0,-4.5,21.2
3,3,Mar,68.09375,10.1,130.25,279.4496140625,214.743,326.8440180555556,9.525403225806452,5.75,13.649999999999999,64.89314516129032,44.5,83.0,-3.9,26.2
4,4,Apr,59.831250000000004,19.35,101.19999999999999,327.93865798611114,289.1425805555556,357.17347638888884,12.96625,8.59,17.7,60.88333333333333,40.0,79.0,-1.6,32.1
5,5,May,35.2125,8.0,60.15,396.31756631944444,373.2722430555556,413.77455833333335,17.472580645161294,12.149999999999999,22.9,50.40120967741935,34.0,70.5,2.0,35.3
6,6,Jun,18.900000000000002,2.3,47.95,403.72212552083334,380.40208472222224,421.56894027777776,22.95958333333333,17.0,28.91,41.24583333333333,27.0,62.0,6.3,40.3
7,7,Jul,5.6187499999999995,0.4,10.75,433.0294517361111,425.70298333333335,438.720125,27.07701612903226,23.1,30.5,31.35282258064516,23.0,40.0,12.5,41.3
8,8,Aug,8.524999999999999,0.5,18.8,372.0380779513889,382.1645763888889,403.98091944444445,26.48025751072961,22.45,30.15,33.907725321888414,24.0,45.5,11.1,41.5
9,9,Sep,42.279999999999994,6.040000000000001,106.95999999999998,333.32586259259256,316.39616,348.6277772222222,20.93688888888889,16.89,24.9,48.76444444444444,32.0,73.0,7.0,38.2
10,10,Oct,62.79333333333333,34.300000000000004,99.67999999999999,274.10456,252.79664777777776,296.3673327777778,15.598064516129034,11.5,20.1,63.44731182795699,42.0,83.60000000000002,1.5,31.1
11,11,Nov,53.046666666666674,18.68,94.5,217.63131796296292,193.2497422222222,252.70631722222222,9.390222222222222,5.5,13.1,77.18222222222222,64.0,89.0,-2.6,21.1
12,12,Dec,40.599999999999994,8.0,85.53999999999999,205.51495981481486,182.05270611111112,237.68564777777777,6.222795698924732,3.1,9.4,80.65806451612903,69.0,92.0,-3.7,16.4
