month,day,avg_daytime_temperature,years_sampled
1,1,26.77,16
1,2,27.29,16
1,3,27.15,16
1,4,27.36,16
1,5,27.27,16
1,6,27.37,16
1,7,27.38,16
1,8,27.11,16
1,9,27.11,16
1,10,26.95,16
1,11,26.82,16
1,12,26.67,16
1,13,26.59,16
1,14,26.65,16
1,15,26.89,16
1,16,26.73,16
1,17,26.48,16
1,18,26.43,16
1,19,26.81,16
1,20,26.95,16
1,21,27.17,16
1,22,27.24,16
1,23,27.12,16
1,24,26.88,16
1,25,26.87,16
1,26,26.68,16
1,27,26.63,16
1,28,26.89,16
1,29,26.89,16
1,30,26.82,16
1,31,26.77,16
2,1,27.29,16
2,2,27.36,16
2,3,27.23,16
2,4,27.56,16
2,5,27.4,16
2,6,27.38,16
2,7,27.46,16
2,8,27.51,16
2,9,27.4,16
2,10,27.66,16
2,11,27.64,16
2,12,27.51,16
2,13,27.21,16
2,14,27.42,16
2,15,27.63,16
2,16,27.64,16
2,17,27.66,16
2,18,27.85,16
2,19,27.47,16
2,20,27.43,16
2,21,27.64,16
2,22,27.75,16
2,23,27.99,16
2,24,28.25,16
2,25,28.4,16
2,26,28.19,16
2,27,28.43,16
2,28,28.48,16
2,29,29.22,4
3,1,28.74,16
3,2,28.47,16
3,3,28.55,16
3,4,28.44,16
3,5,28.68,16
3,6,29.03,16
3,7,29.0,16
3,8,28.78,16
3,9,28.66,16
3,10,28.76,16
3,11,28.62,16
3,12,28.73,16
3,13,28.69,16
3,14,29.05,16
3,15,28.82,16
3,16,29.08,16
3,17,29.15,16
3,18,29.36,16
3,19,29.33,16
3,20,29.42,16
3,21,28.91,16
3,22,28.94,16
3,23,29.25,16
3,24,29.23,16
3,25,29.46,16
3,26,29.23,16
3,27,29.25,16
3,28,29.4,16
3,29,29.22,16
3,30,29.5,16
3,31,29.65,16
4,1,29.95,16
4,2,29.97,16
4,3,29.99,16
4,4,29.93,16
4,5,29.9,16
4,6,29.98,16
4,7,30.23,16
4,8,29.98,16
4,9,29.87,16
4,10,30.23,16
4,11,30.3,16
4,12,30.03,16
4,13,29.69,16
4,14,30.15,16
4,15,30.24,16
4,16,30.43,16
4,17,30.38,16
4,18,30.69,16
4,19,30.97,16
4,20,30.91,16
4,21,30.98,16
4,22,31.06,16
4,23,31.09,16
4,24,31.18,16
4,25,31.25,16
4,26,31.24,16
4,27,31.27,16
4,28,31.3,16
4,29,31.25,16
4,30,31.28,16
5,1,31.38,16
5,2,31.5,16
5,3,31.21,16
5,4,31.37,16
5,5,31.29,16
5,6,31.37,16
5,7,31.29,16
5,8,31.02,16
5,9,31.1,16
5,10,30.88,16
5,11,31.0,16
5,12,31.16,16
5,13,31.09,16
5,14,31.01,16
5,15,30.55,16
5,16,30.81,16
5,17,31.0,16
5,18,30.88,16
5,19,30.81,16
5,20,30.52,16
5,21,30.37,16
5,22,30.28,16
5,23,30.31,16
5,24,30.44,16
5,25,30.15,16
5,26,29.75,16
5,27,30.07,16
5,28,29.81,16
5,29,30.11,16
5,30,30.21,16
5,31,30.12,16
6,1,30.04,16
6,2,29.72,16
6,3,29.4,16
6,4,29.87,16
6,5,29.69,16
6,6,29.81,16
6,7,29.31,16
6,8,28.91,16
6,9,29.02,16
6,10,28.72,16
6,11,28.59,16
6,12,28.47,16
6,13,28.96,16
6,14,29.19,16
6,15,29.22,16
6,16,29.38,16
6,17,29.16,16
6,18,28.95,16
6,19,28.83,16
6,20,28.73,16
6,21,28.59,16
6,22,28.52,16
6,23,28.39,16
6,24,28.81,16
6,25,28.6,16
6,26,28.57,16
6,27,28.27,16
6,28,28.34,16
6,29,28.3,16
6,30,28.24,16
7,1,28.6,16
7,2,28.65,16
7,3,28.5,16
7,4,28.39,16
7,5,28.14,16
7,6,28.32,16
7,7,28.56,16
7,8,28.25,16
7,9,28.25,16
7,10,28.11,16
7,11,28.32,16
7,12,28.41,16
7,13,28.07,16
7,14,28.28,16
7,15,28.17,16
7,16,27.98,16
7,17,27.97,16
7,18,28.11,16
7,19,28.19,16
7,20,28.09,16
7,21,27.82,16
7,22,27.59,16
7,23,27.56,16
7,24,27.52,16
7,25,27.7,16
7,26,27.86,16
7,27,27.74,16
7,28,27.43,16
7,29,27.23,16
7,30,27.51,16
7,31,27.65,16
8,1,27.72,16
8,2,27.71,16
8,3,27.84,16
8,4,27.87,16
8,5,27.68,16
8,6,27.67,16
8,7,27.76,16
8,8,27.66,16
8,9,28.0,16
8,10,27.99,16
8,11,28.18,16
8,12,28.17,16
8,13,28.14,16
8,14,27.98,16
8,15,28.11,16
8,16,28.21,16
8,17,28.23,16
8,18,28.21,16
8,19,27.99,16
8,20,27.91,16
8,21,27.56,16
8,22,27.45,16
8,23,27.55,16
8,24,27.49,16
8,25,27.58,16
8,26,27.37,16
8,27,27.61,16
8,28,27.87,16
8,29,27.88,16
8,30,27.94,16
8,31,27.63,16
9,1,27.7,16
9,2,27.61,16
9,3,27.69,16
9,4,27.79,16
9,5,27.69,16
9,6,28.17,16
9,7,28.31,16
9,8,28.25,16
9,9,27.97,16
9,10,27.72,16
9,11,27.67,16
9,12,27.51,16
9,13,27.82,16
9,14,27.51,16
9,15,27.43,16
9,16,27.55,16
9,17,27.71,16
9,18,27.83,16
9,19,27.62,16
9,20,27.53,16
9,21,27.8,16
9,22,27.67,16
9,23,27.81,16
9,24,28.06,16
9,25,28.03,16
9,26,27.9,16
9,27,28.08,16
9,28,27.97,16
9,29,27.91,16
9,30,27.93,16
10,1,28.03,16
10,2,27.67,16
10,3,27.7,16
10,4,27.89,16
10,5,27.74,16
10,6,28.01,16
10,7,27.98,16
10,8,27.81,16
10,9,27.71,16
10,10,27.93,16
10,11,27.87,16
10,12,27.88,16
10,13,27.95,16
10,14,27.71,16
10,15,27.58,16
10,16,27.91,16
10,17,28.13,16
10,18,28.01,16
10,19,27.87,16
10,20,28.05,16
10,21,27.89,16
10,22,28.22,16
10,23,27.95,16
10,24,27.88,16
10,25,27.85,16
10,26,28.13,16
10,27,27.92,16
10,28,28.12,16
10,29,27.91,16
10,30,27.91,16
10,31,28.32,16
11,1,27.61,16
11,2,28.05,16
11,3,28.07,16
11,4,27.82,16
11,5,28.07,16
11,6,28.21,16
11,7,28.24,16
11,8,28.09,16
11,9,27.83,16
11,10,28.15,16
11,11,28.09,16
11,12,28.12,16
11,13,28.29,16
11,14,28.3,16
11,15,28.19,16
11,16,28.6,16
11,17,28.57,16
11,18,28.46,16
11,19,28.36,16
11,20,28.36,16
11,21,28.32,16
11,22,28.57,16
11,23,28.72,16
11,24,28.99,16
11,25,28.17,16
11,26,28.6,16
11,27,28.59,16
11,28,28.58,16
11,29,28.52,16
11,30,28.42,16
12,1,28.16,16
12,2,28.33,16
12,3,28.15,16
12,4,28.22,16
12,5,28.15,16
