calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,54.55,13.2,126.7,307.71,279.83,328.39,25.39,24.05,26.6,76.99,69.0,84.0,17.8,32.5
2,2,Feb,31.95,3.3,73.55,300.51,288.66,319.35,25.93,24.6,27.2,74.05,66.0,83.0,19.7,35.0
3,3,Mar,27.29,7.65,57.75,348.88,332.67,365.02,27.25,25.6,28.9,70.57,64.0,78.0,20.4,35.5
4,4,Apr,30.41,5.9,72.25,351.08,340.64,358.71,28.9,27.4,30.3,67.91,61.0,75.1,21.6,38.3
5,5,May,120.39,33.4,201.3,341.75,318.72,366.73,29.3,27.8,30.8,73.25,63.0,83.0,24.2,37.6
6,6,Jun,260.96,168.35,360.35,296.31,251.89,329.97,27.91,26.6,29.3,82.33,76.0,88.0,23.9,35.0
7,7,Jul,390.2,230.2,497.95,259.04,236.53,283.92,27.13,25.95,28.3,84.91,80.0,90.0,23.8,34.1
8,8,Aug,318.28,188.6,427.3,268.0,232.0,306.03,27.01,25.9,28.2,85.44,81.0,89.5,23.7,33.3
9,9,Sep,332.3,192.55,467.85,252.79,214.1,290.97,26.89,25.9,27.9,86.16,82.0,90.0,23.5,32.5
10,10,Oct,214.5,124.35,351.55,279.1,236.73,314.83,26.9,26.0,27.7,84.23,79.0,89.0,22.2,33.4
11,11,Nov,101.43,17.8,202.55,293.04,267.5,317.83,27.0,26.1,27.9,80.68,73.0,87.0,22.2,34.5
12,12,Dec,143.0,45.7,258.05,282.25,259.24,306.82,26.24,24.9,27.4,80.25,73.0,87.0,21.2,33.3
