month,day,avg_accumulated_precipitation,years_sampled
1,1,3.19,16
1,2,3.68,16
1,3,7.39,16
1,4,8.13,16
1,5,9.01,16
1,6,10.5,16
1,7,11.38,16
1,8,12.36,16
1,9,12.96,16
1,10,16.33,16
1,11,18.95,16
1,12,20.24,16
1,13,20.88,16
1,14,21.54,16
1,15,23.45,16
1,16,24.04,16
1,17,27.38,16
1,18,31.25,16
1,19,33.33,16
1,20,37.72,16
1,21,39.64,16
1,22,40.37,16
1,23,41.22,16
1,24,42.31,16
1,25,42.7,16
1,26,43.33,16
1,27,51.72,16
1,28,52.18,16
1,29,52.4,16
1,30,53.75,16
1,31,54.55,16
2,1,55.27,16
2,2,56.14,16
2,3,56.56,16
2,4,57.01,16
2,5,58.0,16
2,6,59.84,16
2,7,61.22,16
2,8,62.24,16
2,9,63.52,16
2,10,65.2,16
2,11,66.24,16
2,12,68.7,16
2,13,70.74,16
2,14,72.9,16
2,15,73.87,16
2,16,75.01,16
2,17,75.57,16
2,18,76.37,16
2,19,78.05,16
2,20,79.39,16
2,21,80.01,16
2,22,81.8,16
2,23,84.29,16
2,24,85.02,16
2,25,85.37,16
2,26,85.87,16
2,27,86.16,16
2,28,86.48,16
2,29,86.5,4
3,1,86.88,16
3,2,87.94,16
3,3,88.43,16
3,4,89.29,16
3,5,91.67,16
3,6,91.71,16
3,7,92.25,16
3,8,93.26,16
3,9,94.11,16
3,10,94.61,16
3,11,95.04,16
3,12,96.99,16
3,13,98.25,16
3,14,99.29,16
3,15,100.53,16
3,16,101.41,16
3,17,102.21,16
3,18,102.87,16
3,19,103.21,16
3,20,103.51,16
3,21,104.02,16
3,22,104.82,16
3,23,105.23,16
3,24,106.57,16
3,25,106.81,16
3,26,108.61,16
3,27,109.86,16
3,28,110.64,16
3,29,112.17,16
3,30,112.79,16
3,31,113.79,16
4,1,114.14,16
4,2,114.63,16
4,3,114.97,16
4,4,116.76,16
4,5,117.28,16
4,6,117.91,16
4,7,118.56,16
4,8,120.19,16
4,9,122.92,16
4,10,123.28,16
4,11,123.36,16
4,12,125.26,16
4,13,130.54,16
4,14,131.77,16
4,15,132.27,16
4,16,133.31,16
4,17,134.66,16
4,18,135.18,16
4,19,135.71,16
4,20,136.71,16
4,21,137.37,16
4,22,137.97,16
4,23,138.66,16
4,24,139.2,16
4,25,139.69,16
4,26,140.15,16
4,27,140.99,16
4,28,141.71,16
4,29,143.09,16
4,30,144.2,16
