calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,24.6,6.0,56.75,287.32,270.08,299.26,11.5,8.2,15.0,61.84,39.0,81.0,-2.0,28.9
2,2,Feb,28.29,8.0,56.0,276.19,257.77,295.62,13.01,8.8,16.9,60.16,36.0,80.0,-3.3,31.7
3,3,Mar,36.63,6.65,60.65,324.46,300.95,339.79,15.43,11.7,20.15,60.02,35.0,79.0,0.3,36.5
4,4,Apr,27.24,6.15,59.0,348.01,328.22,369.12,18.6,14.0,23.4,56.4,37.0,71.0,3.6,41.2
5,5,May,14.84,1.5,36.25,372.37,341.44,388.52,22.13,17.05,27.85,49.51,29.0,66.0,6.2,43.2
6,6,Jun,3.42,0.35,7.8,373.26,354.94,389.1,25.16,20.9,30.23,47.31,30.9,57.1,10.2,45.4
7,7,Jul,2.32,0.0,7.3,394.76,384.73,400.65,29.02,24.6,33.55,41.5,25.0,54.5,13.5,48.5
8,8,Aug,5.29,0.0,13.1,382.36,372.24,392.53,29.43,25.45,33.65,41.0,24.0,55.5,14.5,47.5
9,9,Sep,11.98,1.05,21.05,325.74,313.56,341.16,25.05,21.5,29.3,52.29,34.9,66.1,11.8,42.9
10,10,Oct,17.18,1.15,33.35,312.85,303.95,321.58,21.7,17.35,25.9,54.19,31.5,75.0,5.1,40.5
11,11,Nov,35.41,3.45,57.75,277.35,265.69,289.35,16.06,11.6,20.9,60.39,33.0,81.0,2.0,34.7
12,12,Dec,26.41,3.5,44.2,275.74,264.63,286.76,12.45,9.7,15.5,64.98,43.5,81.0,-1.6,28.4
