month,day,avg_accumulated_precipitation,years_sampled
1,1,3.17,15
1,2,6.97,15
1,3,12.97,15
1,4,15.82,15
1,5,19.97,15
1,6,24.65,15
1,7,28.63,15
1,8,31.34,15
1,9,36.71,15
1,10,40.25,15
1,11,44.85,15
1,12,47.75,15
1,13,51.39,15
1,14,54.39,15
1,15,56.28,15
1,16,59.29,15
1,17,62.34,15
1,18,65.73,15
1,19,67.84,15
1,20,69.4,15
1,21,73.09,15
1,22,76.25,15
1,23,78.33,15
1,24,80.63,15
1,25,82.07,15
1,26,83.43,15
1,27,87.5,15
1,28,90.95,15
1,29,93.43,15
1,30,95.25,15
1,31,97.15,15
2,1,99.71,15
2,2,103.41,15
2,3,105.42,15
2,4,109.85,15
2,5,112.75,15
2,6,116.0,15
2,7,121.62,15
2,8,128.48,15
2,9,134.82,15
2,10,140.56,15
2,11,143.59,15
2,12,146.94,15
2,13,151.09,15
2,14,155.42,15
2,15,159.31,15
2,16,162.03,15
2,17,167.37,15
2,18,171.67,15
2,19,176.6,15
2,20,179.73,15
2,21,183.97,15
2,22,188.95,15
2,23,192.95,15
2,24,198.36,15
2,25,202.88,15
2,26,207.1,15
2,27,213.7,15
2,28,220.62,15
2,29,221.52,4
3,1,230.13,15
3,2,238.5,15
3,3,245.77,15
3,4,251.61,15
3,5,258.04,15
3,6,265.8,15
3,7,270.85,15
3,8,276.78,15
3,9,283.87,15
3,10,289.13,15
3,11,294.81,15
3,12,301.56,15
3,13,307.64,15
3,14,316.15,15
3,15,321.99,15
3,16,328.13,15
3,17,335.75,15
3,18,343.44,15
3,19,351.16,15
3,20,361.59,15
3,21,367.4,15
3,22,374.23,15
3,23,380.51,15
3,24,387.19,15
3,25,392.89,15
3,26,400.4,15
3,27,405.87,15
3,28,412.93,15
3,29,419.15,15
3,30,425.75,15
3,31,434.66,15
4,1,443.22,15
4,2,455.23,15
4,3,464.73,15
4,4,472.75,15
4,5,480.98,15
4,6,489.63,15
4,7,495.42,15
4,8,503.15,15
4,9,511.65,15
4,10,520.27,15
4,11,528.81,15
4,12,540.42,15
4,13,549.27,15
4,14,558.56,15
4,15,569.13,15
4,16,580.19,15
4,17,589.33,15
4,18,601.19,15
4,19,612.04,15
4,20,624.79,15
4,21,638.29,15
4,22,648.73,15
4,23,656.85,15
4,24,664.45,15
4,25,672.81,15
4,26,682.19,15
4,27,690.82,15
4,28,703.71,15
4,29,712.41,15
4,30,722.96,15
5,1,733.39,15
5,2,743.63,15
5,3,754.43,15
5,4,764.13,15
5,5,772.94,15
5,6,781.68,15
5,7,790.99,15
5,8,798.28,15
5,9,807.61,15
5,10,818.12,15
5,11,827.79,15
5,12,835.27,15
5,13,842.92,15
5,14,849.88,15
5,15,855.95,15
5,16,865.57,15
5,17,873.03,15
5,18,880.99,15
5,19,888.29,15
5,20,896.78,15
5,21,906.85,15
5,22,915.29,15
5,23,923.5,15
5,24,929.43,15
5,25,935.63,15
5,26,945.49,15
5,27,957.1,15
5,28,965.03,15
5,29,975.98,15
5,30,987.24,15
5,31,997.75,15
6,1,1005.81,15
6,2,1013.79,15
6,3,1021.48,15
6,4,1026.57,15
6,5,1031.13,15
6,6,1038.25,15
6,7,1043.41,15
6,8,1051.02,15
6,9,1057.67,15
6,10,1066.19,15
6,11,1073.48,15
6,12,1080.25,15
6,13,1087.48,15
6,14,1096.49,15
6,15,1104.84,15
6,16,1110.23,15
6,17,1116.05,15
6,18,1121.57,15
6,19,1127.47,15
6,20,1133.61,15
6,21,1139.09,15
6,22,1144.11,15
6,23,1149.19,15
6,24,1156.76,15
6,25,1165.01,15
6,26,1172.28,15
6,27,1179.27,15
6,28,1184.33,15
6,29,1189.46,15
6,30,1196.03,15
7,1,1204.87,15
7,2,1213.49,15
7,3,1220.75,15
7,4,1226.61,15
7,5,1233.16,15
7,6,1237.75,15
7,7,1242.59,15
7,8,1244.39,15
7,9,1247.79,15
7,10,1252.86,15
7,11,1258.01,15
7,12,1264.25,15
7,13,1270.12,15
7,14,1276.5,15
7,15,1283.17,15
7,16,1288.31,15
7,17,1293.09,15
7,18,1296.05,15
7,19,1299.7,15
7,20,1303.98,15
7,21,1308.77,15
7,22,1313.12,15
7,23,1317.43,15
7,24,1320.53,15
7,25,1324.81,15
7,26,1329.41,15
7,27,1335.95,15
7,28,1341.05,15
7,29,1344.39,15
7,30,1351.03,15
7,31,1356.81,15
8,1,1361.91,15
8,2,1366.05,15
8,3,1373.45,15
8,4,1379.05,15
8,5,1383.56,15
8,6,1388.67,15
8,7,1394.15,15
8,8,1399.04,15
8,9,1404.95,15
8,10,1408.31,15
8,11,1415.2,15
8,12,1421.16,15
8,13,1429.59,15
8,14,1438.27,15
8,15,1443.48,15
8,16,1449.51,15
8,17,1455.39,15
8,18,1462.68,15
8,19,1469.87,15
8,20,1475.3,15
8,21,1482.83,15
8,22,1489.86,15
8,23,1496.34,15
8,24,1504.76,15
8,25,1512.47,15
8,26,1519.91,15
8,27,1526.37,15
8,28,1531.35,15
8,29,1537.26,15
8,30,1539.62,15
8,31,1543.85,15
9,1,1548.41,15
9,2,1553.15,15
9,3,1558.92,15
9,4,1567.05,15
9,5,1572.86,15
9,6,1579.15,15
9,7,1584.47,15
9,8,1590.79,15
9,9,1595.45,15
9,10,1600.16,15
9,11,1607.63,15
9,12,1615.27,15
9,13,1623.09,15
9,14,1630.09,15
9,15,1636.3,15
9,16,1640.65,15
9,17,1648.03,15
9,18,1658.37,15
9,19,1665.93,15
9,20,1673.62,15
9,21,1680.81,15
9,22,1688.18,15
9,23,1695.18,15
9,24,1700.43,15
9,25,1706.53,15
9,26,1712.26,15
9,27,1718.31,15
9,28,1724.43,15
9,29,1730.99,15
9,30,1736.89,15
10,1,1742.97,15
10,2,1750.15,15
10,3,1757.24,15
10,4,1767.37,15
10,5,1775.93,15
10,6,1784.39,15
10,7,1793.9,15
10,8,1805.62,15
10,9,1813.38,15
10,10,1819.06,15
10,11,1826.75,15
10,12,1837.6,15
10,13,1846.18,15
10,14,1853.04,15
10,15,1860.9,15
10,16,1870.45,15
10,17,1880.25,15
10,18,1888.91,15
10,19,1897.16,15
10,20,1906.49,15
10,21,1912.67,15
10,22,1920.17,15
10,23,1930.21,15
10,24,1939.89,15
10,25,1949.59,15
10,26,1957.76,15
10,27,1967.19,15
10,28,1976.09,15
10,29,1984.23,15
10,30,1995.79,15
10,31,2005.25,15
11,1,2017.09,15
11,2,2024.15,15
11,3,2032.45,15
11,4,2042.19,15
11,5,2053.39,15
11,6,2063.33,15
11,7,2072.43,15
11,8,2081.84,15
11,9,2090.68,15
11,10,2100.33,15
11,11,2107.82,15
11,12,2116.68,15
11,13,2126.06,15
11,14,2139.13,15
11,15,2148.9,15
11,16,2159.05,15
11,17,2169.79,15
11,18,2180.07,15
11,19,2190.57,15
11,20,2202.13,15
11,21,2209.71,15
11,22,2217.39,15
11,23,2225.25,15
11,24,2234.65,15
11,25,2240.58,15
11,26,2246.54,15
11,27,2259.35,15
11,28,2267.9,15
11,29,2276.17,15
11,30,2283.99,15
12,1,2290.27,15
12,2,2297.69,15
12,3,2303.01,15
12,4,2309.64,15
12,5,2315.35,15
12,6,2322.13,15
12,7,2330.49,15
12,8,2337.81,15
12,9,2344.11,15
12,10,2349.73,15
12,11,2355.17,15
12,12,2359.17,15
12,13,2363.67,15
12,14,2368.04,15
12,15,2373.97,15
12,16,2380.59,15
