month,day,avg_daytime_temperature,years_sampled
1,1,21.19,16
1,2,21.22,16
1,3,20.97,16
1,4,21.07,16
1,5,20.93,16
1,6,20.93,16
1,7,20.78,16
1,8,20.93,16
1,9,20.74,16
1,10,20.79,16
1,11,20.88,16
1,12,21.21,16
1,13,20.86,16
1,14,21.13,16
1,15,21.29,16
1,16,21.29,16
1,17,21.3,16
1,18,21.54,16
1,19,21.8,16
1,20,21.93,16
1,21,21.38,16
1,22,21.36,16
1,23,21.77,16
1,24,21.63,16
1,25,21.76,16
1,26,21.85,16
1,27,21.72,16
1,28,21.62,16
1,29,22.1,16
1,30,21.87,16
1,31,22.08,16
2,1,22.09,16
2,2,21.7,16
2,3,22.01,16
2,4,21.93,16
2,5,21.64,16
2,6,21.66,16
2,7,21.63,16
2,8,21.22,16
2,9,21.01,16
2,10,21.31,16
2,11,21.51,16
2,12,21.55,16
2,13,21.21,16
2,14,21.16,16
2,15,21.84,16
2,16,21.79,16
2,17,21.23,16
2,18,21.61,16
2,19,21.32,16
2,20,21.34,16
2,21,21.21,16
2,22,21.06,16
2,23,21.19,16
2,24,21.3,16
2,25,21.28,16
2,26,21.25,16
2,27,21.43,16
2,28,21.21,16
2,29,22.42,4
3,1,21.2,16
3,2,20.96,16
3,3,21.2,16
3,4,21.49,16
3,5,21.4,16
3,6,21.09,16
3,7,21.42,16
3,8,21.44,16
3,9,21.54,16
3,10,21.28,16
3,11,21.39,16
3,12,21.54,16
3,13,21.6,16
3,14,21.32,16
3,15,21.35,16
3,16,21.62,16
3,17,21.04,16
3,18,21.1,16
3,19,21.12,16
3,20,20.67,16
3,21,21.03,16
3,22,21.21,16
3,23,21.45,16
3,24,21.59,16
3,25,21.65,16
3,26,21.53,16
3,27,21.75,16
3,28,21.54,16
3,29,21.35,16
3,30,21.42,16
3,31,21.01,16
4,1,21.22,16
4,2,21.16,16
4,3,21.02,16
4,4,20.54,16
4,5,20.82,16
4,6,20.55,16
4,7,20.93,16
4,8,20.7,16
4,9,20.79,16
4,10,20.69,16
4,11,20.47,16
4,12,20.53,16
4,13,20.95,16
4,14,20.61,16
4,15,20.94,16
4,16,20.66,16
4,17,20.38,16
4,18,20.4,16
4,19,20.34,16
4,20,20.15,16
4,21,19.86,16
4,22,20.08,16
4,23,20.65,16
4,24,20.51,16
4,25,20.54,16
4,26,20.46,16
4,27,20.46,16
4,28,20.24,16
4,29,20.39,16
4,30,20.48,16
5,1,20.44,16
5,2,20.37,16
5,3,20.54,16
5,4,20.51,16
5,5,20.63,16
5,6,20.54,16
5,7,20.5,16
5,8,20.56,16
5,9,20.53,16
5,10,20.4,16
5,11,20.74,16
5,12,21.05,16
5,13,20.88,16
5,14,20.45,16
5,15,20.53,16
5,16,20.72,16
5,17,20.44,16
5,18,20.65,16
5,19,20.6,16
5,20,20.39,16
5,21,20.36,16
5,22,20.63,16
5,23,20.64,16
5,24,21.11,16
5,25,20.96,16
5,26,20.63,16
5,27,20.3,16
5,28,20.18,16
5,29,20.16,16
5,30,20.2,16
5,31,20.26,16
6,1,20.38,16
6,2,20.62,16
6,3,20.62,16
6,4,21.01,16
6,5,21.0,16
6,6,20.83,16
6,7,20.64,16
6,8,20.81,16
6,9,20.54,16
6,10,20.23,16
6,11,20.6,16
6,12,20.8,16
6,13,20.6,16
6,14,20.13,16
6,15,20.49,16
6,16,20.78,16
6,17,20.79,16
6,18,21.01,16
6,19,20.74,16
6,20,20.82,16
6,21,20.77,16
6,22,20.84,16
6,23,20.79,16
6,24,20.53,16
6,25,20.34,16
6,26,20.64,16
6,27,20.67,16
6,28,20.48,16
6,29,21.08,16
6,30,20.73,16
7,1,20.76,16
7,2,20.56,16
7,3,20.69,16
7,4,20.76,16
7,5,20.44,16
7,6,20.79,16
7,7,20.9,16
7,8,21.51,16
7,9,21.51,16
7,10,20.9,16
7,11,20.44,16
7,12,20.64,16
7,13,20.91,16
7,14,20.94,16
7,15,20.71,16
7,16,21.01,16
7,17,21.14,16
7,18,21.39,16
7,19,21.66,16
7,20,21.49,16
7,21,21.25,16
7,22,21.14,16
7,23,21.05,16
7,24,21.1,16
7,25,21.36,16
7,26,21.0,16
7,27,20.76,16
7,28,21.15,16
7,29,21.34,16
7,30,20.99,16
7,31,21.14,16
8,1,21.17,16
8,2,21.16,16
8,3,20.93,16
8,4,21.25,16
8,5,21.29,16
8,6,21.48,16
8,7,21.11,16
8,8,21.38,16
8,9,21.0,16
8,10,21.29,16
8,11,20.86,16
8,12,21.11,16
8,13,20.77,16
8,14,20.67,16
8,15,20.78,16
8,16,20.62,16
8,17,20.99,16
8,18,20.8,16
8,19,20.63,16
8,20,20.81,16
8,21,21.12,16
8,22,20.75,16
8,23,20.81,16
8,24,20.56,16
8,25,20.58,16
8,26,20.81,16
8,27,21.01,16
8,28,21.28,16
8,29,21.37,16
8,30,21.71,16
8,31,21.34,16
9,1,21.3,16
9,2,20.67,16
9,3,21.05,16
9,4,20.87,16
9,5,21.2,16
9,6,21.15,16
9,7,20.91,16
9,8,20.9,16
9,9,21.46,16
9,10,21.26,16
9,11,20.93,16
9,12,20.73,16
9,13,21.02,16
9,14,21.33,16
9,15,21.56,16
9,16,21.18,16
9,17,21.16,16
9,18,20.2,16
9,19,20.62,16
9,20,20.63,16
9,21,20.89,16
9,22,20.82,16
9,23,20.98,16
9,24,20.82,16
9,25,20.85,16
9,26,20.67,16
9,27,21.07,16
9,28,20.51,16
9,29,20.51,16
9,30,20.23,16
10,1,20.41,16
10,2,20.69,16
10,3,20.5,16
10,4,20.11,16
10,5,20.35,16
10,6,20.24,16
10,7,20.46,16
10,8,20.12,16
10,9,20.07,16
10,10,20.24,16
10,11,20.34,16
10,12,20.28,16
10,13,20.04,16
10,14,20.15,16
10,15,20.11,16
10,16,19.95,16
10,17,19.93,16
10,18,19.9,16
10,19,19.86,16
10,20,20.06,16
10,21,19.93,16
10,22,19.77,16
10,23,19.95,16
10,24,19.73,16
10,25,19.94,16
10,26,19.87,16
10,27,19.79,16
10,28,19.96,16
10,29,19.78,16
10,30,19.64,16
10,31,19.51,16
11,1,19.64,16
11,2,19.81,16
11,3,19.63,16
11,4,19.45,16
11,5,19.68,16
11,6,19.87,16
11,7,20.28,16
11,8,20.05,16
11,9,19.68,16
11,10,19.98,16
11,11,19.81,16
11,12,19.55,16
11,13,19.5,16
11,14,19.59,16
11,15,19.22,16
11,16,19.61,16
11,17,19.62,16
11,18,19.46,16
11,19,19.19,16
11,20,19.56,16
11,21,19.55,16
11,22,19.69,16
11,23,19.9,16
11,24,19.63,16
11,25,20.16,16
11,26,20.22,16
11,27,20.0,16
11,28,19.81,16
11,29,20.02,16
11,30,19.92,16
12,1,19.93,16
