calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,97.51,56.9,143.4,325.55,307.71,343.75,18.85,17.4,20.6,80.36,70.0,89.0,10.5,30.9
2,2,Feb,135.58,50.2,259.0,283.71,261.22,304.85,19.05,17.5,21.0,81.75,71.1,90.0,11.2,30.3
3,3,Mar,219.76,110.05,312.4,295.81,259.28,327.05,18.99,17.6,20.5,84.4,76.0,91.0,12.6,31.7
4,4,Apr,289.03,174.9,429.05,255.93,217.73,279.9,18.83,17.6,20.2,87.38,80.9,93.0,12.8,29.8
5,5,May,273.56,196.2,356.65,265.97,244.84,288.76,18.85,17.75,20.2,87.93,82.0,93.0,12.6,28.6
6,6,Jun,199.28,129.35,296.7,299.14,279.5,316.23,18.76,17.6,20.0,85.52,77.9,92.0,11.8,28.5
7,7,Jul,154.86,80.5,215.3,324.75,308.28,343.54,18.9,17.75,20.2,82.61,73.0,90.0,11.8,28.7
8,8,Aug,185.61,112.05,256.3,322.95,304.81,341.59,18.93,17.8,20.2,82.52,73.0,90.0,11.4,28.7
9,9,Sep,196.42,120.9,259.05,299.34,286.45,315.16,18.88,17.7,20.3,83.64,74.9,90.0,11.5,29.2
10,10,Oct,268.84,194.65,345.4,267.13,237.32,290.94,18.26,17.3,19.3,87.78,82.0,93.0,11.9,28.4
11,11,Nov,274.56,174.35,374.95,260.91,232.11,280.12,18.09,17.1,19.1,89.2,85.0,94.0,11.3,28.1
12,12,Dec,153.58,80.85,258.2,304.43,282.22,326.41,18.43,17.3,19.7,85.44,77.0,92.0,11.5,28.3
