month,day,avg_daytime_temperature,years_sampled
1,1,22.39,16
1,2,21.74,16
1,3,22.09,16
1,4,22.21,16
1,5,21.45,16
1,6,21.81,16
1,7,23.18,16
1,8,22.98,16
1,9,21.85,16
1,10,22.69,16
1,11,24.76,16
1,12,22.8,16
1,13,23.02,16
1,14,22.44,16
1,15,22.13,16
1,16,23.14,16
1,17,24.28,16
1,18,21.52,16
1,19,21.11,16
1,20,21.84,16
1,21,22.69,16
1,22,23.28,16
1,23,23.01,16
1,24,23.24,16
1,25,22.63,16
1,26,21.31,16
1,27,23.03,16
1,28,23.98,16
1,29,21.66,16
1,30,23.33,16
1,31,22.0,16
2,1,20.66,16
2,2,22.11,16
2,3,21.91,16
2,4,22.72,16
2,5,21.48,16
2,6,22.95,16
2,7,23.03,16
2,8,22.51,16
2,9,22.91,16
2,10,22.88,16
2,11,22.88,16
2,12,21.18,16
2,13,22.81,16
2,14,21.47,16
2,15,22.23,16
2,16,21.91,16
2,17,21.85,16
2,18,21.22,16
2,19,20.82,16
2,20,20.64,16
2,21,21.32,16
2,22,23.29,16
2,23,23.1,16
2,24,21.95,16
2,25,22.9,16
2,26,22.24,16
2,27,21.65,16
2,28,22.37,16
2,29,20.69,4
3,1,21.52,16
3,2,20.75,16
3,3,21.25,16
3,4,23.02,16
3,5,21.34,16
3,6,20.47,16
3,7,21.74,16
3,8,22.65,16
3,9,23.49,16
3,10,22.35,16
3,11,22.93,16
3,12,21.87,16
3,13,20.99,16
3,14,20.94,16
3,15,22.19,16
3,16,21.03,16
3,17,21.92,16
3,18,21.63,16
3,19,22.37,16
3,20,20.91,16
3,21,19.72,16
3,22,19.48,16
3,23,19.55,16
3,24,18.42,16
3,25,18.75,16
3,26,18.71,16
3,27,19.65,16
3,28,20.16,16
3,29,19.59,16
3,30,17.95,16
3,31,18.36,16
4,1,19.72,16
4,2,18.03,16
4,3,18.11,16
4,4,17.82,16
4,5,18.67,16
4,6,18.82,16
4,7,18.41,16
4,8,18.91,16
4,9,16.57,16
4,10,17.67,16
4,11,16.07,16
4,12,17.2,16
4,13,17.69,16
4,14,17.57,16
4,15,18.52,16
4,16,17.74,16
4,17,17.93,16
4,18,17.7,16
4,19,17.57,16
4,20,17.84,16
4,21,17.09,16
4,22,16.61,16
4,23,17.02,16
4,24,16.88,16
4,25,16.3,16
4,26,15.83,16
4,27,15.51,16
4,28,16.33,16
4,29,15.69,16
4,30,15.23,16
5,1,16.12,16
5,2,15.61,16
5,3,15.08,16
5,4,14.2,16
5,5,14.7,16
5,6,15.14,16
5,7,15.04,16
5,8,15.02,16
5,9,15.39,16
5,10,14.19,16
5,11,14.42,16
5,12,14.66,16
5,13,14.14,16
5,14,14.06,16
5,15,14.14,16
5,16,13.88,16
5,17,13.88,16
5,18,13.86,16
5,19,14.19,16
5,20,14.2,16
5,21,13.43,16
5,22,14.09,16
5,23,13.89,16
5,24,13.56,16
5,25,14.02,16
5,26,13.48,16
5,27,13.6,16
5,28,13.46,16
5,29,13.02,16
5,30,12.76,16
5,31,12.87,16
6,1,12.12,16
6,2,12.24,16
6,3,11.74,16
6,4,11.88,16
6,5,11.97,16
6,6,12.27,16
6,7,12.09,16
6,8,11.57,16
6,9,11.72,16
6,10,12.04,16
6,11,12.08,16
6,12,11.83,16
6,13,11.76,16
6,14,11.99,16
6,15,11.91,16
6,16,12.22,16
6,17,11.66,16
6,18,11.47,16
6,19,10.88,16
6,20,11.19,16
6,21,10.24,16
6,22,10.98,16
6,23,11.73,16
6,24,11.57,16
6,25,11.62,16
6,26,11.06,16
6,27,11.1,16
6,28,11.0,16
6,29,10.76,16
6,30,10.84,16
7,1,11.22,16
7,2,11.21,16
7,3,10.62,16
7,4,10.85,16
7,5,11.13,16
7,6,11.11,16
7,7,10.68,16
7,8,11.04,16
7,9,10.84,16
7,10,11.37,16
7,11,11.59,16
7,12,11.14,16
7,13,11.15,16
7,14,10.93,16
7,15,11.04,16
7,16,11.17,16
7,17,11.34,16
7,18,11.29,16
7,19,11.15,16
7,20,10.29,16
7,21,10.94,16
7,22,11.61,16
7,23,10.59,16
7,24,11.34,16
7,25,11.44,16
7,26,11.09,16
7,27,11.65,16
7,28,12.18,16
7,29,11.94,16
7,30,11.77,16
7,31,11.71,16
8,1,11.01,16
8,2,11.48,16
8,3,11.92,16
8,4,11.9,16
8,5,11.99,16
8,6,11.16,16
8,7,10.99,16
8,8,11.27,16
8,9,11.56,16
8,10,11.94,16
8,11,12.02,16
8,12,11.97,16
8,13,12.39,16
8,14,13.07,16
8,15,13.06,16
8,16,12.42,16
8,17,11.59,16
8,18,11.84,16
8,19,11.54,16
8,20,11.7,16
8,21,12.41,16
8,22,13.09,16
8,23,12.25,16
8,24,11.93,16
8,25,12.13,16
8,26,12.09,16
8,27,12.23,16
8,28,12.59,16
