calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,46.00666666666666,12.7,78.47999999999999,202.8821362962963,171.36670166666667,245.1794238888889,8.340860215053764,4.6,12.2,81.39569892473118,70.0,92.0,-3.5,21.1,-3.5,21.1
2,2,Feb,47.6,4.26,97.78,222.383392962963,178.8313861111111,258.3564055555555,9.828773584905662,6.33,12.7,73.39622641509433,57.0,87.0,-3.8,24.4,-3.8,24.4
3,3,Mar,67.16000000000001,15.500000000000002,145.16,276.4353103703704,236.7005061111111,315.8238733333334,12.357849462365591,9.3,15.760000000000002,68.04731182795699,49.0,83.0,-1.1,30.0,-1.1,30.0
4,4,Apr,53.75999999999999,21.160000000000004,83.77999999999999,314.10022999999995,294.6548544444444,339.83213222222224,15.542,11.48,19.71,64.57333333333334,47.0,81.0,2.9,35.7,2.9,35.7
5,5,May,25.466666666666665,2.8,51.82,373.9933379629629,352.4224183333333,389.51141722222224,19.783870967741937,14.8,24.9,53.73763440860215,36.0,72.0,5.1,37.1,5.1,37.1
6,6,Jun,11.273333333333333,0.44000000000000006,25.119999999999997,383.93310851851845,360.5224822222222,398.3481161111111,24.072444444444447,18.990000000000002,29.2,46.404444444444444,33.0,63.0,10.3,42.4,10.3,42.4
7,7,Jul,2.9399999999999995,0.040000000000000015,5.779999999999999,405.2378120370371,397.13927611111114,410.7012388888889,27.790967741935486,23.8,31.5,39.189247311827955,28.0,52.0,13.2,44.3,13.2,44.3
8,8,Aug,2.7266666666666666,0.0,6.059999999999999,385.6528003703704,377.15089555555556,392.2802111111111,27.74666666666667,24.14,31.1,39.174193548387095,28.0,51.0,14.6,43.8,14.6,43.8
9,9,Sep,27.779999999999994,5.120000000000001,65.2,319.3726557407408,300.56038722222223,332.8636911111111,23.566666666666666,19.490000000000002,27.3,49.19555555555556,32.900000000000006,70.0,10.3,42.4,10.3,42.4
10,10,Oct,72.36,44.620000000000005,113.12,270.1707166666667,250.88135166666666,289.4979511111111,18.809892473118282,14.7,23.26,62.193548387096776,36.0,83.0,3.8,36.3,3.8,36.3
11,11,Nov,62.34,21.700000000000003,107.38,209.69469074074075,187.81756777777778,242.91854833333332,12.61,8.8,16.2,77.28666666666666,64.0,88.0,0.9,24.8,0.9,24.8
12,12,Dec,53.093333333333334,13.299999999999999,114.23999999999998,196.6795153703704,173.6882261111111,225.92717777777779,9.559569892473117,6.04,13.2,82.38064516129032,71.0,92.0,-2.3,21.0,-2.3,21.0
