calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,50.94,12.8,100.0,210.94,177.85,254.48,8.39,4.55,12.3,81.42,70.5,91.0,-3.6,21.1
2,2,Feb,47.12,4.3,96.65,236.23,190.73,273.5,9.85,6.5,12.6,73.7,57.0,87.0,-3.8,24.4
3,3,Mar,75.36,16.6,156.65,282.31,243.08,324.27,12.28,9.3,15.65,68.59,49.0,84.0,-1.2,30.0
4,4,Apr,55.67,23.2,86.65,327.09,307.08,353.13,15.49,11.4,19.6,65.04,47.9,81.0,2.9,35.6
5,5,May,25.89,3.2,51.65,385.46,358.29,403.43,19.72,14.8,24.9,54.0,36.0,72.0,5.0,39.1
6,6,Jun,12.46,0.45,27.4,406.92,381.06,423.26,24.22,19.0,29.52,46.28,32.0,62.1,10.2,42.4
7,7,Jul,2.77,0.05,5.7,429.93,419.42,437.77,27.78,23.7,31.45,39.19,27.0,52.0,13.1,44.3
8,8,Aug,2.56,0.0,5.8,395.31,386.65,401.96,27.8,24.1,31.5,39.01,28.0,51.0,14.6,43.7
9,9,Sep,27.19,5.55,64.55,335.29,316.41,350.3,23.5,19.49,27.3,49.03,32.0,69.0,10.3,42.4
10,10,Oct,69.35,31.9,111.55,281.63,260.71,300.09,18.9,14.85,23.05,62.16,36.5,82.0,3.8,36.3
11,11,Nov,63.46,23.35,105.0,223.78,200.12,260.7,12.55,8.5,16.21,77.26,64.0,88.0,0.9,24.8
12,12,Dec,56.78,13.4,123.3,209.04,185.29,238.43,9.53,6.1,13.1,82.54,71.0,92.0,-2.3,21.0
