month,day,avg_accumulated_precipitation,years_sampled
1,1,0.76,16
1,2,1.59,16
1,3,3.88,16
1,4,6.82,16
1,5,9.05,16
1,6,9.73,16
1,7,11.09,16
1,8,13.86,16
1,9,15.77,16
1,10,16.73,16
1,11,18.14,16
1,12,19.41,16
1,13,21.13,16
1,14,21.32,16
1,15,22.77,16
1,16,23.5,16
1,17,25.09,16
1,18,27.32,16
1,19,32.11,16
1,20,35.27,16
1,21,37.32,16
1,22,39.19,16
1,23,40.97,16
1,24,41.98,16
1,25,43.58,16
1,26,45.11,16
1,27,47.77,16
1,28,48.58,16
1,29,49.83,16
1,30,50.06,16
1,31,50.94,16
2,1,51.94,16
2,2,52.98,16
2,3,53.53,16
2,4,55.7,16
2,5,58.17,16
2,6,59.01,16
2,7,59.92,16
2,8,61.86,16
2,9,64.78,16
2,10,66.1,16
2,11,69.05,16
2,12,71.84,16
2,13,74.15,16
2,14,75.03,16
2,15,78.13,16
2,16,79.72,16
2,17,80.39,16
2,18,81.68,16
2,19,84.09,16
2,20,84.18,16
2,21,87.25,16
2,22,88.5,16
2,23,89.52,16
2,24,90.27,16
2,25,91.23,16
2,26,93.06,16
2,27,94.66,16
2,28,97.97,16
2,29,98.07,4
3,1,99.13,16
3,2,102.2,16
3,3,105.43,16
3,4,107.73,16
3,5,111.02,16
3,6,114.63,16
3,7,118.08,16
3,8,122.14,16
3,9,125.84,16
3,10,128.06,16
3,11,129.94,16
3,12,131.04,16
3,13,132.65,16
3,14,135.74,16
3,15,136.46,16
3,16,137.54,16
3,17,141.54,16
3,18,142.56,16
3,19,144.26,16
3,20,147.01,16
3,21,151.6,16
3,22,153.34,16
3,23,155.58,16
3,24,157.26,16
3,25,159.77,16
3,26,160.99,16
3,27,163.18,16
3,28,164.61,16
3,29,167.73,16
3,30,168.99,16
3,31,173.43,16
4,1,176.38,16
4,2,178.59,16
4,3,179.99,16
4,4,182.98,16
4,5,184.21,16
4,6,185.82,16
4,7,186.84,16
4,8,187.64,16
4,9,189.38,16
4,10,191.24,16
4,11,193.56,16
4,12,196.42,16
4,13,197.5,16
4,14,198.73,16
4,15,200.65,16
4,16,202.32,16
4,17,203.66,16
4,18,204.67,16
4,19,206.72,16
4,20,209.31,16
4,21,211.09,16
4,22,215.18,16
4,23,216.39,16
4,24,217.52,16
4,25,218.51,16
4,26,220.98,16
4,27,222.18,16
4,28,223.85,16
4,29,226.49,16
4,30,229.09,16
5,1,229.23,16
5,2,229.93,16
5,3,231.04,16
5,4,231.98,16
5,5,233.38,16
5,6,234.15,16
5,7,234.46,16
