month,day,avg_accumulated_precipitation,years_sampled
1,1,0.34,15
1,2,2.13,15
1,3,3.6,15
1,4,4.86,15
1,5,5.39,15
1,6,5.65,15
1,7,6.3,15
1,8,7.33,15
1,9,8.39,15
1,10,8.81,15
1,11,9.93,15
1,12,11.93,15
1,13,13.01,15
1,14,13.75,15
1,15,14.51,15
1,16,15.43,15
1,17,16.25,15
1,18,16.28,15
1,19,16.41,15
1,20,17.06,15
1,21,17.48,15
1,22,18.61,15
1,23,19.11,15
1,24,19.43,15
1,25,19.93,15
1,26,22.9,15
1,27,25.54,15
1,28,26.89,15
1,29,27.65,15
1,30,29.15,15
1,31,30.07,15
2,1,30.17,15
2,2,30.29,15
2,3,30.85,15
2,4,32.05,15
2,5,33.89,15
2,6,34.09,15
2,7,35.92,15
2,8,36.47,15
2,9,36.7,15
2,10,36.93,15
2,11,37.91,15
2,12,40.05,15
2,13,40.83,15
2,14,40.99,15
2,15,41.23,15
2,16,41.48,15
2,17,41.52,15
2,18,42.53,15
2,19,43.79,15
2,20,43.87,15
2,21,43.97,15
2,22,44.08,15
2,23,44.08,15
2,24,44.23,15
2,25,44.29,15
2,26,45.25,15
2,27,46.25,15
2,28,46.49,15
2,29,46.49,4
3,1,46.57,15
3,2,46.63,15
3,3,46.71,15
3,4,47.07,15
3,5,48.01,15
3,6,49.23,15
3,7,49.3,15
3,8,49.46,15
3,9,49.49,15
3,10,49.73,15
3,11,50.23,15
3,12,51.51,15
3,13,51.67,15
3,14,52.34,15
3,15,52.61,15
3,16,53.12,15
3,17,53.95,15
3,18,55.2,15
3,19,55.55,15
3,20,56.93,15
3,21,56.99,15
3,22,57.03,15
3,23,57.17,15
3,24,58.47,15
3,25,58.6,15
3,26,58.67,15
3,27,58.97,15
3,28,58.99,15
3,29,59.03,15
3,30,59.08,15
3,31,59.53,15
4,1,59.68,15
4,2,59.93,15
4,3,60.28,15
4,4,60.92,15
4,5,60.93,15
4,6,61.19,15
4,7,61.51,15
4,8,61.89,15
4,9,62.59,15
4,10,64.15,15
4,11,64.39,15
4,12,64.87,15
4,13,65.27,15
4,14,66.0,15
4,15,66.99,15
4,16,67.43,15
4,17,68.97,15
4,18,70.85,15
4,19,73.18,15
4,20,74.19,15
4,21,74.7,15
4,22,75.04,15
4,23,75.16,15
4,24,75.55,15
4,25,76.08,15
4,26,77.05,15
4,27,77.89,15
4,28,78.34,15
4,29,79.81,15
4,30,81.45,15
5,1,82.17,15
5,2,83.69,15
5,3,84.57,15
5,4,87.48,15
5,5,87.99,15
5,6,88.16,15
5,7,88.35,15
5,8,88.51,15
5,9,89.51,15
5,10,89.75,15
5,11,89.91,15
5,12,90.45,15
5,13,91.35,15
5,14,92.33,15
5,15,94.49,15
5,16,95.19,15
5,17,97.31,15
5,18,99.4,15
5,19,100.55,15
5,20,101.89,15
5,21,104.24,15
5,22,106.85,15
5,23,108.85,15
5,24,110.43,15
5,25,111.3,15
5,26,111.82,15
5,27,112.99,15
5,28,114.91,15
5,29,117.5,15
5,30,122.83,15
5,31,128.48,15
6,1,137.61,15
6,2,144.61,15
6,3,149.29,15
6,4,156.33,15
6,5,163.02,15
6,6,166.33,15
6,7,168.92,15
6,8,171.35,15
6,9,174.57,15
6,10,176.95,15
6,11,181.68,15
6,12,189.17,15
6,13,194.97,15
6,14,199.21,15
6,15,204.27,15
6,16,211.01,15
6,17,220.11,15
6,18,227.6,15
6,19,230.35,15
6,20,234.03,15
6,21,237.09,15
6,22,241.64,15
6,23,245.37,15
6,24,249.29,15
6,25,254.07,15
6,26,257.51,15
6,27,262.41,15
6,28,269.34,15
6,29,275.05,15
6,30,278.96,15
7,1,281.38,15
7,2,285.3,15
7,3,287.29,15
7,4,289.22,15
7,5,293.69,15
7,6,299.0,15
7,7,302.09,15
7,8,303.33,15
7,9,306.71,15
7,10,309.03,15
7,11,311.84,15
7,12,314.87,15
7,13,316.35,15
7,14,318.94,15
7,15,320.56,15
7,16,322.75,15
7,17,325.27,15
7,18,329.74,15
7,19,331.28,15
7,20,334.47,15
7,21,337.87,15
7,22,340.29,15
7,23,343.16,15
7,24,345.64,15
7,25,347.77,15
7,26,351.05,15
7,27,352.67,15
7,28,355.02,15
7,29,357.69,15
7,30,359.49,15
7,31,361.42,15
8,1,364.55,15
8,2,366.52,15
8,3,370.39,15
8,4,373.49,15
8,5,376.43,15
8,6,377.82,15
8,7,380.77,15
8,8,383.98,15
8,9,388.46,15
8,10,392.92,15
8,11,394.26,15
8,12,396.77,15
8,13,399.61,15
8,14,401.51,15
8,15,405.83,15
8,16,407.97,15
8,17,410.43,15
8,18,412.73,15
8,19,419.44,15
8,20,426.07,15
8,21,428.55,15
8,22,430.95,15
8,23,435.93,15
8,24,443.09,15
8,25,446.4,15
8,26,449.63,15
8,27,453.99,15
8,28,460.45,15
8,29,463.06,15
8,30,466.57,15
8,31,471.56,15
9,1,475.93,15
9,2,481.33,15
9,3,484.67,15
9,4,487.39,15
9,5,489.59,15
9,6,493.38,15
9,7,496.95,15
9,8,499.95,15
9,9,503.77,15
9,10,507.44,15
9,11,513.4,15
9,12,517.34,15
9,13,521.79,15
9,14,526.75,15
9,15,532.92,15
9,16,536.85,15
9,17,539.54,15
9,18,541.63,15
9,19,543.28,15
9,20,546.25,15
9,21,548.84,15
9,22,552.59,15
9,23,556.88,15
9,24,559.92,15
9,25,565.79,15
9,26,570.86,15
9,27,575.11,15
9,28,576.71,15
9,29,578.65,15
9,30,582.27,15
10,1,585.39,15
10,2,588.97,15
10,3,595.53,15
10,4,598.15,15
10,5,599.81,15
10,6,606.31,15
10,7,614.51,15
10,8,617.98,15
10,9,622.27,15
10,10,624.8,15
10,11,625.44,15
10,12,626.27,15
10,13,629.48,15
10,14,633.57,15
10,15,636.03,15
10,16,639.05,15
10,17,641.72,15
10,18,644.66,15
10,19,646.13,15
10,20,650.11,15
10,21,654.06,15
10,22,657.19,15
10,23,659.89,15
10,24,663.17,15
10,25,665.91,15
10,26,669.88,15
10,27,674.54,15
10,28,677.36,15
10,29,681.01,15
10,30,682.83,15
10,31,684.22,15
11,1,686.35,15
11,2,689.26,15
11,3,690.85,15
11,4,691.69,15
11,5,692.97,15
11,6,693.66,15
11,7,695.39,15
11,8,695.78,15
11,9,696.6,15
11,10,697.68,15
11,11,699.25,15
11,12,700.67,15
11,13,703.51,15
11,14,711.13,15
11,15,712.85,15
11,16,713.16,15
11,17,714.69,15
11,18,716.03,15
11,19,717.42,15
11,20,718.13,15
11,21,718.34,15
11,22,719.1,15
11,23,719.47,15
11,24,720.3,15
11,25,721.41,15
11,26,722.34,15
11,27,723.74,15
11,28,724.37,15
11,29,724.7,15
11,30,725.37,15
12,1,725.64,15
12,2,725.79,15
12,3,727.27,15
12,4,727.84,15
12,5,728.55,15
12,6,729.23,15
12,7,729.83,15
12,8,730.16,15
12,9,731.03,15
12,10,732.49,15
12,11,734.81,15
12,12,735.25,15
12,13,735.68,15
12,14,736.2,15
12,15,737.01,15
12,16,737.53,15
12,17,738.61,15
12,18,739.49,15
12,19,739.9,15
12,20,743.11,15
12,21,743.53,15
12,22,743.65,15
12,23,744.35,15
12,24,744.88,15
12,25,746.48,15
12,26,747.12,15
12,27,747.59,15
12,28,748.1,15
12,29,748.72,15
12,30,748.91,15
12,31,749.36,15
