month,day,avg_daytime_temperature,years_sampled
1,1,27.24,16
1,2,26.74,16
1,3,25.73,16
1,4,24.98,16
1,5,24.86,16
1,6,25.17,16
1,7,24.69,16
1,8,24.99,16
1,9,25.2,16
1,10,25.11,16
1,11,25.26,16
1,12,25.32,16
1,13,24.98,16
1,14,24.8,16
1,15,25.16,16
1,16,24.86,16
1,17,24.11,16
1,18,24.94,16
1,19,25.81,16
1,20,25.5,16
1,21,25.89,16
1,22,25.37,16
1,23,25.4,16
1,24,25.33,16
1,25,25.57,16
1,26,25.3,16
1,27,25.3,16
1,28,25.11,16
1,29,24.48,16
1,30,24.81,16
1,31,25.25,16
2,1,25.99,16
2,2,26.22,16
2,3,26.38,16
2,4,26.71,16
2,5,25.6,16
2,6,26.32,16
2,7,26.0,16
2,8,26.08,16
2,9,26.79,16
2,10,26.8,16
2,11,26.58,16
2,12,26.52,16
2,13,25.54,16
2,14,25.95,16
2,15,26.37,16
2,16,26.45,16
2,17,27.18,16
2,18,27.09,16
2,19,26.72,16
2,20,27.17,16
2,21,27.61,16
2,22,27.97,16
2,23,28.54,16
2,24,28.01,16
2,25,27.7,16
2,26,27.58,16
2,27,27.37,16
2,28,27.52,16
2,29,27.14,4
3,1,28.17,16
3,2,28.01,16
3,3,28.16,16
3,4,28.04,16
3,5,28.14,16
3,6,27.21,16
3,7,27.78,16
3,8,28.46,16
3,9,29.38,16
3,10,28.97,16
3,11,29.05,16
3,12,27.95,16
3,13,27.99,16
3,14,28.74,16
3,15,29.07,16
3,16,29.09,16
3,17,28.75,16
3,18,28.91,16
3,19,28.58,16
3,20,28.55,16
3,21,28.05,16
3,22,28.95,16
3,23,28.77,16
3,24,29.23,16
3,25,29.53,16
3,26,29.2,16
3,27,29.49,16
3,28,29.62,16
3,29,29.42,16
3,30,29.8,16
3,31,30.22,16
4,1,30.51,16
4,2,30.96,16
4,3,30.79,16
4,4,30.7,16
4,5,30.3,16
4,6,30.61,16
4,7,30.49,16
4,8,29.73,16
4,9,29.56,16
4,10,29.86,16
4,11,29.94,16
4,12,30.26,16
4,13,30.61,16
4,14,31.04,16
4,15,30.32,16
4,16,30.21,16
4,17,30.57,16
4,18,30.48,16
4,19,29.89,16
4,20,30.05,16
4,21,30.06,16
4,22,30.42,16
4,23,30.91,16
4,24,31.24,16
4,25,31.43,16
4,26,31.47,16
4,27,31.53,16
4,28,31.72,16
4,29,31.61,16
4,30,31.06,16
5,1,31.24,16
5,2,31.67,16
5,3,31.47,16
5,4,31.04,16
5,5,30.97,16
5,6,31.0,16
5,7,31.5,16
5,8,32.12,16
5,9,32.4,16
5,10,32.04,16
5,11,31.88,16
5,12,31.97,16
5,13,31.7,16
5,14,31.45,16
5,15,30.95,16
5,16,31.3,16
5,17,31.44,16
5,18,31.68,16
5,19,32.04,16
5,20,31.99,16
5,21,31.78,16
5,22,31.23,16
5,23,31.57,16
5,24,31.49,16
5,25,31.8,16
5,26,31.79,16
5,27,31.6,16
5,28,31.73,16
5,29,31.18,16
5,30,30.96,16
5,31,30.05,16
6,1,29.79,16
6,2,29.57,16
6,3,29.87,16
6,4,29.84,16
6,5,30.31,16
