calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,13.433333333333334,0.040000000000000015,26.159999999999997,272.5540255555556,261.0493861111111,281.9878644444444,14.770967741935484,10.98,18.160000000000004,39.56344086021505,20.0,65.60000000000002,0.1,30.2,0.1,30.2
2,2,Feb,7.34,0.08000000000000003,17.78,273.3258629629629,259.54934555555553,284.8537788888889,16.670754716981133,12.2,21.27,35.74764150943396,18.0,56.0,2.2,32.0,2.2,32.0
3,3,Mar,6.96,0.44000000000000006,16.04,332.7365914814815,317.3069172222222,343.0081661111111,20.235913978494626,15.38,25.0,31.84516129032258,17.0,47.0,5.6,37.0,5.6,37.0
4,4,Apr,1.8133333333333337,0.0,5.64,357.1692983333333,348.6824311111111,363.4070633333333,24.262888888888888,19.2,29.0,25.386666666666667,13.0,38.0,7.5,42.1,7.5,42.1
5,5,May,1.1933333333333331,0.0,3.5199999999999987,395.51143407407403,390.75777111111114,398.80906,27.25698924731183,21.540000000000003,32.1,25.322580645161292,13.0,36.60000000000002,10.4,43.6,10.4,43.6
6,6,Jun,0.17333333333333334,0.0,0.4,395.1837562962964,387.1733844444445,399.54447500000003,33.14977777777778,29.080000000000002,36.9,22.90888888888889,14.0,33.0,14.6,49.9,14.6,49.9
7,7,Jul,4.866666666666666,0.5800000000000001,11.399999999999999,393.8579174074074,385.0068772222222,402.55220777777777,36.140215053763434,33.04,38.96,29.240860215053765,17.0,43.0,20.1,50.5,20.1,50.5
8,8,Aug,10.073333333333334,0.3200000000000001,29.57999999999999,375.99803425925916,367.76163777777776,381.31691222222224,35.72344086021506,32.94,38.7,32.10322580645161,18.0,48.0,19.4,48.5,19.4,48.5
9,9,Sep,10.533333333333333,0.040000000000000015,21.4,332.20209574074073,319.91777777777776,340.14331055555556,32.098444444444446,27.6,36.1,32.60666666666667,17.0,54.0,15.2,48.9,15.2,48.9
10,10,Oct,5.266666666666667,0.0,14.779999999999998,322.1666368518518,317.48932777777776,326.4889494444445,25.873333333333335,21.0,30.7,29.817204301075268,15.0,46.0,6.4,45.4,6.4,45.4
11,11,Nov,3.6399999999999997,0.0,10.199999999999996,274.0211966666667,268.74997388888886,283.00956444444444,18.909111111111113,15.0,23.5,32.44,18.0,52.0,4.3,35.0,4.3,35.0
12,12,Dec,9.446666666666667,0.12000000000000005,20.08,260.857592037037,245.4512,274.294915,14.40236559139785,10.7,18.0,40.61505376344086,21.0,65.60000000000002,2.1,28.6,2.1,28.6
