month,day,avg_daytime_temperature,years_sampled
1,1,14.75,16
1,2,15.41,16
1,3,15.8,16
1,4,15.8,16
1,5,16.91,16
1,6,17.14,16
1,7,16.84,16
1,8,17.15,16
1,9,17.16,16
1,10,16.96,16
1,11,16.62,16
1,12,16.16,16
1,13,16.48,16
1,14,17.24,16
1,15,17.64,16
1,16,18.53,16
1,17,18.72,16
1,18,18.87,16
1,19,18.49,16
1,20,17.89,16
1,21,17.39,16
1,22,17.22,16
1,23,17.45,16
1,24,17.44,16
1,25,17.41,16
1,26,17.57,16
1,27,17.85,16
1,28,18.23,16
1,29,18.8,16
1,30,18.84,16
1,31,18.46,16
2,1,18.47,16
2,2,18.17,16
2,3,18.04,16
2,4,18.35,16
2,5,18.98,16
2,6,19.28,16
2,7,19.56,16
2,8,19.69,16
2,9,20.53,16
2,10,19.92,16
2,11,19.82,16
2,12,19.51,16
2,13,20.08,16
2,14,20.49,16
2,15,20.52,16
2,16,20.8,16
2,17,20.66,16
2,18,20.3,16
2,19,20.04,16
2,20,19.64,16
2,21,19.77,16
2,22,19.5,16
2,23,19.58,16
2,24,19.4,16
2,25,20.28,16
2,26,20.39,16
2,27,19.81,16
2,28,20.94,16
2,29,23.18,4
3,1,20.76,16
3,2,21.36,16
3,3,21.56,16
3,4,21.36,16
3,5,21.72,16
3,6,22.51,16
3,7,20.44,16
3,8,21.11,16
3,9,21.3,16
3,10,21.7,16
3,11,21.68,16
3,12,22.14,16
3,13,23.11,16
3,14,22.85,16
3,15,23.52,16
3,16,24.1,16
3,17,23.99,16
3,18,22.91,16
3,19,23.46,16
3,20,23.62,16
3,21,23.78,16
3,22,23.65,16
3,23,23.32,16
3,24,23.61,16
3,25,24.43,16
3,26,23.46,16
3,27,24.03,16
3,28,24.36,16
3,29,25.37,16
3,30,25.49,16
3,31,24.9,16
4,1,24.67,16
4,2,25.1,16
4,3,25.25,16
4,4,25.83,16
4,5,25.55,16
4,6,25.82,16
4,7,26.53,16
4,8,25.88,16
4,9,26.99,16
4,10,26.92,16
4,11,27.46,16
4,12,25.96,16
4,13,25.54,16
4,14,25.56,16
4,15,26.0,16
4,16,26.63,16
4,17,27.11,16
4,18,28.14,16
4,19,28.05,16
4,20,29.2,16
4,21,28.85,16
4,22,28.79,16
4,23,28.77,16
