month,day,avg_accumulated_precipitation,years_sampled
1,1,0.34,15
1,2,0.75,15
1,3,1.81,15
1,4,3.06,15
1,5,3.49,15
1,6,4.31,15
1,7,4.81,15
1,8,6.49,15
1,9,7.95,15
1,10,8.23,15
1,11,8.83,15
1,12,9.52,15
1,13,11.15,15
1,14,11.95,15
1,15,13.27,15
1,16,14.51,15
1,17,14.86,15
1,18,15.22,15
1,19,15.97,15
1,20,16.37,15
1,21,17.02,15
1,22,17.83,15
1,23,18.67,15
1,24,19.78,15
1,25,20.15,15
1,26,20.17,15
1,27,20.71,15
1,28,21.22,15
1,29,22.57,15
1,30,23.15,15
1,31,24.51,15
2,1,26.91,15
2,2,27.49,15
2,3,29.97,15
2,4,34.61,15
2,5,35.64,15
2,6,36.47,15
2,7,37.01,15
2,8,37.51,15
2,9,37.84,15
2,10,39.49,15
2,11,40.37,15
2,12,41.35,15
2,13,42.06,15
2,14,42.88,15
2,15,43.33,15
2,16,43.39,15
2,17,45.05,15
2,18,45.83,15
2,19,45.94,15
2,20,45.95,15
2,21,46.1,15
2,22,46.15,15
2,23,46.32,15
2,24,46.69,15
2,25,47.4,15
2,26,47.95,15
2,27,48.85,15
2,28,48.97,15
2,29,49.09,4
3,1,49.49,15
3,2,49.92,15
3,3,50.15,15
3,4,50.71,15
3,5,51.1,15
3,6,52.03,15
3,7,52.3,15
3,8,52.75,15
3,9,56.39,15
3,10,59.23,15
3,11,60.24,15
3,12,61.77,15
3,13,62.75,15
3,14,65.36,15
3,15,67.73,15
3,16,68.89,15
3,17,69.53,15
3,18,70.43,15
3,19,70.79,15
3,20,71.05,15
3,21,71.59,15
3,22,72.65,15
3,23,73.03,15
3,24,74.27,15
3,25,74.59,15
3,26,75.57,15
3,27,78.15,15
3,28,79.56,15
3,29,81.26,15
3,30,82.16,15
3,31,82.61,15
4,1,83.82,15
4,2,84.84,15
4,3,85.13,15
4,4,85.25,15
4,5,85.63,15
4,6,86.25,15
4,7,87.35,15
4,8,89.01,15
4,9,90.51,15
4,10,92.12,15
4,11,93.92,15
4,12,96.07,15
4,13,97.85,15
