month,day,avg_daytime_temperature,years_sampled
1,1,17.25,16
1,2,16.76,16
1,3,16.7,16
1,4,16.7,16
1,5,16.71,16
1,6,17.01,16
1,7,16.43,16
1,8,15.98,16
1,9,16.16,16
1,10,16.6,16
1,11,16.89,16
1,12,16.84,16
1,13,16.01,16
1,14,15.98,16
1,15,16.23,16
1,16,16.81,16
1,17,16.86,16
1,18,17.12,16
1,19,17.5,16
1,20,17.11,16
1,21,17.23,16
1,22,17.75,16
1,23,17.75,16
1,24,17.42,16
1,25,17.91,16
1,26,18.1,16
1,27,17.99,16
1,28,17.34,16
1,29,16.3,16
1,30,17.12,16
1,31,18.06,16
2,1,17.47,16
2,2,18.07,16
2,3,17.71,16
2,4,18.15,16
2,5,17.99,16
2,6,18.85,16
2,7,18.97,16
2,8,18.53,16
2,9,18.47,16
2,10,18.14,16
2,11,18.58,16
2,12,18.37,16
2,13,17.7,16
2,14,18.35,16
2,15,19.08,16
2,16,19.7,16
2,17,19.13,16
2,18,19.55,16
2,19,19.48,16
2,20,19.84,16
2,21,19.68,16
2,22,20.41,16
2,23,20.48,16
2,24,19.69,16
2,25,19.55,16
2,26,19.74,16
2,27,19.92,16
2,28,20.36,16
2,29,19.9,4
3,1,20.7,16
3,2,19.91,16
3,3,20.31,16
3,4,20.08,16
3,5,20.49,16
3,6,19.35,16
3,7,20.08,16
3,8,20.17,16
3,9,20.22,16
3,10,19.44,16
3,11,20.03,16
3,12,20.0,16
3,13,20.04,16
3,14,19.9,16
3,15,19.28,16
3,16,19.46,16
3,17,19.54,16
3,18,19.63,16
3,19,20.37,16
3,20,20.02,16
3,21,19.88,16
3,22,20.61,16
3,23,21.25,16
3,24,21.58,16
3,25,21.66,16
3,26,21.1,16
3,27,21.28,16
3,28,21.54,16
3,29,21.43,16
3,30,21.65,16
3,31,21.95,16
4,1,21.95,16
4,2,22.02,16
4,3,22.07,16
4,4,22.21,16
4,5,22.11,16
4,6,22.13,16
4,7,22.06,16
4,8,21.17,16
4,9,21.22,16
4,10,21.67,16
4,11,21.42,16
4,12,21.38,16
4,13,21.95,16
4,14,22.25,16
4,15,21.91,16
4,16,21.99,16
4,17,22.27,16
4,18,22.34,16
4,19,21.56,16
4,20,22.02,16
4,21,22.25,16
4,22,21.61,16
4,23,21.82,16
4,24,22.38,16
4,25,22.46,16
4,26,21.77,16
4,27,22.55,16
4,28,22.53,16
4,29,22.49,16
4,30,22.22,16
5,1,22.64,16
5,2,23.06,16
5,3,22.7,16
5,4,22.54,16
5,5,22.13,16
5,6,22.05,16
5,7,22.3,16
5,8,22.05,16
5,9,22.18,16
5,10,22.02,16
5,11,21.58,16
5,12,21.39,16
5,13,21.09,16
5,14,21.19,16
5,15,21.52,16
5,16,21.54,16
5,17,22.06,16
5,18,22.43,16
5,19,22.95,16
5,20,22.28,16
5,21,21.89,16
5,22,21.7,16
5,23,21.71,16
5,24,21.59,16
5,25,21.66,16
5,26,21.7,16
5,27,21.41,16
5,28,21.32,16
5,29,20.89,16
5,30,21.04,16
5,31,20.77,16
6,1,20.79,16
6,2,20.45,16
6,3,20.51,16
6,4,20.82,16
6,5,20.63,16
6,6,20.88,16
6,7,20.84,16
6,8,20.97,16
6,9,20.89,16
6,10,21.08,16
6,11,20.18,16
6,12,20.29,16
6,13,19.71,16
6,14,19.62,16
6,15,19.61,16
6,16,19.87,16
6,17,19.88,16
6,18,19.8,16
6,19,19.53,16
6,20,18.66,16
6,21,18.81,16
6,22,18.64,16
6,23,19.19,16
6,24,18.58,16
6,25,18.3,16
6,26,18.31,16
6,27,18.51,16
6,28,18.4,16
6,29,18.23,16
6,30,18.04,16
7,1,18.05,16
7,2,18.08,16
7,3,18.16,16
7,4,18.01,16
7,5,18.46,16
7,6,18.14,16
7,7,18.31,16
7,8,18.23,16
7,9,18.03,16
7,10,17.8,16
7,11,17.77,16
7,12,18.09,16
7,13,18.37,16
7,14,18.12,16
7,15,18.43,16
7,16,18.42,16
7,17,18.06,16
7,18,18.35,16
7,19,18.56,16
7,20,18.64,16
7,21,18.94,16
7,22,18.62,16
7,23,18.42,16
7,24,18.27,16
7,25,18.49,16
7,26,18.72,16
7,27,18.4,16
7,28,18.28,16
7,29,18.76,16
7,30,18.78,16
7,31,18.43,16
8,1,18.82,16
8,2,18.73,16
8,3,18.48,16
8,4,18.67,16
8,5,18.65,16
8,6,18.44,16
8,7,18.77,16
8,8,18.84,16
8,9,18.59,16
8,10,18.59,16
8,11,18.54,16
8,12,18.27,16
8,13,18.23,16
8,14,18.35,16
8,15,18.7,16
8,16,18.41,16
8,17,18.13,16
8,18,18.24,16
8,19,18.53,16
8,20,18.36,16
8,21,17.91,16
8,22,18.11,16
8,23,18.22,16
8,24,18.4,16
8,25,18.43,16
8,26,18.3,16
8,27,18.22,16
8,28,18.24,16
8,29,18.28,16
8,30,18.43,16
8,31,18.33,16
9,1,18.24,16
9,2,18.3,16
9,3,18.09,16
9,4,18.13,16
9,5,18.19,16
9,6,17.68,16
9,7,17.78,16
9,8,17.81,16
9,9,17.99,16
9,10,17.95,16
9,11,17.67,16
9,12,17.79,16
9,13,17.95,16
9,14,18.39,16
9,15,18.37,16
9,16,17.88,16
9,17,18.0,16
9,18,18.11,16
9,19,18.27,16
9,20,18.32,16
9,21,18.22,16
9,22,18.25,16
9,23,18.17,16
9,24,18.14,16
9,25,18.15,16
9,26,17.77,16
9,27,17.79,16
9,28,17.98,16
9,29,17.16,16
9,30,17.46,16
10,1,17.39,16
10,2,17.16,16
10,3,17.31,16
10,4,17.49,16
10,5,17.82,16
10,6,17.59,16
10,7,17.59,16
10,8,17.12,16
10,9,17.48,16
10,10,17.82,16
10,11,17.96,16
10,12,18.29,16
10,13,18.25,16
10,14,17.81,16
10,15,17.83,16
10,16,17.81,16
10,17,17.15,16
10,18,17.66,16
10,19,17.88,16
10,20,17.94,16
10,21,18.0,16
10,22,18.1,16
10,23,17.89,16
10,24,17.93,16
10,25,17.44,16
10,26,18.06,16
10,27,18.12,16
10,28,17.82,16
10,29,17.11,16
10,30,17.38,16
10,31,17.49,16
11,1,17.4,16
11,2,17.17,16
11,3,17.07,16
11,4,16.82,16
11,5,17.09,16
11,6,17.63,16
11,7,18.07,16
11,8,18.15,16
11,9,17.68,16
11,10,17.23,16
11,11,17.71,16
11,12,17.78,16
11,13,16.94,16
11,14,16.53,16
11,15,17.1,16
11,16,17.17,16
11,17,17.59,16
11,18,17.36,16
11,19,17.03,16
11,20,16.97,16
11,21,17.45,16
11,22,16.96,16
11,23,16.57,16
11,24,16.97,16
11,25,17.84,16
11,26,17.27,16
11,27,16.42,16
11,28,16.66,16
11,29,16.8,16
11,30,17.28,16
12,1,17.44,16
12,2,17.17,16
12,3,17.03,16
12,4,17.03,16
12,5,17.14,16
12,6,16.88,16
12,7,16.69,16
12,8,16.71,16
12,9,15.98,16
12,10,16.83,16
12,11,16.46,16
12,12,16.87,16
12,13,17.59,16
12,14,17.9,16
12,15,17.46,16
12,16,17.76,16
12,17,17.43,16
12,18,17.09,16
12,19,17.39,16
12,20,17.28,16
12,21,16.8,16
12,22,16.68,16
12,23,16.85,16
12,24,17.04,16
12,25,16.46,16
12,26,16.7,16
12,27,16.93,16
12,28,17.07,16
12,29,17.23,16
12,30,17.11,16
12,31,17.24,16
