time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,0.0,72,35931.68,12.6,7.9,19.1,9.981022222222222,1
2010-01-02,0.3,73,29951.44,12.0,7.3,17.5,8.319844444444444,1
2010-01-03,4.3,87,34543.68,12.0,9.7,16.3,9.595466666666667,1
2010-01-04,1.1,82,34078.3,10.4,7.6,14.9,9.466194444444445,1
2010-01-05,0.0,74,35310.42,10.2,5.2,15.9,9.808449999999999,1
2010-01-06,0.2,74,29104.23,11.3,7.5,16.8,8.084508333333334,1
2010-01-07,3.9,79,25231.77,11.7,8.5,16.3,7.008825,1
2010-01-08,21.7,94,3358.81,10.4,9.5,12.8,0.9330027777777777,1
2010-01-09,9.9,94,9977.81,9.6,6.9,12.2,2.7716138888888886,1
2010-01-10,0.0,83,35540.07,8.4,5.7,12.8,9.872241666666667,1
2010-01-11,0.0,74,31149.41,9.0,4.1,14.2,8.652613888888888,1
2010-01-12,0.0,84,32268.71,9.0,4.3,14.4,8.963530555555556,1
2010-01-13,3.8,85,32624.11,9.8,6.8,13.9,9.062252777777777,1
2010-01-14,0.7,78,36624.38,10.1,5.2,15.6,10.173438888888889,1
2010-01-15,13.7,87,31736.27,9.5,7.4,13.4,8.815630555555556,1
2010-01-16,9.5,81,30438.08,11.2,8.0,16.6,8.455022222222222,1
2010-01-17,0.0,81,36131.48,12.0,8.0,17.8,10.036522222222223,1
2010-01-18,0.0,79,37093.55,11.8,4.6,19.2,10.30376388888889,1
2010-01-19,0.0,69,37361.23,12.6,6.4,20.3,10.378119444444446,1
2010-01-20,0.0,65,37406.32,11.6,4.7,20.1,10.390644444444444,1
2010-01-21,0.0,54,37452.33,12.0,5.8,20.2,10.403425,1
2010-01-22,0.0,54,37464.98,12.1,4.5,20.9,10.40693888888889,1
2010-01-23,0.0,54,37473.09,11.1,2.4,20.8,10.409191666666665,1
2010-01-24,0.0,48,37482.55,12.2,4.6,21.1,10.411819444444445,1
2010-01-25,0.0,52,37493.41,12.9,7.9,20.0,10.414836111111113,1
2010-01-26,0.0,60,37505.7,13.8,7.1,20.9,10.418249999999999,1
2010-01-27,0.0,67,37342.32,13.1,7.1,19.9,10.372866666666667,1
2010-01-28,0.0,66,31033.48,12.5,4.7,19.8,8.62041111111111,1
2010-01-29,0.0,64,32486.08,12.9,8.4,18.9,9.023911111111111,1
2010-01-30,2.0,70,35021.25,12.0,8.7,16.9,9.728125,1
2010-01-31,9.0,81,34426.15,9.8,4.0,16.5,9.562819444444445,1
2010-02-01,12.1,85,35836.87,10.1,5.3,16.1,9.954686111111112,2
2010-02-02,8.0,83,27234.99,11.3,6.3,17.6,7.565275000000001,2
2010-02-03,43.2,93,138.95,11.4,10.3,13.6,0.03859722222222222,2
2010-02-04,76.1,95,242.74,11.1,10.7,12.0,0.06742777777777778,2
2010-02-05,0.0,72,37667.61,11.6,4.4,18.2,10.463225,2
2010-02-06,0.0,65,37915.5,12.3,5.6,19.6,10.532083333333333,2
2010-02-07,0.0,69,37891.32,11.0,3.5,18.4,10.525366666666667,2
2010-02-08,0.0,67,37925.02,10.4,4.5,17.9,10.534727777777777,2
2010-02-09,0.0,71,37951.04,11.3,4.7,19.6,10.541955555555555,2
2010-02-10,0.0,72,36848.63,11.7,4.9,19.2,10.235730555555556,2
2010-02-11,0.0,70,34380.94,12.3,6.2,18.6,9.550261111111112,2
2010-02-12,0.0,67,36107.79,14.0,9.1,20.0,10.029941666666668,2
2010-02-13,0.0,73,38143.56,12.7,6.9,19.0,10.595433333333332,2
2010-02-14,0.0,69,38317.29,12.6,7.7,19.4,10.643691666666667,2
2010-02-15,0.4,65,38354.93,12.8,8.6,18.4,10.654147222222223,2
2010-02-16,0.0,65,38037.55,11.7,5.1,17.8,10.565986111111112,2
2010-02-17,9.8,85,3635.75,10.1,8.5,13.3,1.0099305555555556,2
2010-02-18,10.1,89,23557.06,9.9,8.2,12.2,6.543627777777778,2
2010-02-19,0.0,77,37239.51,11.4,7.2,18.0,10.344308333333334,2
2010-02-20,0.0,67,38152.67,11.1,4.6,19.2,10.597963888888888,2
2010-02-21,0.0,60,36916.09,11.6,5.0,19.7,10.254469444444444,2
2010-02-22,0.0,49,39049.46,13.5,6.6,21.7,10.847072222222222,2
2010-02-23,0.0,52,38560.93,13.8,7.5,21.2,10.711369444444445,2
2010-02-24,0.0,61,39148.88,12.7,6.3,19.2,10.874688888888889,2
2010-02-25,0.0,63,39369.64,11.9,4.4,20.6,10.93601111111111,2
2010-02-26,0.0,51,39422.07,13.6,5.7,21.5,10.950575,2
2010-02-27,0.0,62,39387.01,12.8,5.2,20.4,10.940836111111112,2
2010-02-28,0.0,54,39172.73,13.4,6.5,20.6,10.88131388888889,2
2010-03-01,0.0,59,39579.52,11.9,4.0,20.2,10.99431111111111,3
2010-03-02,0.0,44,39869.74,13.9,6.4,22.2,11.074927777777777,3
2010-03-03,0.0,41,39937.07,14.7,7.6,22.8,11.093630555555556,3
2010-03-04,0.0,39,40004.2,14.9,8.2,23.4,11.112277777777777,3
2010-03-05,0.0,45,38948.33,15.7,8.2,23.8,10.818980555555555,3
2010-03-06,0.0,46,38524.65,17.8,12.9,24.3,10.701291666666666,3
2010-03-07,0.0,53,39320.91,17.5,11.4,24.5,10.922475,3
2010-03-08,0.0,57,37958.87,16.9,12.0,22.7,10.544130555555556,3
2010-03-09,0.0,56,40188.48,17.0,10.2,24.3,11.163466666666668,3
2010-03-10,0.0,56,40404.52,15.3,6.9,23.8,11.223477777777777,3
2010-03-11,0.0,45,40471.85,15.4,7.1,24.0,11.242180555555555,3
2010-03-12,0.0,32,40539.34,17.5,12.1,24.7,11.260927777777777,3
2010-03-13,0.0,38,40606.94,16.8,10.6,23.9,11.279705555555557,3
2010-03-14,0.0,39,40674.61,15.6,6.4,24.7,11.298502777777777,3
2010-03-15,0.0,38,39250.69,16.9,7.6,25.2,10.902969444444444,3
2010-03-16,0.0,42,35109.3,18.6,13.7,24.2,9.752583333333334,3
2010-03-17,0.5,62,40529.05,15.4,9.1,23.4,11.258069444444445,3
2010-03-18,0.5,53,40789.36,15.9,10.0,22.0,11.330377777777779,3
2010-03-19,0.0,52,41012.33,16.1,8.1,23.9,11.39231388888889,3
