time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,2.3,76,26016.99,22.6,17.5,26.5,7.226941666666667,1
2010-01-02,0.0,63,34709.71,14.5,11.6,18.0,9.641586111111112,1
2010-01-03,0.9,51,32400.0,13.5,11.3,16.7,9.0,1
2010-01-04,0.0,46,34274.52,12.0,8.9,15.5,9.5207,1
2010-01-05,0.0,62,34265.62,11.6,9.4,14.9,9.518227777777778,1
2010-01-06,0.0,55,35181.73,9.8,6.3,13.8,9.772702777777779,1
2010-01-07,0.0,46,34042.08,12.5,8.6,16.6,9.456133333333334,1
2010-01-08,0.0,59,33061.25,17.0,11.6,22.2,9.183680555555556,1
2010-01-09,6.6,82,477.32,11.9,6.8,18.2,0.1325888888888889,1
2010-01-10,0.0,60,34061.67,6.3,3.2,9.3,9.461575,1
2010-01-11,0.0,67,33986.12,9.8,4.8,15.9,9.44058888888889,1
2010-01-12,0.0,63,34915.97,12.3,9.3,15.2,9.698880555555556,1
2010-01-13,0.0,59,32539.64,13.9,9.6,18.1,9.038788888888888,1
2010-01-14,0.0,60,30959.29,18.5,15.1,22.1,8.599802777777779,1
2010-01-15,0.0,62,33736.14,21.9,20.0,24.1,9.37115,1
2010-01-16,0.0,72,35409.03,23.3,21.9,24.9,9.835841666666667,1
2010-01-17,1.8,79,28249.35,23.3,20.5,25.9,7.847041666666667,1
2010-01-18,0.0,70,35804.6,20.0,17.0,23.5,9.945722222222221,1
2010-01-19,0.0,72,35865.25,17.8,15.1,20.5,9.962569444444444,1
2010-01-20,0.0,71,35927.25,20.1,15.8,24.5,9.979791666666667,1
2010-01-21,0.0,78,34086.5,23.7,21.4,26.1,9.468472222222223,1
2010-01-22,0.2,80,36054.91,24.8,22.8,28.3,10.015252777777778,1
2010-01-23,2.5,86,31390.04,22.8,21.5,24.7,8.719455555555555,1
2010-01-24,0.6,81,35702.5,23.6,22.2,25.3,9.917361111111111,1
2010-01-25,11.6,78,26185.62,23.3,18.2,26.1,7.273783333333333,1
2010-01-26,0.0,52,36323.05,16.9,13.8,20.3,10.089736111111112,1
2010-01-27,0.0,60,36393.57,17.3,13.9,20.9,10.109325,1
2010-01-28,0.0,65,36465.81,20.0,18.1,22.4,10.129391666666667,1
2010-01-29,0.0,63,36311.45,21.5,19.5,23.9,10.086513888888888,1
2010-01-30,0.0,72,33492.2,23.6,21.9,26.0,9.303388888888888,1
2010-01-31,4.7,87,3868.41,21.4,20.0,23.0,1.0745583333333333,1
2010-02-01,19.9,86,3041.82,21.2,19.7,22.2,0.8449500000000001,2
2010-02-02,0.5,81,36768.95,23.4,20.7,26.0,10.213597222222221,2
2010-02-03,0.1,82,35950.14,20.9,19.5,22.5,9.98615,2
2010-02-04,0.0,67,36624.97,21.5,20.1,23.4,10.173602777777779,2
2010-02-05,3.3,76,24475.26,23.4,21.9,25.6,6.798683333333333,2
2010-02-06,4.7,74,37175.88,20.1,16.0,23.5,10.326633333333332,2
2010-02-07,0.0,64,36775.55,15.7,14.2,17.2,10.215430555555557,2
2010-02-08,0.0,65,34590.6,16.6,12.6,20.5,9.6085,2
2010-02-09,0.8,67,36290.79,21.7,19.2,24.4,10.080775000000001,2
2010-02-10,0.8,64,34706.61,17.6,14.1,21.4,9.640725,2
2010-02-11,0.0,54,35188.76,13.1,9.1,17.0,9.774655555555556,2
2010-02-12,11.9,70,34626.59,19.6,14.8,23.9,9.61849722222222,2
2010-02-13,0.0,68,36103.29,14.3,11.4,20.1,10.028691666666667,2
2010-02-14,0.0,61,36549.2,12.4,8.8,16.1,10.152555555555555,2
2010-02-15,0.0,66,37942.6,17.1,13.0,21.5,10.53961111111111,2
2010-02-16,3.3,65,31914.16,16.0,13.1,18.4,8.865044444444445,2
2010-02-17,0.0,63,38117.66,13.4,9.9,18.0,10.58823888888889,2
2010-02-18,0.0,58,38206.53,13.6,10.6,17.4,10.612924999999999,2
2010-02-19,0.0,49,24857.31,15.1,11.8,18.6,6.904808333333333,2
2010-02-20,0.0,57,38386.5,18.1,13.6,22.1,10.662916666666666,2
2010-02-21,0.4,61,36197.38,20.6,17.4,23.2,10.054827777777778,2
2010-02-22,33.7,85,3141.28,20.6,19.3,21.8,0.8725777777777778,2
2010-02-23,1.4,87,37103.08,21.7,18.9,24.7,10.306411111111112,2
2010-02-24,8.6,88,18543.49,21.9,18.8,24.2,5.150969444444445,2
2010-02-25,1.1,64,38845.47,14.3,11.4,17.4,10.790408333333334,2
2010-02-26,0.0,54,38938.17,13.2,9.0,17.2,10.816158333333332,2
2010-02-27,2.2,71,31197.47,16.0,10.6,21.1,8.66596388888889,2
2010-02-28,0.0,64,39123.83,14.4,10.6,18.4,10.867730555555555,2
