month,day,avg_accumulated_precipitation,years_sampled
1,1,0.79,15
1,2,2.27,15
1,3,3.67,15
1,4,4.7,15
1,5,5.27,15
1,6,8.12,15
1,7,9.86,15
1,8,11.53,15
1,9,18.02,15
1,10,20.21,15
1,11,22.56,15
1,12,25.45,15
1,13,27.25,15
1,14,28.73,15
1,15,31.27,15
1,16,32.17,15
1,17,33.91,15
1,18,34.29,15
1,19,35.03,15
1,20,36.93,15
1,21,38.89,15
1,22,43.57,15
1,23,45.36,15
1,24,47.74,15
1,25,49.57,15
1,26,54.31,15
1,27,56.75,15
1,28,58.61,15
1,29,61.39,15
1,30,62.61,15
1,31,63.73,15
2,1,69.46,15
2,2,69.65,15
2,3,70.13,15
2,4,71.49,15
2,5,76.44,15
2,6,78.01,15
2,7,80.19,15
2,8,80.85,15
2,9,84.36,15
2,10,84.87,15
2,11,86.53,15
2,12,88.43,15
2,13,93.02,15
2,14,93.47,15
2,15,96.69,15
2,16,99.43,15
2,17,100.39,15
2,18,103.89,15
2,19,106.7,15
2,20,107.29,15
2,21,107.97,15
2,22,112.47,15
2,23,113.63,15
2,24,115.08,15
2,25,116.22,15
2,26,117.95,15
2,27,120.52,15
2,28,121.85,15
2,29,121.87,4
3,1,122.36,15
3,2,123.27,15
3,3,124.49,15
3,4,124.73,15
3,5,125.11,15
3,6,126.77,15
3,7,128.65,15
3,8,129.39,15
3,9,129.63,15
3,10,131.4,15
3,11,132.8,15
3,12,138.45,15
3,13,138.88,15
3,14,140.03,15
3,15,141.17,15
3,16,141.77,15
3,17,143.22,15
3,18,144.24,15
3,19,150.71,15
3,20,153.24,15
3,21,154.37,15
3,22,158.87,15
3,23,164.3,15
3,24,165.55,15
3,25,169.31,15
3,26,170.96,15
3,27,172.59,15
3,28,173.51,15
3,29,178.89,15
3,30,182.15,15
3,31,182.42,15
4,1,183.69,15
4,2,184.65,15
4,3,186.09,15
4,4,189.3,15
4,5,192.75,15
4,6,193.71,15
4,7,194.36,15
4,8,195.29,15
4,9,197.9,15
4,10,200.34,15
4,11,204.41,15
4,12,207.87,15
4,13,209.03,15
4,14,209.9,15
4,15,212.88,15
4,16,216.19,15
4,17,217.17,15
4,18,220.17,15
4,19,223.21,15
4,20,224.32,15
4,21,226.87,15
4,22,231.18,15
4,23,234.09,15
4,24,236.21,15
4,25,238.47,15
4,26,241.44,15
4,27,243.11,15
4,28,247.51,15
4,29,254.92,15
4,30,261.42,15
5,1,263.9,15
5,2,267.01,15
5,3,268.78,15
5,4,271.86,15
5,5,274.29,15
5,6,276.26,15
5,7,279.61,15
5,8,281.29,15
5,9,282.06,15
5,10,284.61,15
5,11,285.92,15
5,12,288.07,15
5,13,294.3,15
5,14,298.53,15
5,15,304.47,15
5,16,308.71,15
5,17,314.67,15
5,18,319.52,15
5,19,325.15,15
5,20,329.99,15
5,21,332.63,15
5,22,334.92,15
5,23,337.93,15
5,24,348.43,15
5,25,355.33,15
5,26,363.43,15
5,27,370.22,15
5,28,374.68,15
5,29,381.08,15
5,30,386.09,15
5,31,390.09,15
6,1,395.01,15
6,2,399.69,15
6,3,407.93,15
6,4,419.44,15
6,5,422.31,15
6,6,429.59,15
6,7,440.29,15
6,8,454.96,15
6,9,460.62,15
6,10,469.59,15
6,11,479.33,15
6,12,489.41,15
6,13,495.25,15
6,14,502.15,15
6,15,506.75,15
6,16,511.26,15
6,17,516.51,15
6,18,520.2,15
6,19,523.35,15
6,20,528.22,15
6,21,532.94,15
6,22,536.85,15
6,23,540.29,15
6,24,544.63,15
6,25,551.11,15
6,26,555.66,15
6,27,558.8,15
6,28,561.87,15
6,29,571.98,15
6,30,578.49,15
7,1,583.73,15
7,2,588.61,15
7,3,592.48,15
7,4,595.79,15
7,5,600.44,15
7,6,603.38,15
7,7,606.33,15
7,8,610.96,15
7,9,613.11,15
7,10,617.24,15
7,11,620.11,15
7,12,628.01,15
7,13,633.71,15
7,14,639.03,15
7,15,641.91,15
7,16,648.01,15
7,17,653.67,15
7,18,656.71,15
7,19,659.28,15
7,20,662.82,15
7,21,666.59,15
7,22,671.61,15
7,23,678.52,15
7,24,683.01,15
7,25,686.87,15
7,26,690.28,15
7,27,693.89,15
7,28,698.15,15
7,29,704.01,15
7,30,707.11,15
7,31,710.89,15
8,1,715.68,15
8,2,719.79,15
8,3,729.5,15
8,4,737.83,15
8,5,742.57,15
8,6,746.75,15
8,7,750.71,15
8,8,754.92,15
8,9,758.95,15
8,10,762.73,15
8,11,767.47,15
8,12,770.6,15
8,13,772.91,15
8,14,776.39,15
8,15,780.85,15
8,16,783.65,15
8,17,786.72,15
8,18,790.51,15
8,19,794.79,15
8,20,799.65,15
8,21,802.68,15
8,22,807.25,15
8,23,810.42,15
8,24,814.99,15
8,25,821.41,15
8,26,834.76,15
8,27,842.79,15
8,28,848.36,15
8,29,855.87,15
8,30,862.64,15
8,31,868.69,15
9,1,872.5,15
9,2,878.87,15
9,3,888.27,15
9,4,890.09,15
9,5,895.8,15
9,6,901.58,15
9,7,905.23,15
9,8,909.83,15
9,9,913.89,15
9,10,926.77,15
9,11,932.68,15
9,12,942.86,15
9,13,949.26,15
9,14,954.47,15
9,15,958.66,15
9,16,963.07,15
9,17,971.43,15
9,18,976.15,15
9,19,980.78,15
9,20,984.57,15
9,21,991.58,15
9,22,995.65,15
9,23,1002.63,15
9,24,1010.89,15
9,25,1018.92,15
9,26,1025.93,15
9,27,1035.5,15
9,28,1043.03,15
9,29,1051.86,15
9,30,1053.94,15
10,1,1059.15,15
10,2,1064.3,15
10,3,1068.09,15
10,4,1071.69,15
10,5,1079.24,15
10,6,1086.2,15
10,7,1091.28,15
10,8,1097.12,15
10,9,1103.65,15
10,10,1105.49,15
10,11,1107.81,15
10,12,1111.37,15
10,13,1117.39,15
10,14,1121.48,15
10,15,1124.2,15
10,16,1132.74,15
10,17,1136.68,15
10,18,1138.99,15
10,19,1145.37,15
10,20,1148.31,15
10,21,1152.69,15
10,22,1155.68,15
10,23,1158.46,15
10,24,1162.35,15
10,25,1168.93,15
10,26,1170.23,15
10,27,1171.45,15
10,28,1176.77,15
10,29,1180.97,15
10,30,1185.81,15
10,31,1187.65,15
11,1,1188.57,15
11,2,1191.39,15
11,3,1193.03,15
11,4,1195.16,15
11,5,1199.95,15
11,6,1200.99,15
11,7,1202.29,15
11,8,1206.97,15
11,9,1214.24,15
11,10,1217.28,15
11,11,1218.68,15
11,12,1220.61,15
11,13,1223.19,15
11,14,1225.12,15
11,15,1233.55,15
11,16,1244.71,15
11,17,1246.03,15
11,18,1248.06,15
11,19,1251.12,15
11,20,1255.65,15
11,21,1258.41,15
11,22,1262.79,15
11,23,1264.2,15
11,24,1265.32,15
11,25,1266.14,15
11,26,1267.4,15
11,27,1268.65,15
11,28,1269.71,15
11,29,1270.91,15
11,30,1272.47,15
12,1,1274.12,15
12,2,1274.99,15
12,3,1276.61,15
12,4,1279.33,15
12,5,1280.64,15
12,6,1281.24,15
12,7,1284.41,15
12,8,1286.23,15
12,9,1288.78,15
12,10,1290.24,15
12,11,1292.51,15
12,12,1293.35,15
12,13,1300.63,15
12,14,1302.55,15
12,15,1304.02,15
12,16,1308.74,15
12,17,1314.8,15
12,18,1318.29,15
12,19,1319.75,15
12,20,1321.95,15
12,21,1323.04,15
12,22,1323.24,15
12,23,1326.26,15
12,24,1326.56,15
12,25,1329.23,15
12,26,1331.83,15
12,27,1333.37,15
12,28,1336.05,15
12,29,1340.81,15
12,30,1341.81,15
12,31,1342.44,15
