month,day,avg_daytime_temperature,years_sampled
1,1,-5.15,16
1,2,-7.72,16
1,3,-8.46,16
1,4,-7.1,16
1,5,-8.91,16
1,6,-8.43,16
1,7,-10.64,16
1,8,-9.87,16
1,9,-7.31,16
1,10,-7.14,16
1,11,-7.32,16
1,12,-4.99,16
1,13,-8.11,16
1,14,-10.3,16
1,15,-10.53,16
1,16,-7.59,16
1,17,-10.58,16
1,18,-7.89,16
1,19,-9.18,16
1,20,-10.26,16
1,21,-13.37,16
1,22,-12.34,16
1,23,-9.48,16
1,24,-10.6,16
1,25,-9.24,16
1,26,-9.3,16
1,27,-6.1,16
1,28,-7.76,16
1,29,-9.93,16
1,30,-11.35,16
1,31,-11.38,16
2,1,-10.19,16
2,2,-9.81,16
2,3,-9.62,16
2,4,-8.51,16
2,5,-9.18,16
2,6,-9.4,16
2,7,-8.85,16
2,8,-8.53,16
2,9,-9.27,16
2,10,-7.24,16
2,11,-8.86,16
2,12,-9.26,16
2,13,-10.13,16
2,14,-9.24,16
2,15,-7.82,16
2,16,-5.85,16
2,17,-8.85,16
2,18,-7.9,16
2,19,-6.88,16
2,20,-7.5,16
2,21,-5.44,16
2,22,-4.98,16
2,23,-4.1,16
2,24,-4.9,16
2,25,-4.34,16
2,26,-7.12,16
2,27,-4.7,16
2,28,-5.31,16
2,29,-8.18,4
3,1,-4.91,16
3,2,-6.09,16
3,3,-7.04,16
3,4,-5.9,16
3,5,-5.38,16
3,6,-4.3,16
3,7,-3.23,16
3,8,-2.28,16
3,9,-1.34,16
3,10,-1.04,16
3,11,0.45,16
3,12,-1.27,16
3,13,-1.55,16
3,14,-1.02,16
3,15,0.46,16
3,16,-0.84,16
3,17,-0.0,16
3,18,-0.38,16
3,19,-1.21,16
3,20,1.67,16
3,21,0.52,16
3,22,-1.14,16
3,23,-1.84,16
3,24,-0.82,16
3,25,1.27,16
3,26,-0.07,16
3,27,0.71,16
3,28,0.99,16
3,29,1.58,16
3,30,2.04,16
3,31,3.75,16
4,1,2.19,16
4,2,2.4,16
