month,day,avg_accumulated_precipitation,years_sampled
1,1,3.02,16
1,2,5.08,16
1,3,7.08,16
1,4,10.06,16
1,5,11.7,16
1,6,13.83,16
1,7,15.42,16
1,8,17.06,16
1,9,19.42,16
1,10,21.55,16
1,11,26.22,16
1,12,31.26,16
1,13,37.01,16
1,14,37.8,16
1,15,38.23,16
1,16,40.49,16
1,17,42.43,16
1,18,44.73,16
1,19,46.91,16
1,20,49.21,16
1,21,49.71,16
1,22,50.53,16
1,23,53.2,16
1,24,55.48,16
1,25,59.26,16
1,26,61.6,16
1,27,64.01,16
1,28,64.92,16
1,29,66.69,16
1,30,67.76,16
1,31,69.59,16
2,1,70.76,16
2,2,73.86,16
2,3,76.43,16
2,4,78.09,16
2,5,79.76,16
2,6,81.51,16
2,7,84.89,16
2,8,87.08,16
2,9,88.86,16
2,10,90.16,16
2,11,90.91,16
2,12,92.64,16
2,13,96.25,16
2,14,97.66,16
2,15,98.99,16
2,16,104.68,16
2,17,107.24,16
2,18,109.7,16
2,19,111.26,16
2,20,113.21,16
2,21,115.81,16
2,22,116.99,16
2,23,119.27,16
2,24,125.66,16
2,25,131.59,16
2,26,132.31,16
2,27,135.52,16
2,28,138.74,16
2,29,139.07,4
3,1,141.42,16
3,2,143.92,16
3,3,145.54,16
3,4,147.07,16
3,5,148.82,16
3,6,151.72,16
3,7,154.69,16
3,8,156.09,16
3,9,157.31,16
3,10,162.59,16
3,11,164.25,16
3,12,166.59,16
3,13,169.32,16
3,14,173.13,16
3,15,175.86,16
3,16,177.71,16
3,17,179.57,16
3,18,180.09,16
3,19,182.79,16
3,20,185.07,16
3,21,186.46,16
3,22,188.53,16
3,23,191.4,16
3,24,193.82,16
3,25,196.19,16
3,26,198.37,16
3,27,199.17,16
3,28,203.49,16
3,29,207.36,16
3,30,211.79,16
3,31,215.79,16
4,1,218.43,16
4,2,219.32,16
4,3,221.73,16
4,4,228.09,16
4,5,231.08,16
4,6,233.61,16
4,7,239.03,16
4,8,244.44,16
4,9,247.31,16
4,10,250.61,16
4,11,253.12,16
4,12,256.59,16
4,13,260.68,16
4,14,263.02,16
4,15,267.16,16
4,16,273.05,16
4,17,275.45,16
4,18,277.21,16
4,19,283.34,16
4,20,287.9,16
4,21,293.02,16
4,22,295.21,16
4,23,299.49,16
4,24,301.89,16
4,25,303.85,16
4,26,309.46,16
4,27,314.44,16
4,28,316.92,16
4,29,318.77,16
4,30,324.72,16
5,1,331.99,16
5,2,335.31,16
5,3,339.16,16
5,4,343.0,16
5,5,346.02,16
5,6,347.91,16
5,7,348.8,16
5,8,351.26,16
5,9,352.7,16
5,10,355.61,16
5,11,357.47,16
5,12,358.25,16
5,13,359.44,16
5,14,363.31,16
5,15,367.88,16
5,16,371.12,16
5,17,373.18,16
5,18,374.67,16
5,19,378.07,16
5,20,379.99,16
5,21,381.62,16
5,22,385.17,16
5,23,389.39,16
5,24,391.45,16
5,25,394.76,16
5,26,399.82,16
5,27,404.81,16
5,28,407.35,16
5,29,410.86,16
5,30,412.46,16
5,31,414.32,16
6,1,416.13,16
6,2,419.66,16
6,3,422.37,16
6,4,424.16,16
6,5,429.08,16
6,6,434.2,16
6,7,436.47,16
6,8,439.09,16
6,9,441.89,16
6,10,444.46,16
6,11,448.5,16
6,12,454.51,16
6,13,458.99,16
6,14,461.53,16
6,15,462.65,16
6,16,467.09,16
6,17,469.26,16
6,18,472.71,16
6,19,474.33,16
6,20,477.26,16
6,21,480.1,16
6,22,482.81,16
6,23,493.36,16
6,24,499.11,16
6,25,503.32,16
6,26,507.57,16
6,27,510.42,16
6,28,519.26,16
6,29,525.09,16
6,30,528.72,16
7,1,533.52,16
7,2,534.3,16
7,3,536.04,16
7,4,537.9,16
7,5,538.51,16
7,6,541.24,16
7,7,544.52,16
7,8,547.05,16
7,9,551.61,16
7,10,556.64,16
7,11,560.62,16
7,12,563.77,16
7,13,568.45,16
7,14,572.17,16
7,15,573.36,16
7,16,575.38,16
7,17,580.94,16
7,18,585.17,16
7,19,589.79,16
7,20,590.92,16
7,21,595.61,16
7,22,596.77,16
7,23,599.26,16
7,24,602.7,16
7,25,607.47,16
7,26,609.38,16
7,27,615.0,16
7,28,618.02,16
7,29,619.02,16
7,30,620.37,16
7,31,622.31,16
8,1,624.17,16
8,2,626.94,16
8,3,631.91,16
8,4,637.89,16
8,5,640.27,16
8,6,640.64,16
8,7,644.42,16
8,8,651.15,16
8,9,661.68,16
8,10,665.79,16
8,11,669.65,16
8,12,672.91,16
8,13,678.52,16
8,14,680.77,16
8,15,682.59,16
8,16,686.85,16
8,17,689.96,16
8,18,693.15,16
8,19,695.07,16
8,20,695.46,16
8,21,700.49,16
8,22,705.3,16
8,23,706.92,16
8,24,709.37,16
8,25,711.03,16
8,26,712.25,16
8,27,712.46,16
8,28,720.52,16
8,29,727.44,16
8,30,731.82,16
8,31,735.61,16
9,1,736.07,16
9,2,740.35,16
9,3,742.47,16
9,4,748.15,16
9,5,753.21,16
9,6,755.16,16
9,7,758.25,16
9,8,762.4,16
9,9,763.0,16
9,10,766.29,16
9,11,769.98,16
9,12,772.24,16
9,13,779.01,16
9,14,780.81,16
9,15,782.29,16
9,16,783.68,16
9,17,784.65,16
9,18,788.62,16
9,19,790.69,16
9,20,791.79,16
9,21,795.14,16
9,22,798.01,16
9,23,799.06,16
9,24,802.6,16
9,25,804.37,16
9,26,808.31,16
9,27,810.07,16
9,28,812.22,16
9,29,817.61,16
9,30,826.96,16
10,1,831.08,16
10,2,834.86,16
10,3,835.11,16
10,4,838.87,16
10,5,839.06,16
10,6,843.61,16
10,7,851.83,16
10,8,856.11,16
10,9,859.36,16
10,10,861.04,16
10,11,862.68,16
10,12,863.06,16
10,13,866.7,16
10,14,870.22,16
10,15,876.79,16
10,16,882.44,16
10,17,887.22,16
10,18,889.19,16
10,19,892.22,16
10,20,898.09,16
10,21,905.52,16
10,22,909.46,16
10,23,912.24,16
10,24,916.38,16
10,25,918.53,16
10,26,922.06,16
10,27,926.17,16
10,28,929.39,16
10,29,933.11,16
10,30,936.55,16
10,31,945.74,16
11,1,950.29,16
11,2,953.29,16
11,3,955.79,16
11,4,957.17,16
11,5,960.45,16
11,6,962.81,16
11,7,965.01,16
11,8,965.94,16
11,9,967.42,16
11,10,970.76,16
11,11,973.97,16
11,12,979.42,16
11,13,980.95,16
11,14,981.46,16
11,15,983.22,16
11,16,986.67,16
