month,day,avg_daytime_temperature,years_sampled
1,1,26.11,16
1,2,26.28,16
1,3,26.23,16
1,4,26.02,16
1,5,25.96,16
1,6,26.11,16
1,7,25.97,16
1,8,26.01,16
1,9,26.04,16
1,10,25.99,16
1,11,26.15,16
1,12,26.06,16
1,13,25.95,16
1,14,25.94,16
1,15,25.82,16
1,16,25.69,16
1,17,25.56,16
1,18,25.49,16
1,19,25.77,16
1,20,26.01,16
1,21,25.91,16
1,22,25.81,16
1,23,25.74,16
1,24,25.8,16
1,25,25.88,16
1,26,25.98,16
1,27,26.29,16
1,28,26.19,16
1,29,26.0,16
1,30,26.43,16
1,31,26.58,16
2,1,26.74,16
2,2,26.92,16
2,3,26.87,16
2,4,26.65,16
2,5,26.55,16
2,6,26.19,16
2,7,26.04,16
2,8,25.8,16
2,9,26.37,16
2,10,26.5,16
2,11,26.69,16
2,12,26.89,16
2,13,27.15,16
2,14,27.5,16
2,15,27.19,16
2,16,27.08,16
2,17,27.36,16
2,18,27.97,16
2,19,27.96,16
2,20,27.89,16
2,21,28.1,16
2,22,27.96,16
2,23,28.19,16
2,24,28.34,16
2,25,28.59,16
2,26,28.58,16
2,27,28.82,16
2,28,28.77,16
2,29,28.42,4
3,1,28.48,16
3,2,28.66,16
3,3,28.45,16
3,4,28.39,16
3,5,28.77,16
3,6,28.77,16
3,7,28.86,16
3,8,29.02,16
3,9,29.24,16
3,10,29.36,16
3,11,29.23,16
3,12,29.62,16
3,13,29.5,16
3,14,29.59,16
3,15,29.7,16
3,16,29.67,16
3,17,29.73,16
3,18,29.91,16
3,19,29.63,16
3,20,29.64,16
3,21,29.34,16
3,22,29.17,16
3,23,29.9,16
3,24,30.06,16
3,25,30.59,16
3,26,30.32,16
3,27,30.21,16
3,28,30.02,16
3,29,30.31,16
3,30,30.29,16
3,31,30.02,16
4,1,29.75,16
4,2,29.53,16
4,3,29.44,16
4,4,29.87,16
4,5,29.69,16
4,6,29.9,16
4,7,29.92,16
4,8,29.92,16
4,9,29.85,16
4,10,29.92,16
4,11,30.05,16
4,12,30.18,16
4,13,30.26,16
4,14,30.2,16
4,15,30.45,16
4,16,30.46,16
4,17,30.11,16
4,18,30.43,16
4,19,30.75,16
4,20,30.81,16
4,21,30.67,16
4,22,30.56,16
4,23,30.76,16
4,24,30.56,16
4,25,30.72,16
4,26,30.89,16
4,27,31.25,16
4,28,31.32,16
4,29,30.82,16
4,30,30.79,16
5,1,30.64,16
5,2,30.4,16
5,3,30.37,16
5,4,30.51,16
5,5,30.72,16
5,6,30.63,16
5,7,30.41,16
5,8,30.64,16
5,9,30.75,16
5,10,30.76,16
5,11,30.89,16
5,12,30.84,16
5,13,30.93,16
5,14,30.95,16
5,15,31.19,16
5,16,31.23,16
5,17,30.89,16
5,18,31.1,16
5,19,30.98,16
5,20,31.05,16
5,21,31.04,16
5,22,30.89,16
5,23,30.92,16
5,24,31.02,16
5,25,30.7,16
5,26,30.85,16
5,27,31.06,16
5,28,30.98,16
5,29,31.08,16
5,30,31.14,16
5,31,31.04,16
6,1,30.71,16
6,2,30.67,16
6,3,30.46,16
6,4,30.33,16
6,5,30.25,16
6,6,30.13,16
6,7,29.78,16
6,8,29.71,16
6,9,29.43,16
6,10,29.01,16
6,11,28.94,16
6,12,28.81,16
6,13,28.57,16
6,14,28.34,16
6,15,28.04,16
6,16,27.84,16
6,17,28.09,16
6,18,28.06,16
6,19,27.93,16
6,20,28.16,16
6,21,28.32,16
6,22,28.36,16
6,23,27.95,16
6,24,27.7,16
6,25,27.62,16
6,26,27.64,16
6,27,27.57,16
6,28,27.42,16
6,29,27.52,16
6,30,27.49,16
7,1,27.54,16
7,2,27.47,16
7,3,27.39,16
7,4,27.24,16
7,5,27.27,16
7,6,27.17,16
7,7,27.13,16
7,8,27.19,16
7,9,26.86,16
7,10,26.92,16
7,11,26.97,16
7,12,26.76,16
7,13,26.79,16
7,14,26.78,16
7,15,26.95,16
7,16,26.83,16
7,17,26.93,16
7,18,26.8,16
7,19,26.77,16
7,20,26.74,16
7,21,26.77,16
7,22,26.79,16
7,23,26.64,16
7,24,26.64,16
7,25,26.8,16
7,26,26.83,16
7,27,26.78,16
7,28,26.81,16
7,29,26.71,16
7,30,26.75,16
7,31,26.72,16
8,1,26.92,16
8,2,27.0,16
8,3,26.83,16
8,4,26.77,16
8,5,26.86,16
8,6,26.88,16
8,7,26.92,16
8,8,27.03,16
8,9,26.84,16
8,10,26.72,16
8,11,26.95,16
8,12,26.94,16
8,13,26.94,16
8,14,26.84,16
8,15,26.88,16
8,16,26.81,16
8,17,26.9,16
8,18,26.76,16
8,19,26.86,16
8,20,26.66,16
8,21,26.76,16
8,22,26.88,16
8,23,27.2,16
8,24,27.07,16
8,25,26.69,16
8,26,26.69,16
8,27,26.46,16
8,28,26.53,16
8,29,26.81,16
8,30,26.96,16
8,31,26.99,16
9,1,26.83,16
9,2,27.06,16
9,3,27.16,16
9,4,27.03,16
9,5,27.02,16
9,6,26.98,16
9,7,27.04,16
9,8,27.0,16
9,9,27.28,16
9,10,27.23,16
9,11,27.12,16
9,12,27.27,16
9,13,27.02,16
9,14,27.07,16
9,15,26.89,16
9,16,27.02,16
9,17,27.1,16
9,18,26.89,16
9,19,27.02,16
9,20,26.98,16
9,21,27.05,16
9,22,27.07,16
9,23,27.15,16
9,24,27.35,16
9,25,27.26,16
9,26,27.52,16
9,27,27.58,16
9,28,27.83,16
9,29,28.25,16
9,30,28.56,16
10,1,28.54,16
10,2,28.37,16
10,3,28.37,16
10,4,28.11,16
10,5,28.56,16
10,6,29.02,16
10,7,29.01,16
10,8,28.96,16
10,9,29.01,16
10,10,29.03,16
10,11,28.84,16
10,12,29.1,16
10,13,29.38,16
10,14,29.51,16
10,15,29.76,16
10,16,29.84,16
10,17,29.9,16
10,18,29.73,16
10,19,29.55,16
10,20,29.49,16
10,21,29.69,16
10,22,29.72,16
10,23,29.75,16
10,24,29.61,16
10,25,28.88,16
10,26,29.15,16
10,27,29.3,16
10,28,29.62,16
10,29,29.57,16
10,30,29.58,16
10,31,29.68,16
11,1,29.42,16
11,2,29.57,16
11,3,29.75,16
11,4,29.76,16
11,5,29.78,16
11,6,29.59,16
11,7,29.4,16
11,8,29.4,16
11,9,29.34,16
11,10,29.41,16
11,11,29.3,16
11,12,29.31,16
11,13,29.5,16
11,14,29.52,16
11,15,29.41,16
11,16,29.52,16
11,17,29.57,16
11,18,29.2,16
11,19,29.18,16
11,20,29.18,16
11,21,29.15,16
11,22,28.91,16
11,23,28.93,16
11,24,29.03,16
11,25,29.17,16
11,26,29.15,16
11,27,29.1,16
11,28,28.75,16
11,29,28.34,16
11,30,28.58,16
12,1,28.36,16
12,2,28.58,16
12,3,28.92,16
12,4,29.1,16
12,5,28.86,16
12,6,28.72,16
12,7,28.17,16
12,8,28.07,16
12,9,27.75,16
12,10,27.65,16
12,11,27.22,16
12,12,27.01,16
12,13,26.88,16
12,14,27.0,16
12,15,27.25,16
12,16,27.54,16
12,17,27.59,16
12,18,27.59,16
12,19,27.12,16
12,20,26.94,16
12,21,26.94,16
12,22,26.59,16
12,23,26.56,16
12,24,26.38,16
12,25,26.59,16
12,26,26.62,16
12,27,26.37,16
12,28,26.28,16
12,29,26.46,16
12,30,26.34,16
12,31,26.37,16
