calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,0.79,0.0,2.9,332.12,329.87,334.2,23.62,21.7,25.6,62.8,51.0,74.0,14.3,34.2
2,2,Feb,0.57,0.0,0.75,309.66,305.49,317.9,24.91,22.7,27.1,59.95,44.0,75.0,13.0,37.5
3,3,Mar,1.87,0.0,6.2,351.0,343.43,357.21,27.01,24.6,29.1,63.0,44.0,77.0,16.6,39.0
4,4,Apr,0.28,0.0,1.0,356.63,353.01,359.28,28.48,27.0,30.1,72.55,62.0,79.0,20.3,41.3
5,5,May,34.12,0.3,102.4,359.34,341.59,371.66,29.5,28.4,30.5,74.51,69.0,79.0,22.7,38.9
6,6,Jun,457.08,257.05,678.15,250.55,216.35,289.72,28.02,26.4,30.11,83.78,74.0,91.0,24.3,34.8
7,7,Jul,756.7,492.85,1003.25,159.06,110.67,211.22,26.53,25.7,27.4,88.81,85.0,92.0,23.2,30.6
8,8,Aug,454.51,225.1,608.45,220.6,182.37,254.44,26.38,25.7,27.1,87.91,84.0,91.0,24.1,30.4
9,9,Sep,384.21,177.55,629.2,254.12,218.94,285.6,26.57,25.8,27.41,87.13,83.0,91.0,22.5,33.8
10,10,Oct,91.44,12.3,156.35,309.76,292.57,330.39,27.65,26.3,29.1,78.98,64.0,89.0,20.3,36.1
11,11,Nov,7.44,0.0,20.0,307.77,297.65,314.17,26.97,25.5,28.4,64.92,52.0,80.0,18.3,35.8
12,12,Dec,10.66,0.0,27.15,308.03,293.64,316.2,25.02,23.0,27.2,62.58,49.0,75.0,15.4,34.3
