calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,83.26,48.2,123.15,200.08,157.5,230.25,-0.37,-6.95,5.7,67.42,48.0,89.0,-20.5,18.9
2,2,Feb,90.69,50.05,141.3,197.56,164.76,224.33,0.53,-5.98,6.89,69.31,50.0,88.0,-19.9,23.2
3,3,Mar,118.88,50.6,194.1,253.59,237.88,279.74,4.91,-0.7,10.95,66.24,46.0,88.0,-17.1,26.4
4,4,Apr,94.68,47.35,143.05,271.94,236.0,317.07,10.62,5.79,16.11,66.24,47.0,86.0,-3.6,31.1
5,5,May,97.87,38.2,142.7,303.31,258.14,356.23,16.28,11.1,22.3,71.64,54.0,89.0,0.7,33.8
6,6,Jun,97.34,58.6,163.15,335.8,303.87,370.22,21.53,17.6,25.9,70.26,56.0,86.0,9.2,40.4
7,7,Jul,122.76,70.95,183.85,364.68,345.13,382.75,25.08,22.1,27.9,71.06,57.0,85.0,14.7,39.5
8,8,Aug,108.09,42.75,181.1,335.03,309.92,363.94,23.58,20.7,26.65,72.18,59.0,86.0,12.6,37.6
9,9,Sep,106.7,31.35,233.1,273.42,233.72,306.68,20.19,16.09,24.2,73.62,59.0,89.0,8.1,35.9
10,10,Oct,117.79,55.25,153.9,240.45,206.02,259.33,14.21,9.65,19.15,73.29,58.0,88.0,0.1,32.3
11,11,Nov,73.54,38.1,102.0,212.94,194.11,229.43,7.45,2.3,13.2,69.55,52.0,86.0,-8.1,27.0
12,12,Dec,109.91,62.85,159.05,177.94,161.05,200.72,2.9,-2.9,9.55,72.99,55.0,93.0,-14.9,20.0
