month,day,avg_accumulated_precipitation,years_sampled
1,1,2.78,16
1,2,4.92,16
1,3,8.39,16
1,4,10.78,16
1,5,12.11,16
1,6,14.32,16
1,7,16.01,16
1,8,16.2,16
1,9,18.83,16
1,10,22.69,16
1,11,24.76,16
1,12,31.14,16
1,13,33.51,16
1,14,34.28,16
1,15,34.72,16
1,16,38.64,16
1,17,42.65,16
1,18,47.82,16
1,19,50.38,16
1,20,53.06,16
1,21,54.71,16
1,22,55.18,16
1,23,60.68,16
1,24,66.53,16
1,25,71.7,16
1,26,74.81,16
1,27,77.09,16
1,28,79.15,16
1,29,80.85,16
1,30,81.18,16
1,31,83.26,16
2,1,86.54,16
2,2,90.59,16
2,3,94.28,16
2,4,97.07,16
2,5,100.49,16
2,6,103.13,16
2,7,107.01,16
2,8,110.97,16
2,9,114.47,16
2,10,117.84,16
2,11,121.81,16
2,12,123.97,16
2,13,130.71,16
2,14,131.69,16
2,15,133.6,16
2,16,139.92,16
2,17,141.79,16
2,18,144.24,16
2,19,145.44,16
2,20,146.12,16
2,21,148.95,16
2,22,151.63,16
2,23,153.78,16
2,24,158.11,16
2,25,165.94,16
2,26,167.38,16
2,27,170.58,16
2,28,173.26,16
2,29,173.94,4
3,1,176.93,16
3,2,183.04,16
3,3,185.92,16
3,4,190.38,16
3,5,195.29,16
3,6,200.54,16
3,7,205.51,16
3,8,206.18,16
3,9,209.16,16
3,10,213.85,16
3,11,216.92,16
3,12,219.91,16
3,13,226.36,16
3,14,232.25,16
3,15,234.14,16
3,16,235.64,16
3,17,238.5,16
3,18,240.27,16
3,19,243.02,16
3,20,245.23,16
3,21,248.98,16
3,22,251.54,16
3,23,259.37,16
3,24,263.71,16
3,25,266.07,16
3,26,267.54,16
3,27,268.81,16
3,28,273.92,16
3,29,279.98,16
3,30,285.54,16
3,31,292.83,16
4,1,295.45,16
4,2,298.36,16
4,3,302.09,16
4,4,305.79,16
4,5,307.89,16
4,6,311.66,16
4,7,317.47,16
4,8,319.83,16
4,9,321.68,16
4,10,322.09,16
4,11,325.26,16
4,12,331.0,16
4,13,335.31,16
4,14,335.6,16
4,15,339.83,16
4,16,344.76,16
4,17,346.44,16
4,18,347.88,16
4,19,350.75,16
4,20,354.0,16
4,21,355.49,16
4,22,359.71,16
4,23,362.78,16
4,24,364.94,16
4,25,369.21,16
4,26,374.62,16
4,27,375.38,16
4,28,376.59,16
4,29,381.88,16
4,30,387.51,16
5,1,389.96,16
5,2,391.17,16
5,3,394.64,16
5,4,398.26,16
5,5,404.81,16
5,6,408.82,16
5,7,411.06,16
5,8,414.23,16
5,9,417.09,16
5,10,419.04,16
5,11,420.64,16
5,12,424.13,16
5,13,428.81,16
5,14,432.24,16
5,15,435.16,16
5,16,438.79,16
5,17,442.86,16
5,18,445.48,16
5,19,448.12,16
5,20,450.6,16
5,21,451.71,16
5,22,456.39,16
5,23,460.43,16
5,24,462.17,16
5,25,464.01,16
5,26,465.09,16
5,27,470.12,16
5,28,474.04,16
5,29,477.52,16
5,30,481.84,16
5,31,485.38,16
6,1,488.42,16
6,2,492.16,16
6,3,497.29,16
6,4,498.83,16
6,5,503.15,16
6,6,507.63,16
6,7,510.83,16
6,8,512.49,16
6,9,515.22,16
6,10,519.46,16
6,11,522.42,16
6,12,525.11,16
6,13,531.54,16
6,14,536.77,16
6,15,538.5,16
6,16,541.08,16
6,17,543.69,16
6,18,546.29,16
6,19,549.68,16
6,20,550.62,16
6,21,555.23,16
6,22,557.21,16
6,23,560.4,16
6,24,564.29,16
6,25,566.29,16
6,26,567.22,16
6,27,574.67,16
6,28,579.74,16
6,29,580.31,16
