month,day,avg_daytime_temperature,years_sampled
1,1,10.59,16
1,2,10.9,16
1,3,11.17,16
1,4,10.94,16
1,5,10.9,16
1,6,10.79,16
1,7,10.93,16
1,8,11.17,16
1,9,10.95,16
1,10,10.38,16
1,11,10.74,16
1,12,10.79,16
1,13,10.32,16
1,14,10.27,16
1,15,10.39,16
1,16,9.97,16
1,17,10.01,16
1,18,10.33,16
1,19,9.68,16
1,20,9.3,16
1,21,9.79,16
1,22,9.61,16
1,23,10.03,16
1,24,10.26,16
1,25,10.17,16
1,26,10.16,16
1,27,10.41,16
1,28,10.32,16
1,29,10.27,16
1,30,9.43,16
1,31,10.0,16
2,1,9.86,16
2,2,10.52,16
2,3,10.7,16
2,4,10.26,16
2,5,10.32,16
2,6,10.03,16
2,7,10.08,16
2,8,9.92,16
2,9,9.87,16
2,10,9.93,16
2,11,9.75,16
2,12,9.83,16
2,13,9.83,16
2,14,10.06,16
2,15,9.9,16
2,16,10.79,16
2,17,10.93,16
2,18,11.53,16
2,19,11.34,16
2,20,11.45,16
2,21,11.54,16
2,22,11.7,16
2,23,11.87,16
2,24,11.73,16
2,25,11.72,16
2,26,11.32,16
2,27,10.54,16
2,28,11.41,16
2,29,13.4,4
3,1,11.85,16
3,2,12.96,16
3,3,11.85,16
3,4,12.07,16
3,5,11.84,16
3,6,11.36,16
3,7,11.84,16
3,8,11.58,16
3,9,11.65,16
3,10,12.48,16
3,11,12.73,16
3,12,12.87,16
3,13,12.68,16
3,14,13.1,16
3,15,12.47,16
3,16,12.5,16
3,17,12.75,16
3,18,12.68,16
3,19,13.06,16
3,20,13.16,16
3,21,13.33,16
3,22,13.67,16
3,23,13.52,16
3,24,13.57,16
3,25,13.46,16
3,26,13.74,16
3,27,14.53,16
3,28,14.6,16
3,29,14.96,16
3,30,15.13,16
3,31,15.04,16
4,1,14.86,16
4,2,14.61,16
4,3,14.81,16
4,4,14.35,16
4,5,14.85,16
4,6,15.03,16
4,7,15.61,16
4,8,15.86,16
4,9,14.87,16
4,10,14.91,16
4,11,14.81,16
4,12,15.03,16
4,13,15.37,16
4,14,15.71,16
4,15,15.52,16
4,16,15.69,16
4,17,15.68,16
4,18,15.76,16
4,19,15.53,16
4,20,15.52,16
4,21,16.17,16
4,22,16.13,16
4,23,15.63,16
4,24,16.32,16
4,25,16.38,16
4,26,16.67,16
4,27,16.44,16
4,28,16.76,16
4,29,17.12,16
4,30,17.18,16
5,1,16.85,16
5,2,17.22,16
5,3,17.48,16
5,4,17.15,16
5,5,17.2,16
5,6,17.45,16
5,7,17.89,16
5,8,17.72,16
5,9,18.43,16
5,10,18.75,16
5,11,18.89,16
5,12,18.72,16
5,13,18.11,16
5,14,17.58,16
5,15,17.66,16
5,16,18.41,16
5,17,18.58,16
5,18,18.64,16
5,19,18.93,16
5,20,19.2,16
5,21,19.35,16
5,22,19.12,16
5,23,19.83,16
5,24,19.66,16
5,25,19.96,16
5,26,20.36,16
5,27,20.77,16
5,28,20.15,16
5,29,20.09,16
5,30,20.73,16
5,31,20.27,16
6,1,20.11,16
6,2,20.4,16
6,3,21.15,16
6,4,21.04,16
6,5,21.15,16
6,6,21.25,16
6,7,21.67,16
6,8,22.09,16
6,9,22.42,16
6,10,22.74,16
6,11,22.8,16
6,12,22.86,16
6,13,22.2,16
6,14,22.91,16
6,15,22.75,16
6,16,22.95,16
6,17,23.39,16
6,18,24.37,16
6,19,24.19,16
6,20,24.03,16
6,21,24.01,16
6,22,24.12,16
6,23,24.37,16
6,24,24.27,16
6,25,24.43,16
6,26,24.56,16
6,27,24.96,16
6,28,24.86,16
6,29,25.59,16
6,30,25.42,16
7,1,24.84,16
7,2,24.98,16
7,3,25.21,16
7,4,25.26,16
7,5,25.45,16
7,6,25.63,16
7,7,26.21,16
7,8,26.25,16
7,9,25.88,16
7,10,25.92,16
7,11,26.19,16
7,12,25.9,16
7,13,26.25,16
7,14,25.66,16
7,15,25.56,16
7,16,25.81,16
7,17,26.51,16
7,18,26.73,16
7,19,26.49,16
7,20,26.63,16
7,21,26.4,16
7,22,26.58,16
7,23,26.73,16
7,24,26.91,16
7,25,26.93,16
7,26,26.0,16
7,27,26.19,16
7,28,26.0,16
7,29,26.3,16
7,30,26.18,16
7,31,26.67,16
8,1,26.72,16
8,2,26.55,16
8,3,27.12,16
8,4,26.57,16
8,5,26.6,16
8,6,26.93,16
8,7,26.78,16
8,8,26.97,16
8,9,26.66,16
8,10,26.69,16
8,11,26.99,16
8,12,27.11,16
8,13,26.57,16
8,14,26.55,16
8,15,26.32,16
8,16,25.99,16
8,17,26.21,16
8,18,26.25,16
8,19,26.29,16
8,20,26.67,16
8,21,26.71,16
8,22,26.83,16
8,23,26.55,16
8,24,26.05,16
8,25,25.86,16
8,26,25.67,16
8,27,25.6,16
8,28,24.94,16
8,29,25.2,16
8,30,25.0,16
8,31,24.68,16
9,1,24.6,16
9,2,23.98,16
9,3,24.1,16
9,4,24.28,16
9,5,24.5,16
9,6,24.32,16
9,7,24.53,16
9,8,24.56,16
9,9,24.29,16
9,10,23.82,16
9,11,24.03,16
9,12,24.03,16
9,13,23.43,16
9,14,23.79,16
9,15,23.53,16
9,16,23.03,16
9,17,22.88,16
9,18,22.58,16
9,19,22.77,16
9,20,22.78,16
9,21,22.17,16
9,22,21.89,16
9,23,21.65,16
9,24,21.28,16
9,25,20.92,16
9,26,20.95,16
9,27,21.18,16
9,28,21.53,16
9,29,21.39,16
9,30,20.73,16
10,1,20.49,16
10,2,20.56,16
10,3,20.2,16
10,4,20.39,16
10,5,20.44,16
10,6,19.7,16
10,7,20.2,16
10,8,19.95,16
10,9,19.71,16
10,10,19.72,16
10,11,18.9,16
10,12,19.01,16
10,13,18.78,16
10,14,18.64,16
10,15,18.5,16
10,16,18.29,16
10,17,18.26,16
10,18,18.32,16
10,19,18.42,16
10,20,18.65,16
10,21,18.79,16
10,22,18.6,16
10,23,18.37,16
10,24,18.44,16
10,25,18.11,16
10,26,17.87,16
10,27,18.16,16
10,28,17.48,16
10,29,17.74,16
10,30,17.4,16
10,31,17.34,16
11,1,16.98,16
11,2,16.88,16
11,3,16.78,16
11,4,16.31,16
11,5,16.55,16
11,6,15.97,16
11,7,15.7,16
11,8,15.33,16
11,9,14.93,16
11,10,15.39,16
11,11,15.28,16
11,12,15.8,16
11,13,15.48,16
11,14,15.48,16
11,15,14.54,16
11,16,14.67,16
11,17,14.36,16
11,18,14.05,16
11,19,13.79,16
11,20,13.61,16
11,21,12.41,16
11,22,12.99,16
11,23,13.13,16
11,24,13.47,16
11,25,13.32,16
11,26,12.48,16
11,27,12.13,16
11,28,12.04,16
11,29,12.04,16
11,30,11.52,16
12,1,11.4,16
12,2,11.25,16
12,3,11.29,16
12,4,11.49,16
12,5,11.23,16
12,6,11.31,16
12,7,11.43,16
12,8,11.76,16
12,9,11.46,16
12,10,11.37,16
12,11,11.29,16
12,12,10.79,16
12,13,10.93,16
12,14,11.46,16
12,15,11.56,16
12,16,11.4,16
12,17,11.31,16
12,18,10.98,16
12,19,11.08,16
12,20,11.25,16
12,21,12.05,16
12,22,12.45,16
12,23,12.15,16
12,24,12.11,16
12,25,12.06,16
12,26,11.83,16
12,27,11.26,16
12,28,11.15,16
12,29,11.07,16
12,30,11.09,16
12,31,10.73,16
