month,day,avg_daytime_temperature,years_sampled
1,1,-0.97,16
1,2,-2.93,16
1,3,-3.39,16
1,4,-3.79,16
1,5,-5.64,16
1,6,-6.17,16
1,7,-3.86,16
1,8,-3.76,16
1,9,-4.27,16
1,10,-3.82,16
1,11,-1.74,16
1,12,-3.95,16
1,13,-3.57,16
1,14,-4.54,16
1,15,-5.09,16
1,16,-3.82,16
1,17,-3.03,16
1,18,-4.53,16
1,19,-4.84,16
1,20,-5.51,16
1,21,-3.93,16
1,22,-4.19,16
1,23,-3.51,16
1,24,-2.54,16
1,25,-2.87,16
1,26,-2.48,16
1,27,-3.03,16
1,28,-1.67,16
1,29,-2.1,16
1,30,-3.12,16
1,31,-3.8,16
2,1,-3.45,16
2,2,-4.16,16
2,3,-3.62,16
2,4,-3.92,16
2,5,-2.95,16
2,6,-2.86,16
2,7,-3.54,16
2,8,-3.21,16
2,9,-2.4,16
2,10,-1.91,16
2,11,-3.05,16
2,12,-3.04,16
2,13,-2.52,16
2,14,-2.7,16
2,15,-1.78,16
2,16,-1.02,16
2,17,-0.74,16
2,18,-0.63,16
2,19,-1.1,16
2,20,-1.66,16
2,21,-1.66,16
2,22,-0.86,16
2,23,-0.26,16
2,24,0.04,16
2,25,0.33,16
2,26,0.06,16
2,27,0.5,16
2,28,0.96,16
2,29,1.13,4
3,1,0.84,16
3,2,1.37,16
3,3,1.21,16
3,4,0.66,16
3,5,0.39,16
3,6,0.52,16
3,7,0.58,16
3,8,0.64,16
3,9,0.81,16
3,10,0.33,16
3,11,0.48,16
3,12,1.28,16
3,13,1.62,16
3,14,1.61,16
3,15,2.0,16
3,16,1.42,16
3,17,2.16,16
3,18,2.56,16
3,19,2.22,16
3,20,3.88,16
3,21,4.03,16
3,22,3.93,16
3,23,4.34,16
3,24,4.37,16
3,25,4.98,16
3,26,3.78,16
3,27,4.53,16
3,28,4.36,16
3,29,4.31,16
3,30,3.62,16
3,31,3.42,16
4,1,4.29,16
4,2,4.28,16
4,3,4.22,16
4,4,4.81,16
4,5,4.47,16
4,6,5.04,16
4,7,6.45,16
4,8,5.82,16
4,9,5.99,16
4,10,6.42,16
4,11,6.83,16
4,12,6.83,16
4,13,6.86,16
4,14,6.67,16
4,15,7.57,16
4,16,7.22,16
4,17,7.97,16
4,18,8.6,16
4,19,9.07,16
4,20,9.83,16
4,21,10.02,16
4,22,9.78,16
4,23,9.03,16
4,24,7.91,16
4,25,8.08,16
4,26,8.36,16
4,27,8.57,16
4,28,8.37,16
4,29,9.35,16
4,30,9.48,16
5,1,8.99,16
5,2,9.92,16
5,3,8.88,16
5,4,8.37,16
5,5,9.66,16
5,6,10.28,16
5,7,10.47,16
5,8,10.76,16
5,9,11.12,16
5,10,11.07,16
5,11,10.51,16
5,12,11.23,16
5,13,11.49,16
5,14,11.75,16
5,15,12.36,16
5,16,12.92,16
5,17,12.67,16
5,18,13.43,16
5,19,14.78,16
5,20,14.58,16
5,21,14.49,16
5,22,14.94,16
5,23,14.25,16
5,24,13.91,16
5,25,15.1,16
5,26,15.0,16
5,27,14.28,16
5,28,14.27,16
5,29,14.44,16
5,30,15.32,16
5,31,16.73,16
6,1,16.39,16
6,2,16.45,16
6,3,16.78,16
6,4,15.71,16
6,5,15.14,16
6,6,15.89,16
6,7,15.87,16
6,8,15.27,16
6,9,15.39,16
6,10,15.9,16
6,11,16.08,16
6,12,15.85,16
6,13,15.97,16
6,14,16.29,16
6,15,16.65,16
6,16,16.92,16
6,17,16.57,16
6,18,16.69,16
6,19,16.34,16
6,20,16.22,16
6,21,16.49,16
6,22,16.12,16
6,23,16.5,16
6,24,17.08,16
6,25,17.94,16
6,26,17.93,16
6,27,17.85,16
6,28,17.66,16
6,29,17.33,16
6,30,17.52,16
7,1,17.96,16
7,2,17.55,16
7,3,17.77,16
7,4,17.26,16
7,5,17.87,16
7,6,17.48,16
7,7,17.62,16
7,8,17.75,16
7,9,18.31,16
7,10,18.33,16
7,11,18.78,16
7,12,18.78,16
7,13,18.69,16
7,14,17.9,16
7,15,18.09,16
7,16,18.35,16
7,17,18.73,16
7,18,18.54,16
7,19,18.62,16
7,20,19.64,16
7,21,19.34,16
7,22,18.93,16
7,23,19.67,16
7,24,19.65,16
7,25,19.75,16
7,26,19.3,16
7,27,19.25,16
7,28,19.02,16
7,29,18.39,16
7,30,18.14,16
7,31,18.16,16
8,1,18.07,16
8,2,18.18,16
8,3,18.47,16
8,4,17.92,16
8,5,17.52,16
8,6,17.38,16
8,7,17.39,16
8,8,17.72,16
8,9,17.41,16
8,10,16.79,16
8,11,17.11,16
8,12,17.19,16
8,13,17.3,16
8,14,17.62,16
8,15,17.95,16
8,16,17.7,16
8,17,17.63,16
8,18,17.16,16
8,19,17.15,16
8,20,16.92,16
8,21,16.92,16
8,22,16.21,16
8,23,16.65,16
8,24,16.07,16
8,25,16.47,16
8,26,15.98,16
