calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,35.2,2.9,88.1,333.58,325.14,341.0,26.43,25.5,27.3,78.94,73.0,86.0,21.5,33.7
2,2,Feb,20.21,4.2,27.35,308.27,302.87,317.98,26.85,26.0,27.7,74.77,70.0,81.0,21.6,34.1
3,3,Mar,24.44,4.35,50.6,339.16,332.98,344.5,27.25,26.3,28.1,73.39,68.0,79.0,21.5,35.2
4,4,Apr,108.04,57.0,159.2,317.13,297.15,335.7,27.24,25.9,28.4,79.23,70.0,89.0,21.6,34.8
5,5,May,240.33,183.65,322.15,274.22,243.02,302.7,26.64,25.7,27.6,87.56,82.0,92.0,22.6,35.1
6,6,Jun,273.43,218.55,355.85,239.82,209.74,266.57,26.28,25.4,27.2,89.51,86.0,93.0,22.3,33.5
7,7,Jul,297.77,220.5,398.8,231.59,209.92,257.14,26.18,25.4,27.3,89.38,86.0,93.0,22.7,34.3
8,8,Aug,274.54,206.75,349.25,244.91,228.19,263.22,26.11,25.3,26.9,89.46,86.0,93.0,22.2,33.5
9,9,Sep,284.67,233.7,340.35,244.47,226.82,261.52,26.03,25.4,26.7,89.78,87.0,92.1,22.4,32.2
10,10,Oct,287.24,220.35,343.95,261.59,242.69,286.3,25.76,25.0,26.6,89.82,87.0,93.0,22.0,31.6
11,11,Nov,292.59,202.4,374.8,251.07,208.24,284.37,25.55,24.6,26.6,89.76,86.0,93.0,22.0,32.6
12,12,Dec,127.54,56.8,203.4,312.41,285.32,341.46,26.09,24.9,27.2,85.3,79.0,91.0,21.6,32.7
