month,day,avg_accumulated_precipitation,years_sampled
1,1,3.3,16
1,2,6.22,16
1,3,7.6,16
1,4,9.26,16
1,5,13.94,16
1,6,14.79,16
1,7,15.25,16
1,8,16.24,16
1,9,17.72,16
1,10,19.86,16
1,11,21.2,16
1,12,22.01,16
1,13,22.81,16
1,14,23.42,16
1,15,23.79,16
1,16,24.6,16
1,17,25.28,16
1,18,26.98,16
1,19,27.98,16
1,20,28.75,16
1,21,29.14,16
1,22,30.27,16
1,23,32.02,16
1,24,32.54,16
1,25,32.91,16
1,26,33.31,16
1,27,33.82,16
1,28,34.06,16
1,29,34.52,16
1,30,34.69,16
1,31,35.2,16
2,1,35.51,16
2,2,35.77,16
2,3,35.99,16
2,4,36.5,16
2,5,37.36,16
2,6,37.83,16
2,7,38.13,16
2,8,38.68,16
2,9,39.26,16
2,10,39.76,16
2,11,40.29,16
2,12,40.65,16
2,13,41.03,16
2,14,41.73,16
2,15,42.26,16
2,16,43.36,16
2,17,45.9,16
2,18,46.76,16
2,19,48.12,16
2,20,50.55,16
2,21,51.03,16
2,22,51.26,16
2,23,51.78,16
2,24,52.52,16
2,25,53.88,16
2,26,54.32,16
2,27,54.8,16
2,28,55.41,16
2,29,55.41,4
3,1,56.09,16
3,2,57.77,16
3,3,58.47,16
3,4,58.88,16
3,5,59.14,16
3,6,59.69,16
3,7,60.06,16
3,8,60.77,16
3,9,61.24,16
3,10,62.04,16
3,11,62.41,16
3,12,62.77,16
3,13,63.48,16
3,14,64.47,16
3,15,64.96,16
3,16,65.39,16
3,17,66.02,16
3,18,67.52,16
3,19,68.62,16
3,20,69.61,16
3,21,71.04,16
3,22,71.56,16
3,23,72.03,16
3,24,72.48,16
3,25,73.79,16
3,26,74.35,16
3,27,75.24,16
3,28,76.28,16
3,29,77.16,16
3,30,78.32,16
3,31,79.85,16
4,1,82.15,16
4,2,83.76,16
4,3,85.8,16
4,4,88.46,16
4,5,91.44,16
4,6,92.96,16
4,7,95.16,16
4,8,98.48,16
4,9,101.48,16
4,10,102.96,16
4,11,104.71,16
4,12,107.39,16
4,13,111.4,16
4,14,113.28,16
4,15,116.06,16
4,16,119.52,16
4,17,122.61,16
4,18,125.42,16
4,19,128.72,16
4,20,133.31,16
4,21,137.24,16
4,22,140.77,16
4,23,143.67,16
4,24,146.86,16
4,25,155.09,16
4,26,160.96,16
4,27,167.4,16
4,28,173.46,16
4,29,181.31,16
4,30,187.89,16
5,1,194.95,16
5,2,198.11,16
5,3,203.89,16
5,4,209.03,16
5,5,215.07,16
5,6,219.76,16
5,7,227.39,16
5,8,233.82,16
5,9,242.2,16
5,10,252.4,16
5,11,259.92,16
5,12,265.19,16
5,13,272.02,16
5,14,279.13,16
5,15,285.14,16
5,16,292.22,16
5,17,299.7,16
5,18,306.96,16
5,19,314.84,16
5,20,323.11,16
5,21,330.41,16
5,22,337.71,16
5,23,346.24,16
5,24,354.48,16
5,25,365.41,16
5,26,374.67,16
5,27,384.2,16
5,28,395.92,16
5,29,407.46,16
5,30,419.86,16
5,31,428.22,16
6,1,436.51,16
6,2,443.63,16
6,3,451.75,16
6,4,459.63,16
6,5,467.09,16
6,6,475.35,16
