month,day,avg_daytime_temperature,years_sampled
1,1,5.98,15
1,2,7.02,15
1,3,7.23,15
1,4,6.59,15
1,5,6.02,15
1,6,5.67,15
1,7,5.97,15
1,8,6.35,15
1,9,6.0,15
1,10,5.4,15
1,11,5.81,15
1,12,6.21,15
1,13,6.33,15
1,14,5.61,15
1,15,5.21,15
1,16,4.58,15
1,17,4.4,15
1,18,4.17,15
1,19,3.51,15
1,20,3.44,15
1,21,3.5,15
1,22,4.32,15
1,23,4.25,15
1,24,4.72,15
1,25,4.52,15
1,26,5.26,15
1,27,5.53,15
1,28,6.35,15
1,29,6.39,15
1,30,6.78,15
1,31,5.89,15
2,1,6.94,15
2,2,6.83,15
2,3,6.55,15
2,4,6.45,15
2,5,6.35,15
2,6,6.37,15
2,7,5.56,15
2,8,5.8,15
2,9,5.1,15
2,10,4.72,15
2,11,4.88,15
2,12,4.35,15
2,13,5.4,15
2,14,6.74,15
2,15,7.98,15
2,16,8.03,15
2,17,8.04,15
2,18,7.64,15
2,19,7.2,15
2,20,8.05,15
2,21,7.5,15
2,22,8.05,15
2,23,8.11,15
2,24,8.31,15
2,25,7.51,15
2,26,6.87,15
2,27,6.64,15
2,28,6.04,15
2,29,8.61,4
3,1,7.02,15
3,2,7.78,15
3,3,8.2,15
3,4,7.43,15
3,5,7.31,15
3,6,7.35,15
3,7,7.23,15
3,8,8.88,15
3,9,10.02,15
3,10,9.79,15
3,11,9.55,15
3,12,9.23,15
3,13,9.27,15
3,14,9.48,15
3,15,10.58,15
3,16,11.11,15
3,17,9.58,15
3,18,9.52,15
3,19,9.36,15
3,20,9.8,15
3,21,9.63,15
3,22,10.16,15
3,23,10.06,15
3,24,10.45,15
3,25,10.47,15
3,26,10.26,15
3,27,10.17,15
3,28,11.25,15
3,29,11.91,15
3,30,11.51,15
3,31,11.15,15
4,1,10.73,15
4,2,10.64,15
4,3,10.99,15
4,4,10.48,15
4,5,11.08,15
4,6,11.88,15
4,7,12.61,15
4,8,12.14,15
4,9,12.58,15
4,10,12.98,15
4,11,12.75,15
4,12,12.55,15
4,13,12.16,15
4,14,12.42,15
4,15,12.29,15
4,16,12.23,15
4,17,12.55,15
4,18,12.95,15
4,19,13.39,15
4,20,13.67,15
4,21,14.09,15
4,22,14.3,15
4,23,13.71,15
4,24,14.32,15
4,25,13.47,15
4,26,12.35,15
4,27,12.68,15
4,28,12.99,15
4,29,13.13,15
4,30,12.45,15
5,1,12.9,15
5,2,12.99,15
5,3,13.17,15
5,4,13.52,15
5,5,13.93,15
5,6,14.82,15
5,7,15.38,15
5,8,16.0,15
5,9,16.66,15
5,10,16.54,15
5,11,15.32,15
5,12,14.11,15
5,13,14.25,15
5,14,13.7,15
5,15,14.32,15
5,16,15.11,15
5,17,15.83,15
5,18,16.16,15
5,19,15.74,15
5,20,16.35,15
5,21,17.27,15
5,22,17.28,15
5,23,16.49,15
5,24,15.92,15
5,25,17.15,15
5,26,17.52,15
5,27,17.88,15
5,28,17.35,15
5,29,17.21,15
5,30,17.29,15
5,31,17.08,15
6,1,18.01,15
6,2,18.89,15
6,3,18.21,15
6,4,18.41,15
6,5,18.45,15
6,6,18.07,15
6,7,18.63,15
6,8,18.83,15
6,9,18.15,15
6,10,18.44,15
6,11,18.96,15
6,12,17.82,15
6,13,17.98,15
6,14,19.04,15
6,15,19.19,15
6,16,19.16,15
6,17,20.01,15
6,18,20.45,15
6,19,19.25,15
6,20,19.31,15
6,21,19.53,15
6,22,19.03,15
6,23,19.7,15
6,24,20.28,15
6,25,21.08,15
6,26,21.53,15
6,27,21.69,15
6,28,21.07,15
6,29,20.07,15
6,30,19.99,15
7,1,20.6,15
7,2,20.5,15
7,3,20.32,15
7,4,20.99,15
7,5,21.05,15
7,6,20.93,15
7,7,21.58,15
7,8,21.62,15
7,9,21.63,15
7,10,20.97,15
7,11,21.07,15
7,12,20.48,15
7,13,20.53,15
7,14,20.62,15
7,15,21.52,15
7,16,21.98,15
7,17,22.62,15
7,18,24.16,15
7,19,24.5,15
7,20,22.54,15
7,21,22.08,15
7,22,22.06,15
7,23,22.59,15
7,24,22.95,15
7,25,22.91,15
7,26,21.91,15
7,27,21.62,15
7,28,20.71,15
7,29,21.01,15
7,30,21.68,15
7,31,22.17,15
8,1,22.43,15
8,2,22.59,15
8,3,22.22,15
8,4,21.48,15
8,5,21.61,15
8,6,21.29,15
8,7,21.93,15
8,8,21.58,15
8,9,21.37,15
8,10,21.44,15
8,11,22.16,15
8,12,23.06,15
8,13,21.33,15
8,14,21.14,15
8,15,21.31,15
8,16,21.22,15
8,17,20.89,15
8,18,21.26,15
8,19,20.96,15
8,20,21.37,15
8,21,22.0,15
8,22,22.25,15
8,23,22.23,15
