month,day,avg_accumulated_precipitation,years_sampled
1,1,1.64,15
1,2,4.4,15
1,3,7.49,15
1,4,10.15,15
1,5,10.74,15
1,6,12.0,15
1,7,14.48,15
1,8,16.19,15
1,9,18.13,15
1,10,19.85,15
1,11,21.63,15
1,12,22.97,15
1,13,23.95,15
1,14,26.37,15
1,15,28.35,15
1,16,31.11,15
1,17,33.94,15
1,18,34.95,15
1,19,36.5,15
1,20,38.27,15
1,21,39.8,15
1,22,42.34,15
1,23,43.26,15
1,24,44.37,15
1,25,45.29,15
1,26,46.88,15
1,27,48.43,15
1,28,50.16,15
1,29,52.47,15
1,30,55.92,15
1,31,58.43,15
2,1,61.73,15
2,2,63.61,15
2,3,65.05,15
2,4,66.45,15
2,5,68.01,15
2,6,71.35,15
2,7,73.98,15
2,8,75.57,15
2,9,77.16,15
2,10,80.46,15
2,11,81.99,15
2,12,83.02,15
2,13,85.35,15
2,14,87.07,15
2,15,88.51,15
2,16,89.95,15
2,17,90.44,15
2,18,91.63,15
2,19,92.95,15
2,20,94.35,15
2,21,95.85,15
2,22,97.79,15
2,23,99.88,15
2,24,101.17,15
2,25,103.58,15
2,26,105.59,15
2,27,107.63,15
2,28,109.69,15
2,29,109.95,4
3,1,112.82,15
3,2,115.2,15
3,3,116.61,15
3,4,120.89,15
3,5,124.43,15
3,6,125.94,15
3,7,127.39,15
3,8,130.4,15
3,9,132.49,15
3,10,134.06,15
3,11,136.56,15
3,12,139.46,15
3,13,140.71,15
3,14,141.9,15
3,15,144.25,15
3,16,144.75,15
3,17,146.65,15
3,18,148.8,15
3,19,149.74,15
3,20,150.79,15
3,21,151.25,15
3,22,152.29,15
3,23,154.45,15
3,24,155.56,15
3,25,156.85,15
3,26,158.35,15
3,27,160.02,15
3,28,161.16,15
3,29,163.53,15
3,30,166.49,15
3,31,168.71,15
4,1,169.55,15
4,2,171.06,15
4,3,173.57,15
4,4,175.59,15
4,5,176.21,15
4,6,176.99,15
4,7,178.25,15
4,8,180.88,15
4,9,183.64,15
4,10,186.45,15
4,11,188.05,15
4,12,189.56,15
4,13,190.88,15
4,14,191.75,15
4,15,192.99,15
4,16,193.23,15
4,17,194.01,15
4,18,195.1,15
4,19,195.47,15
4,20,195.75,15
4,21,196.15,15
4,22,197.12,15
4,23,198.6,15
4,24,200.12,15
4,25,202.19,15
4,26,204.02,15
4,27,206.13,15
4,28,208.39,15
4,29,211.21,15
4,30,216.29,15
5,1,219.05,15
5,2,221.85,15
5,3,223.32,15
5,4,225.52,15
5,5,227.19,15
5,6,229.55,15
5,7,230.94,15
5,8,233.0,15
5,9,235.34,15
5,10,238.65,15
5,11,242.51,15
5,12,244.62,15
5,13,246.21,15
5,14,248.81,15
5,15,249.82,15
5,16,251.05,15
5,17,251.82,15
5,18,253.69,15
5,19,255.78,15
5,20,259.45,15
5,21,263.25,15
5,22,265.66,15
5,23,267.77,15
5,24,269.38,15
5,25,270.23,15
5,26,272.0,15
5,27,273.74,15
5,28,276.63,15
5,29,279.63,15
5,30,282.69,15
5,31,286.02,15
6,1,287.99,15
6,2,288.96,15
6,3,291.11,15
6,4,294.76,15
6,5,298.31,15
6,6,300.65,15
6,7,302.41,15
6,8,304.36,15
6,9,307.83,15
6,10,310.05,15
6,11,314.37,15
6,12,319.07,15
6,13,320.17,15
6,14,321.73,15
6,15,323.53,15
6,16,324.85,15
