month,day,avg_daytime_temperature,years_sampled
1,1,25.51,16
1,2,26.33,16
1,3,26.09,16
1,4,26.68,16
1,5,27.22,16
1,6,26.86,16
1,7,26.49,16
1,8,26.47,16
1,9,25.84,16
1,10,25.42,16
1,11,25.96,16
1,12,26.54,16
1,13,26.39,16
1,14,26.78,16
1,15,25.88,16
1,16,26.18,16
1,17,26.28,16
1,18,26.85,16
1,19,27.59,16
1,20,28.18,16
1,21,27.79,16
1,22,26.7,16
1,23,26.56,16
1,24,25.7,16
1,25,26.3,16
1,26,26.93,16
1,27,27.38,16
1,28,28.09,16
1,29,28.0,16
1,30,27.52,16
1,31,26.31,16
2,1,27.0,16
2,2,27.4,16
2,3,27.44,16
2,4,26.89,16
2,5,26.39,16
2,6,25.14,16
2,7,26.07,16
2,8,27.31,16
2,9,26.69,16
2,10,27.1,16
2,11,25.93,16
2,12,25.91,16
2,13,26.58,16
2,14,26.61,16
2,15,27.54,16
2,16,27.04,16
2,17,26.46,16
2,18,27.36,16
2,19,27.55,16
2,20,27.39,16
2,21,26.17,16
2,22,25.5,16
2,23,26.74,16
2,24,26.92,16
2,25,27.8,16
2,26,27.64,16
2,27,27.12,16
2,28,27.19,16
2,29,24.74,4
3,1,26.82,16
3,2,26.25,16
3,3,26.07,16
3,4,26.25,16
3,5,26.35,16
3,6,27.12,16
3,7,26.74,16
3,8,26.21,16
3,9,26.64,16
3,10,26.95,16
3,11,27.48,16
3,12,27.17,16
3,13,26.06,16
3,14,25.2,16
3,15,24.33,16
3,16,24.31,16
3,17,24.11,16
3,18,24.25,16
3,19,24.78,16
3,20,25.21,16
3,21,25.73,16
3,22,24.43,16
3,23,23.99,16
3,24,24.82,16
3,25,25.24,16
3,26,24.73,16
3,27,23.69,16
3,28,23.43,16
3,29,24.03,16
3,30,23.95,16
3,31,23.92,16
4,1,24.07,16
4,2,24.32,16
4,3,24.53,16
4,4,23.71,16
4,5,22.52,16
4,6,22.75,16
4,7,23.02,16
4,8,22.95,16
4,9,22.81,16
4,10,23.63,16
4,11,23.48,16
4,12,21.87,16
4,13,21.54,16
4,14,20.91,16
4,15,21.42,16
4,16,22.34,16
4,17,21.55,16
4,18,21.31,16
4,19,20.52,16
4,20,20.55,16
4,21,21.27,16
