calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,17.45,0.1,52.95,396.29,377.12,407.66,24.79,20.7,29.3,51.99,35.0,68.0,12.6,42.8
2,2,Feb,16.22,0.05,45.75,350.03,334.87,360.37,24.87,20.9,29.19,53.5,36.0,73.0,12.6,44.3
3,3,Mar,31.04,2.3,67.2,342.68,326.74,363.83,23.14,19.55,27.2,57.57,39.0,77.0,11.1,39.4
4,4,Apr,33.27,12.2,66.8,300.79,279.5,319.41,19.76,16.6,23.3,63.94,45.0,79.0,8.0,36.1
5,5,May,76.94,44.85,109.95,282.88,260.71,295.93,16.31,13.6,19.1,69.24,52.0,83.0,3.6,31.1
6,6,Jun,96.98,29.55,168.15,254.47,241.31,274.17,14.03,11.4,16.6,74.59,61.9,86.0,3.4,24.8
7,7,Jul,110.76,71.2,161.7,264.88,250.35,280.85,13.26,10.7,15.9,75.75,66.0,85.0,3.8,22.6
8,8,Aug,105.81,59.55,159.45,300.04,283.64,312.65,13.68,11.4,16.1,75.24,64.0,85.0,4.2,27.4
9,9,Sep,55.84,21.9,92.15,324.03,313.35,339.31,14.87,12.0,17.6,71.93,58.0,83.0,4.0,32.7
10,10,Oct,35.97,6.2,66.2,355.19,342.13,369.94,17.19,14.2,20.7,66.73,49.5,79.0,6.0,34.9
11,11,Nov,20.99,6.75,45.2,390.33,379.43,399.74,20.19,16.3,25.2,59.03,39.0,75.0,8.3,39.4
12,12,Dec,13.84,0.75,29.75,413.7,402.27,422.09,23.06,18.95,28.3,53.07,34.0,70.0,9.7,42.9
