calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,176.69,63.35,302.35,199.32,169.44,236.24,9.84,6.7,13.2,81.06,65.5,92.0,-0.2,21.4
2,2,Feb,130.04,13.95,263.8,223.07,192.16,261.08,10.39,7.31,13.3,78.8,64.0,90.0,-0.9,22.9
3,3,Mar,149.8,25.65,341.65,281.22,248.27,316.14,11.78,9.3,14.4,77.25,61.0,89.0,2.1,27.9
4,4,Apr,129.06,54.35,226.5,321.89,293.3,351.33,13.97,10.9,17.4,77.64,61.9,88.0,3.5,28.1
5,5,May,83.16,38.9,163.15,374.67,353.87,399.24,16.32,12.95,20.1,76.73,61.0,88.0,6.0,31.7
6,6,Jun,43.68,15.5,74.35,392.58,372.58,418.95,18.52,15.59,22.6,78.02,65.0,88.0,9.3,34.4
7,7,Jul,14.2,3.6,29.2,417.77,399.07,432.22,20.74,18.0,25.2,75.16,57.0,87.0,11.7,38.4
8,8,Aug,14.74,2.25,30.2,379.34,366.55,399.16,20.76,18.3,24.4,75.13,57.0,87.0,12.5,37.2
9,9,Sep,68.95,12.75,134.55,323.18,298.45,337.72,19.5,16.8,23.11,75.74,57.9,89.0,10.6,36.2
10,10,Oct,182.81,110.2,290.75,255.09,224.63,291.35,17.01,14.2,20.15,79.76,63.0,91.0,5.5,31.9
11,11,Nov,176.2,64.55,316.7,208.54,169.53,240.77,12.9,9.7,16.0,82.13,70.9,91.0,3.1,23.0
12,12,Dec,172.65,44.35,299.95,202.56,177.48,251.29,10.81,7.7,13.95,82.14,70.0,92.0,0.1,21.1
