month,day,avg_accumulated_precipitation,years_sampled
1,1,8.72,16
1,2,13.74,16
1,3,19.91,16
1,4,27.7,16
1,5,35.91,16
1,6,41.13,16
1,7,48.44,16
1,8,55.52,16
1,9,59.54,16
1,10,65.5,16
1,11,67.83,16
1,12,71.89,16
1,13,80.79,16
1,14,86.45,16
1,15,92.21,16
1,16,100.16,16
1,17,107.73,16
1,18,114.61,16
1,19,120.14,16
1,20,126.02,16
1,21,129.48,16
1,22,133.57,16
1,23,136.27,16
1,24,137.02,16
1,25,142.71,16
1,26,146.77,16
1,27,153.24,16
1,28,159.64,16
1,29,165.21,16
1,30,170.26,16
1,31,176.69,16
2,1,180.57,16
2,2,184.66,16
2,3,189.07,16
2,4,194.22,16
2,5,195.62,16
2,6,199.44,16
2,7,202.42,16
2,8,209.4,16
2,9,219.07,16
2,10,225.97,16
2,11,231.62,16
2,12,236.71,16
2,13,243.72,16
2,14,250.59,16
2,15,254.37,16
2,16,258.02,16
2,17,261.09,16
2,18,264.42,16
2,19,265.36,16
2,20,270.82,16
2,21,276.56,16
2,22,280.59,16
2,23,284.34,16
2,24,289.63,16
2,25,293.76,16
2,26,295.71,16
2,27,301.17,16
2,28,305.71,16
2,29,306.74,4
3,1,312.98,16
3,2,317.46,16
3,3,326.4,16
3,4,330.02,16
3,5,336.34,16
3,6,342.09,16
3,7,348.47,16
3,8,356.64,16
3,9,364.94,16
3,10,371.04,16
3,11,377.32,16
3,12,380.51,16
3,13,381.64,16
3,14,384.21,16
3,15,388.41,16
3,16,391.58,16
3,17,394.39,16
3,18,396.17,16
3,19,398.51,16
3,20,401.86,16
3,21,405.81,16
3,22,411.84,16
3,23,414.47,16
3,24,418.21,16
3,25,423.69,16
3,26,430.15,16
3,27,433.14,16
3,28,438.79,16
3,29,446.61,16
3,30,452.2,16
3,31,456.54,16
4,1,462.69,16
4,2,467.11,16
4,3,472.64,16
4,4,478.06,16
4,5,481.38,16
4,6,486.57,16
4,7,488.71,16
4,8,493.72,16
4,9,499.5,16
4,10,504.39,16
4,11,509.47,16
4,12,512.72,16
4,13,514.94,16
4,14,520.5,16
4,15,526.83,16
4,16,530.39,16
4,17,533.37,16
4,18,539.6,16
4,19,544.94,16
4,20,547.11,16
4,21,553.42,16
4,22,558.09,16
4,23,562.06,16
4,24,566.02,16
4,25,572.14,16
4,26,575.51,16
4,27,576.94,16
4,28,578.09,16
4,29,580.41,16
4,30,585.6,16
5,1,589.5,16
5,2,592.56,16
5,3,596.61,16
5,4,603.01,16
5,5,606.66,16
5,6,609.81,16
5,7,613.24,16
5,8,618.58,16
5,9,624.94,16
5,10,630.59,16
5,11,635.73,16
5,12,638.46,16
5,13,641.0,16
5,14,642.0,16
5,15,643.02,16
5,16,644.63,16
5,17,645.54,16
5,18,646.71,16
5,19,648.11,16
5,20,649.15,16
5,21,651.72,16
5,22,654.04,16
5,23,654.26,16
5,24,655.59,16
5,25,656.71,16
5,26,658.54,16
5,27,659.39,16
5,28,662.82,16
5,29,666.17,16
5,30,667.48,16
5,31,668.76,16
6,1,670.46,16
6,2,670.84,16
6,3,672.24,16
6,4,672.98,16
6,5,673.66,16
6,6,676.61,16
6,7,678.76,16
6,8,682.01,16
6,9,685.12,16
6,10,687.56,16
6,11,688.62,16
6,12,689.84,16
6,13,691.31,16
6,14,692.8,16
6,15,694.74,16
6,16,696.39,16
6,17,698.34,16
6,18,700.02,16
6,19,701.38,16
6,20,702.84,16
6,21,703.92,16
6,22,704.72,16
6,23,706.57,16
6,24,707.49,16
6,25,708.11,16
6,26,708.54,16
6,27,708.82,16
6,28,711.12,16
6,29,711.37,16
6,30,712.44,16
7,1,713.26,16
7,2,713.74,16
7,3,714.2,16
7,4,714.44,16
7,5,715.2,16
7,6,716.01,16
7,7,716.36,16
7,8,717.61,16
7,9,718.12,16
7,10,718.23,16
7,11,718.36,16
7,12,718.42,16
7,13,718.67,16
7,14,719.2,16
7,15,720.34,16
7,16,720.35,16
7,17,720.37,16
7,18,720.74,16
7,19,722.91,16
7,20,723.63,16
7,21,723.64,16
7,22,723.64,16
7,23,723.83,16
7,24,724.07,16
7,25,724.87,16
7,26,724.91,16
7,27,725.31,16
7,28,726.16,16
7,29,726.41,16
7,30,726.54,16
7,31,726.64,16
8,1,727.37,16
8,2,728.26,16
8,3,728.29,16
8,4,728.52,16
8,5,728.57,16
8,6,729.13,16
8,7,729.94,16
8,8,731.53,16
8,9,732.41,16
8,10,732.51,16
8,11,732.54,16
8,12,732.98,16
8,13,733.28,16
8,14,733.69,16
8,15,734.73,16
8,16,735.31,16
8,17,735.79,16
8,18,736.03,16
8,19,736.22,16
8,20,736.77,16
8,21,737.02,16
8,22,737.25,16
8,23,738.12,16
8,24,738.66,16
8,25,738.99,16
8,26,739.27,16
8,27,739.51,16
8,28,739.62,16
8,29,740.54,16
8,30,740.97,16
8,31,741.37,16
9,1,742.24,16
9,2,743.58,16
9,3,744.02,16
9,4,745.24,16
9,5,747.02,16
9,6,747.69,16
9,7,751.11,16
9,8,752.12,16
9,9,754.71,16
9,10,755.56,16
9,11,755.84,16
9,12,757.21,16
9,13,764.22,16
9,14,766.82,16
9,15,773.24,16
9,16,777.15,16
9,17,780.29,16
9,18,781.36,16
9,19,783.21,16
9,20,784.54,16
9,21,787.72,16
9,22,789.36,16
9,23,792.6,16
9,24,795.34,16
9,25,798.45,16
9,26,800.52,16
9,27,803.22,16
9,28,808.56,16
9,29,809.34,16
9,30,810.32,16
10,1,812.5,16
10,2,815.47,16
10,3,821.26,16
10,4,823.79,16
10,5,827.39,16
10,6,833.8,16
10,7,835.13,16
10,8,842.51,16
10,9,844.36,16
10,10,845.43,16
10,11,849.58,16
10,12,851.46,16
10,13,856.06,16
10,14,859.53,16
10,15,865.35,16
10,16,873.9,16
10,17,884.65,16
10,18,891.96,16
10,19,905.31,16
10,20,910.27,16
10,21,913.88,16
10,22,919.55,16
10,23,928.28,16
10,24,937.88,16
10,25,944.66,16
10,26,953.14,16
10,27,959.34,16
10,28,967.04,16
10,29,976.7,16
10,30,982.46,16
10,31,993.14,16
11,1,998.06,16
11,2,1008.2,16
11,3,1017.35,16
11,4,1024.97,16
11,5,1033.39,16
11,6,1037.64,16
11,7,1043.23,16
11,8,1052.86,16
11,9,1058.8,16
11,10,1063.95,16
11,11,1070.05,16
11,12,1073.17,16
11,13,1081.52,16
11,14,1089.99,16
11,15,1101.34,16
11,16,1107.71,16
11,17,1109.58,16
11,18,1111.37,16
11,19,1116.34,16
11,20,1123.19,16
11,21,1130.41,16
11,22,1136.14,16
11,23,1140.23,16
11,24,1149.55,16
11,25,1154.5,16
11,26,1156.18,16
11,27,1157.44,16
11,28,1160.22,16
11,29,1165.09,16
11,30,1169.34,16
12,1,1171.81,16
12,2,1174.41,16
12,3,1176.85,16
12,4,1179.77,16
12,5,1185.29,16
12,6,1190.94,16
12,7,1199.4,16
12,8,1203.92,16
12,9,1207.49,16
12,10,1214.75,16
12,11,1219.07,16
12,12,1226.94,16
12,13,1237.26,16
12,14,1247.74,16
12,15,1257.02,16
12,16,1266.19,16
12,17,1266.98,16
12,18,1275.42,16
12,19,1284.83,16
12,20,1293.25,16
12,21,1299.26,16
12,22,1302.07,16
12,23,1304.67,16
12,24,1311.64,16
12,25,1316.51,16
12,26,1320.06,16
12,27,1323.52,16
12,28,1328.56,16
12,29,1333.99,16
12,30,1337.34,16
12,31,1341.99,16
