month,day,avg_daytime_temperature,years_sampled
1,1,4.8,16
1,2,3.2,16
1,3,3.52,16
1,4,3.36,16
1,5,2.73,16
1,6,2.37,16
1,7,1.89,16
1,8,2.01,16
1,9,2.86,16
1,10,2.64,16
1,11,0.38,16
1,12,2.12,16
1,13,2.38,16
1,14,2.42,16
1,15,2.2,16
1,16,1.71,16
1,17,1.49,16
1,18,0.77,16
1,19,-0.05,16
1,20,0.48,16
1,21,-1.06,16
1,22,-0.55,16
1,23,-0.19,16
1,24,0.94,16
1,25,1.08,16
1,26,0.54,16
1,27,1.08,16
1,28,2.19,16
1,29,1.76,16
1,30,2.29,16
1,31,2.09,16
2,1,2.43,16
2,2,2.05,16
2,3,2.67,16
2,4,2.04,16
2,5,2.03,16
2,6,1.79,16
2,7,0.66,16
2,8,1.12,16
2,9,1.92,16
2,10,2.12,16
2,11,2.17,16
2,12,1.17,16
2,13,2.16,16
2,14,2.05,16
2,15,2.89,16
2,16,4.13,16
2,17,4.84,16
2,18,4.75,16
2,19,4.59,16
2,20,4.48,16
2,21,4.97,16
2,22,4.78,16
2,23,4.17,16
2,24,4.79,16
2,25,4.52,16
2,26,3.76,16
2,27,3.94,16
2,28,3.9,16
2,29,6.09,4
3,1,4.44,16
3,2,4.99,16
3,3,4.92,16
3,4,5.57,16
3,5,4.95,16
3,6,4.62,16
3,7,4.85,16
3,8,5.6,16
3,9,6.23,16
3,10,7.18,16
3,11,6.52,16
3,12,6.46,16
3,13,6.92,16
3,14,6.77,16
3,15,6.82,16
3,16,7.57,16
3,17,8.3,16
3,18,7.19,16
3,19,6.59,16
3,20,8.12,16
3,21,8.92,16
3,22,8.44,16
3,23,7.98,16
3,24,8.2,16
3,25,8.41,16
3,26,8.26,16
3,27,8.65,16
3,28,9.33,16
3,29,10.11,16
3,30,10.62,16
3,31,10.22,16
4,1,9.19,16
4,2,8.95,16
4,3,9.98,16
4,4,10.42,16
4,5,10.29,16
4,6,9.61,16
4,7,10.88,16
4,8,10.79,16
4,9,11.31,16
4,10,10.98,16
4,11,11.35,16
4,12,11.8,16
4,13,12.06,16
4,14,11.06,16
4,15,11.52,16
4,16,11.57,16
4,17,11.55,16
4,18,11.45,16
4,19,11.73,16
4,20,11.61,16
4,21,12.88,16
4,22,12.41,16
4,23,13.04,16
4,24,13.26,16
4,25,12.87,16
4,26,12.95,16
4,27,13.11,16
4,28,13.48,16
4,29,14.73,16
4,30,15.7,16
5,1,15.14,16
5,2,15.05,16
5,3,13.06,16
5,4,13.37,16
5,5,13.27,16
5,6,13.99,16
5,7,14.07,16
5,8,14.97,16
5,9,16.08,16
5,10,17.12,16
5,11,17.37,16
5,12,15.7,16
5,13,14.79,16
5,14,14.64,16
5,15,13.84,16
5,16,14.28,16
5,17,14.38,16
5,18,15.41,16
5,19,16.96,16
5,20,17.04,16
5,21,18.06,16
5,22,17.99,16
5,23,17.77,16
5,24,17.07,16
5,25,16.37,16
5,26,17.0,16
5,27,17.42,16
5,28,16.94,16
5,29,17.25,16
5,30,17.22,16
5,31,17.95,16
6,1,17.95,16
6,2,18.01,16
6,3,18.89,16
6,4,19.49,16
6,5,19.77,16
6,6,19.83,16
6,7,19.69,16
6,8,20.24,16
6,9,19.36,16
6,10,19.78,16
6,11,20.54,16
6,12,20.6,16
6,13,18.82,16
6,14,18.76,16
6,15,20.42,16
6,16,20.28,16
6,17,20.39,16
6,18,22.01,16
6,19,21.77,16
6,20,21.28,16
6,21,21.14,16
6,22,20.98,16
6,23,20.54,16
6,24,20.11,16
6,25,20.03,16
6,26,20.97,16
6,27,21.18,16
6,28,21.2,16
6,29,22.17,16
6,30,21.79,16
7,1,21.53,16
7,2,21.11,16
7,3,20.84,16
7,4,21.87,16
7,5,22.93,16
7,6,22.81,16
7,7,21.43,16
7,8,21.25,16
7,9,21.6,16
7,10,22.21,16
7,11,21.35,16
7,12,21.06,16
7,13,21.3,16
7,14,21.24,16
7,15,21.33,16
7,16,21.41,16
7,17,21.97,16
7,18,22.28,16
7,19,23.57,16
7,20,23.56,16
7,21,23.18,16
7,22,23.52,16
7,23,23.34,16
7,24,22.94,16
7,25,22.88,16
7,26,22.82,16
7,27,23.11,16
7,28,23.32,16
7,29,22.49,16
7,30,21.94,16
7,31,22.47,16
8,1,22.92,16
8,2,22.86,16
8,3,22.67,16
8,4,22.64,16
8,5,22.09,16
8,6,21.85,16
8,7,22.59,16
8,8,23.29,16
8,9,22.36,16
8,10,21.89,16
8,11,21.78,16
8,12,21.96,16
8,13,23.06,16
8,14,23.18,16
8,15,23.18,16
8,16,21.91,16
8,17,21.49,16
8,18,22.25,16
8,19,21.54,16
