calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,43.27,26.35,60.0,122.74,94.23,152.02,0.68,-4.7,5.95,81.95,72.0,92.0,-22.2,15.9
2,2,Feb,33.44,7.55,55.45,164.91,123.87,189.2,1.51,-5.0,7.09,77.51,65.0,89.0,-19.6,15.4
3,3,Mar,32.87,18.45,46.15,244.95,199.95,279.61,5.23,0.1,9.9,71.72,58.5,84.0,-12.3,22.5
4,4,Apr,39.24,18.3,60.5,295.46,245.62,343.64,9.92,4.5,15.11,66.36,53.0,81.0,-4.8,28.2
5,5,May,69.92,32.8,117.65,328.56,257.92,372.58,14.32,9.9,18.8,66.38,52.0,82.0,-0.6,31.5
6,6,Jun,76.22,38.0,134.7,364.53,321.98,400.35,19.11,15.19,23.5,65.2,50.0,80.0,5.5,38.1
7,7,Jul,74.01,31.7,114.45,381.39,362.14,412.52,20.74,16.7,25.0,62.98,45.0,78.0,8.6,36.1
8,8,Aug,83.22,42.4,116.25,334.21,305.59,363.84,20.35,16.1,25.05,66.4,51.0,82.0,8.1,36.8
9,9,Sep,61.38,23.35,97.0,263.43,225.53,291.13,15.75,11.09,20.01,72.53,62.0,83.1,2.3,33.2
10,10,Oct,47.88,25.1,68.5,197.95,161.1,226.21,10.57,6.5,14.6,79.32,68.0,89.0,-7.2,28.4
11,11,Nov,40.0,15.85,61.6,126.13,101.7,154.06,5.32,0.49,9.81,84.85,76.0,93.0,-8.7,18.5
12,12,Dec,43.69,17.05,74.1,119.63,90.21,148.14,2.14,-2.55,7.1,84.06,74.5,93.0,-19.9,16.5
