month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.0,1
1,10,0.0,1
1,11,0.0,1
1,12,0.0,1
1,13,0.0,1
1,14,0.0,1
1,15,0.0,1
1,16,0.0,1
1,17,0.0,1
1,18,0.0,1
1,19,0.1,1
1,20,0.2,1
1,21,0.2,1
1,22,0.2,1
1,23,0.2,1
1,24,0.2,1
1,25,0.4,1
1,26,0.4,1
1,27,0.4,1
1,28,0.4,1
1,29,0.5,1
1,30,0.5,1
1,31,0.9,1
2,1,0.9,1
2,2,0.9,1
2,3,0.9,1
2,4,0.9,1
2,5,0.9,1
2,6,1.0,1
2,7,1.5,1
2,8,2.7,1
2,9,2.7,1
2,10,2.7,1
2,11,2.7,1
2,12,2.9,1
2,13,2.9,1
2,14,2.9,1
2,15,2.9,1
2,16,2.9,1
2,17,3.2,1
2,18,3.2,1
2,19,3.2,1
2,20,3.2,1
2,21,3.2,1
2,22,3.2,1
2,23,3.2,1
2,24,3.2,1
2,25,3.2,1
2,26,3.2,1
2,27,3.2,1
2,28,3.2,1
3,1,3.2,1
3,2,3.8,1
3,3,14.1,1
3,4,14.7,1
3,5,16.2,1
3,6,19.1,1
3,7,23.2,1
3,8,23.4,1
3,9,23.4,1
3,10,26.2,1
3,11,29.6,1
3,12,32.4,1
3,13,33.8,1
3,14,34.6,1
3,15,34.6,1
3,16,34.6,1
3,17,34.6,1
3,18,38.4,1
3,19,46.5,1
3,20,62.9,1
3,21,70.5,1
3,22,91.9,1
3,23,100.7,1
3,24,104.1,1
3,25,106.2,1
3,26,113.2,1
3,27,129.5,1
3,28,134.5,1
3,29,142.8,1
3,30,142.8,1
3,31,143.6,1
4,1,143.8,1
4,2,144.1,1
4,3,145.3,1
4,4,145.6,1
4,5,145.7,1
4,6,145.7,1
4,7,146.5,1
4,8,157.1,1
4,9,168.4,1
4,10,168.5,1
4,11,168.5,1
4,12,170.6,1
4,13,171.1,1
4,14,171.2,1
4,15,173.0,1
4,16,178.8,1
4,17,184.0,1
4,18,184.1,1
4,19,187.7,1
4,20,187.9,1
4,21,188.0,1
4,22,188.4,1
4,23,200.8,1
4,24,202.0,1
4,25,202.0,1
4,26,202.4,1
4,27,202.9,1
4,28,203.9,1
4,29,206.8,1
4,30,208.1,1
5,1,208.1,1
5,2,209.4,1
5,3,216.3,1
5,4,225.3,1
5,5,225.3,1
5,6,225.3,1
5,7,225.3,1
5,8,225.3,1
5,9,225.3,1
5,10,234.2,1
5,11,234.3,1
5,12,234.3,1
5,13,234.3,1
5,14,234.7,1
5,15,234.9,1
5,16,234.9,1
5,17,235.0,1
5,18,235.0,1
5,19,235.0,1
5,20,235.0,1
5,21,235.0,1
5,22,235.0,1
5,23,235.0,1
5,24,235.0,1
5,25,235.0,1
5,26,235.4,1
5,27,239.7,1
5,28,240.9,1
5,29,255.5,1
5,30,272.3,1
5,31,278.7,1
6,1,279.5,1
6,2,280.1,1
6,3,280.5,1
6,4,280.6,1
6,5,280.6,1
6,6,280.6,1
6,7,280.6,1
6,8,280.6,1
6,9,280.7,1
6,10,281.4,1
6,11,281.5,1
6,12,281.5,1
6,13,281.5,1
6,14,283.0,1
6,15,283.2,1
6,16,283.5,1
6,17,284.2,1
6,18,285.4,1
6,19,286.9,1
6,20,288.9,1
6,21,288.9,1
6,22,288.9,1
6,23,290.5,1
6,24,298.5,1
6,25,301.2,1
6,26,312.2,1
6,27,317.8,1
6,28,320.4,1
6,29,325.3,1
6,30,327.2,1
7,1,329.1,1
7,2,331.7,1
7,3,334.5,1
7,4,335.2,1
7,5,335.8,1
7,6,337.1,1
7,7,341.2,1
7,8,352.6,1
7,9,360.0,1
7,10,360.4,1
7,11,361.2,1
7,12,362.5,1
7,13,364.7,1
7,14,366.5,1
7,15,375.6,1
7,16,380.5,1
7,17,385.9,1
7,18,391.3,1
7,19,397.0,1
7,20,398.7,1
7,21,400.8,1
7,22,405.2,1
7,23,417.6,1
7,24,430.8,1
7,25,445.2,1
7,26,449.5,1
7,27,455.9,1
7,28,463.3,1
7,29,476.5,1
7,30,479.9,1
7,31,488.9,1
8,1,499.6,1
8,2,518.3,1
8,3,525.0,1
8,4,529.1,1
8,5,541.5,1
8,6,549.3,1
8,7,558.3,1
8,8,573.1,1
8,9,580.3,1
8,10,596.4,1
8,11,605.2,1
8,12,617.9,1
8,13,629.8,1
8,14,638.3,1
8,15,654.4,1
8,16,671.2,1
8,17,677.2,1
8,18,685.5,1
8,19,699.2,1
8,20,713.1,1
8,21,718.8,1
8,22,725.8,1
8,23,730.6,1
8,24,740.4,1
8,25,745.7,1
8,26,751.0,1
8,27,752.3,1
8,28,753.5,1
8,29,763.2,1
8,30,779.1,1
8,31,785.6,1
9,1,790.2,1
9,2,802.3,1
9,3,809.1,1
9,4,821.9,1
9,5,830.6,1
9,6,831.7,1
9,7,841.8,1
9,8,852.8,1
9,9,861.2,1
9,10,865.0,1
9,11,870.6,1
9,12,884.7,1
9,13,884.7,1
9,14,889.8,1
9,15,895.7,1
9,16,907.5,1
