month,day,avg_accumulated_precipitation,years_sampled
1,1,10.2,1
1,2,17.0,1
1,3,25.8,1
1,4,32.7,1
1,5,34.1,1
1,6,34.3,1
1,7,43.4,1
1,8,44.6,1
1,9,58.5,1
1,10,59.5,1
1,11,59.5,1
1,12,63.4,1
1,13,65.4,1
1,14,70.9,1
1,15,73.1,1
1,16,74.7,1
1,17,75.2,1
1,18,75.2,1
1,19,75.5,1
1,20,75.5,1
1,21,77.2,1
1,22,77.2,1
1,23,77.2,1
1,24,77.2,1
1,25,77.2,1
1,26,77.2,1
1,27,82.4,1
1,28,82.7,1
1,29,86.3,1
1,30,86.3,1
1,31,87.3,1
2,1,87.5,1
2,2,87.5,1
2,3,87.7,1
2,4,88.1,1
2,5,88.1,1
2,6,90.1,1
2,7,90.1,1
2,8,90.1,1
2,9,90.1,1
2,10,92.0,1
2,11,100.4,1
2,12,103.9,1
2,13,104.1,1
2,14,104.1,1
2,15,107.1,1
2,16,111.3,1
2,17,112.7,1
2,18,112.7,1
2,19,114.1,1
2,20,116.9,1
2,21,120.8,1
2,22,130.4,1
2,23,132.4,1
2,24,139.6,1
2,25,139.6,1
2,26,139.6,1
2,27,145.4,1
2,28,151.6,1
3,1,154.9,1
3,2,154.9,1
3,3,154.9,1
3,4,154.9,1
3,5,154.9,1
3,6,154.9,1
3,7,155.0,1
3,8,155.0,1
3,9,155.0,1
3,10,155.4,1
3,11,161.3,1
3,12,161.3,1
3,13,172.4,1
3,14,174.5,1
3,15,174.5,1
3,16,183.3,1
3,17,183.8,1
3,18,183.8,1
3,19,183.8,1
3,20,183.8,1
3,21,183.8,1
3,22,183.8,1
3,23,183.8,1
3,24,183.8,1
3,25,199.6,1
3,26,204.3,1
3,27,205.2,1
3,28,216.3,1
3,29,220.1,1
3,30,225.2,1
3,31,225.8,1
4,1,225.8,1
4,2,226.5,1
4,3,226.7,1
4,4,227.0,1
4,5,228.1,1
4,6,228.1,1
4,7,228.1,1
4,8,228.1,1
4,9,229.6,1
4,10,230.1,1
4,11,231.7,1
4,12,232.2,1
4,13,232.4,1
4,14,232.4,1
4,15,233.9,1
4,16,233.9,1
4,17,234.0,1
4,18,234.0,1
4,19,235.5,1
4,20,237.0,1
4,21,237.3,1
4,22,237.3,1
4,23,237.3,1
4,24,237.3,1
4,25,237.3,1
4,26,237.3,1
4,27,237.3,1
4,28,237.4,1
4,29,237.4,1
4,30,237.4,1
5,1,237.4,1
5,2,237.8,1
5,3,241.9,1
5,4,245.3,1
5,5,245.6,1
5,6,245.7,1
5,7,246.0,1
5,8,246.0,1
5,9,246.0,1
5,10,246.0,1
5,11,248.4,1
5,12,249.5,1
5,13,252.3,1
5,14,256.7,1
5,15,260.0,1
5,16,261.1,1
5,17,274.9,1
5,18,280.7,1
5,19,285.7,1
5,20,288.1,1
5,21,288.1,1
5,22,288.1,1
5,23,288.1,1
5,24,288.1,1
5,25,288.1,1
5,26,288.1,1
5,27,303.0,1
5,28,303.0,1
5,29,307.6,1
5,30,307.6,1
5,31,308.3,1
6,1,308.3,1
6,2,318.6,1
6,3,334.6,1
6,4,343.1,1
6,5,348.7,1
6,6,351.6,1
6,7,358.9,1
6,8,368.0,1
6,9,375.3,1
6,10,378.4,1
6,11,384.1,1
6,12,391.0,1
6,13,393.2,1
6,14,394.9,1
6,15,395.6,1
6,16,395.6,1
6,17,396.3,1
6,18,400.7,1
6,19,408.7,1
6,20,414.4,1
6,21,415.5,1
6,22,415.5,1
6,23,415.5,1
6,24,415.5,1
6,25,415.5,1
6,26,415.5,1
6,27,420.0,1
6,28,421.7,1
6,29,421.7,1
6,30,421.8,1
7,1,422.0,1
7,2,424.7,1
7,3,424.7,1
7,4,426.2,1
7,5,428.0,1
7,6,428.0,1
7,7,428.0,1
7,8,428.6,1
7,9,428.6,1
7,10,428.6,1
7,11,428.6,1
7,12,428.6,1
7,13,428.6,1
7,14,428.7,1
7,15,428.7,1
7,16,428.7,1
7,17,429.3,1
7,18,429.9,1
7,19,430.2,1
7,20,430.4,1
7,21,430.5,1
7,22,432.0,1
7,23,432.2,1
7,24,432.5,1
7,25,432.5,1
7,26,441.4,1
7,27,445.6,1
7,28,445.6,1
7,29,445.6,1
7,30,445.6,1
7,31,446.7,1
8,1,447.0,1
8,2,447.0,1
8,3,447.0,1
8,4,447.7,1
8,5,447.7,1
8,6,447.9,1
8,7,449.3,1
8,8,449.3,1
8,9,449.3,1
8,10,449.4,1
8,11,449.4,1
8,12,449.4,1
8,13,449.4,1
8,14,449.4,1
8,15,455.8,1
8,16,456.1,1
8,17,461.7,1
8,18,471.4,1
8,19,477.8,1
8,20,488.1,1
8,21,491.7,1
8,22,493.5,1
8,23,494.4,1
8,24,494.4,1
8,25,494.4,1
8,26,494.4,1
8,27,498.6,1
8,28,505.2,1
8,29,521.3,1
8,30,530.7,1
8,31,542.5,1
9,1,543.5,1
9,2,545.4,1
9,3,553.0,1
9,4,559.6,1
9,5,561.5,1
9,6,561.5,1
9,7,561.5,1
9,8,588.7,1
9,9,600.4,1
9,10,600.8,1
9,11,606.7,1
9,12,612.3,1
9,13,618.0,1
9,14,618.8,1
9,15,619.0,1
9,16,625.0,1
9,17,632.0,1
9,18,632.7,1
9,19,635.7,1
9,20,636.2,1
9,21,636.2,1
9,22,636.2,1
