month,day,avg_accumulated_precipitation,years_sampled
1,1,0.9,1
1,2,1.2,1
1,3,1.8,1
1,4,2.0,1
1,5,2.5,1
1,6,9.7,1
1,7,9.7,1
1,8,10.3,1
1,9,14.3,1
1,10,17.5,1
1,11,17.6,1
1,12,17.6,1
1,13,17.8,1
1,14,24.1,1
1,15,24.6,1
1,16,26.0,1
1,17,26.0,1
1,18,26.4,1
1,19,28.8,1
1,20,29.5,1
1,21,32.4,1
1,22,34.1,1
1,23,34.6,1
1,24,35.1,1
1,25,44.1,1
1,26,44.9,1
1,27,45.4,1
1,28,46.5,1
1,29,46.5,1
1,30,46.5,1
1,31,46.7,1
2,1,46.7,1
2,2,47.9,1
2,3,48.0,1
2,4,48.0,1
2,5,49.2,1
2,6,51.8,1
2,7,51.8,1
2,8,51.8,1
2,9,51.8,1
2,10,51.8,1
2,11,51.8,1
2,12,51.8,1
2,13,51.8,1
2,14,51.8,1
2,15,52.6,1
2,16,52.6,1
2,17,52.6,1
2,18,57.0,1
2,19,61.8,1
2,20,65.2,1
2,21,65.4,1
2,22,69.1,1
2,23,69.4,1
2,24,70.0,1
2,25,70.8,1
2,26,70.8,1
2,27,70.8,1
2,28,73.6,1
3,1,74.0,1
3,2,74.0,1
3,3,74.0,1
3,4,74.0,1
3,5,89.3,1
3,6,93.3,1
3,7,103.6,1
3,8,103.6,1
3,9,103.6,1
3,10,107.6,1
3,11,116.2,1
3,12,116.7,1
3,13,120.7,1
3,14,120.8,1
3,15,122.1,1
3,16,127.8,1
3,17,128.0,1
3,18,128.3,1
3,19,130.2,1
3,20,131.9,1
3,21,131.9,1
3,22,135.5,1
3,23,135.6,1
3,24,135.6,1
3,25,135.6,1
3,26,143.5,1
3,27,143.9,1
3,28,143.9,1
3,29,143.9,1
3,30,144.1,1
3,31,148.2,1
4,1,149.4,1
4,2,157.7,1
4,3,164.2,1
4,4,179.2,1
4,5,179.3,1
4,6,183.3,1
4,7,183.3,1
4,8,183.3,1
4,9,185.9,1
4,10,191.0,1
4,11,191.0,1
4,12,198.8,1
4,13,204.7,1
4,14,207.9,1
4,15,213.6,1
4,16,224.5,1
4,17,224.7,1
4,18,234.7,1
4,19,235.9,1
4,20,235.9,1
4,21,239.5,1
4,22,239.5,1
4,23,239.8,1
4,24,250.0,1
4,25,250.5,1
4,26,250.5,1
4,27,252.8,1
4,28,260.3,1
4,29,268.4,1
4,30,270.4,1
5,1,273.4,1
5,2,273.5,1
5,3,275.1,1
5,4,278.8,1
5,5,280.7,1
5,6,280.7,1
5,7,280.9,1
5,8,281.0,1
5,9,282.3,1
5,10,282.3,1
5,11,282.3,1
5,12,285.4,1
5,13,287.2,1
5,14,287.2,1
5,15,287.2,1
5,16,288.7,1
5,17,289.0,1
5,18,292.2,1
5,19,296.4,1
5,20,296.8,1
5,21,296.8,1
5,22,296.8,1
5,23,304.2,1
5,24,308.3,1
5,25,308.3,1
5,26,308.3,1
5,27,308.7,1
5,28,308.7,1
5,29,308.7,1
5,30,308.7,1
5,31,308.7,1
6,1,308.8,1
6,2,308.8,1
6,3,308.8,1
6,4,308.8,1
6,5,312.9,1
6,6,315.8,1
6,7,315.8,1
6,8,315.8,1
6,9,322.3,1
6,10,329.4,1
6,11,331.2,1
6,12,337.7,1
6,13,337.7,1
6,14,352.3,1
6,15,352.3,1
6,16,353.6,1
6,17,356.7,1
6,18,358.1,1
6,19,358.1,1
6,20,358.3,1
6,21,364.9,1
6,22,376.5,1
6,23,376.5,1
6,24,376.5,1
6,25,394.3,1
6,26,394.5,1
6,27,394.5,1
6,28,394.5,1
6,29,394.5,1
6,30,394.8,1
7,1,395.8,1
7,2,396.0,1
7,3,399.9,1
7,4,408.3,1
7,5,438.2,1
7,6,442.2,1
7,7,442.2,1
7,8,442.2,1
7,9,443.4,1
7,10,446.1,1
7,11,446.3,1
7,12,446.3,1
7,13,446.3,1
7,14,446.3,1
7,15,447.5,1
7,16,447.5,1
7,17,448.5,1
7,18,451.5,1
7,19,451.5,1
7,20,451.5,1
7,21,460.5,1
7,22,460.6,1
7,23,460.6,1
7,24,460.6,1
7,25,460.6,1
7,26,462.3,1
7,27,465.5,1
7,28,478.4,1
7,29,478.4,1
7,30,478.4,1
7,31,479.8,1
8,1,485.1,1
8,2,495.8,1
8,3,495.8,1
8,4,495.8,1
8,5,496.7,1
8,6,498.9,1
8,7,501.1,1
8,8,511.0,1
8,9,513.7,1
8,10,514.6,1
8,11,517.5,1
8,12,523.8,1
8,13,525.3,1
8,14,527.8,1
8,15,528.5,1
8,16,541.8,1
8,17,541.8,1
8,18,541.8,1
8,19,545.5,1
8,20,546.4,1
8,21,546.9,1
8,22,551.9,1
8,23,552.5,1
8,24,552.5,1
8,25,552.5,1
8,26,553.8,1
8,27,553.9,1
8,28,553.9,1
8,29,553.9,1
8,30,561.1,1
8,31,563.7,1
9,1,563.7,1
9,2,567.4,1
9,3,586.1,1
9,4,594.5,1
9,5,597.6,1
9,6,597.6,1
9,7,597.6,1
9,8,597.6,1
9,9,616.0,1
9,10,616.0,1
9,11,616.0,1
9,12,616.7,1
9,13,616.7,1
9,14,616.7,1
9,15,618.8,1
9,16,620.4,1
9,17,629.3,1
9,18,629.3,1
9,19,639.6,1
9,20,650.5,1
9,21,650.5,1
9,22,650.5,1
