month,day,avg_daytime_temperature,years_sampled
1,1,-8.8,1
1,2,-7.18,1
1,3,-6.29,1
1,4,-4.13,1
1,5,0.54,1
1,6,2.19,1
1,7,3.3,1
1,8,6.12,1
1,9,8.22,1
1,10,2.14,1
1,11,-1.37,1
1,12,0.47,1
1,13,3.93,1
1,14,-2.58,1
1,15,-10.3,1
1,16,-4.54,1
1,17,-6.36,1
1,18,-9.52,1
1,19,-10.37,1
1,20,-13.03,1
1,21,-3.59,1
1,22,-6.9,1
1,23,-18.15,1
1,24,-18.39,1
1,25,-11.45,1
1,26,-10.85,1
1,27,-10.93,1
1,28,-11.38,1
1,29,-12.27,1
1,30,-13.32,1
1,31,-10.52,1
2,1,-10.2,1
2,2,-7.44,1
2,3,-4.16,1
2,4,-8.85,1
2,5,-7.96,1
2,6,-2.33,1
2,7,-10.19,1
2,8,-10.88,1
2,9,-7.92,1
2,10,2.85,1
2,11,-2.14,1
2,12,-3.99,1
2,13,-2.05,1
2,14,2.35,1
2,15,2.68,1
2,16,3.58,1
2,17,5.21,1
2,18,11.67,1
2,19,3.61,1
2,20,2.24,1
2,21,0.64,1
2,22,-1.77,1
2,23,-4.15,1
2,24,-3.17,1
2,25,-0.26,1
2,26,-2.05,1
2,27,8.2,1
2,28,3.89,1
3,1,-4.35,1
3,2,-2.15,1
3,3,1.7,1
3,4,4.66,1
3,5,4.57,1
3,6,7.08,1
3,7,16.49,1
3,8,9.24,1
3,9,15.69,1
3,10,18.03,1
3,11,10.52,1
3,12,2.78,1
3,13,4.23,1
3,14,1.25,1
3,15,11.27,1
3,16,0.28,1
3,17,-5.28,1
3,18,-2.33,1
3,19,6.37,1
3,20,15.97,1
3,21,4.45,1
3,22,9.51,1
3,23,0.94,1
3,24,3.01,1
3,25,10.25,1
3,26,14.53,1
3,27,0.52,1
3,28,1.56,1
3,29,9.33,1
3,30,18.12,1
3,31,19.24,1
4,1,3.34,1
4,2,8.13,1
4,3,17.02,1
4,4,12.43,1
4,5,4.66,1
4,6,6.94,1
4,7,0.05,1
4,8,7.48,1
4,9,16.89,1
4,10,8.97,1
4,11,9.14,1
4,12,16.42,1
4,13,21.31,1
4,14,21.84,1
4,15,19.55,1
4,16,17.39,1
4,17,16.54,1
4,18,12.25,1
4,19,6.3,1
4,20,3.93,1
4,21,14.56,1
4,22,19.01,1
4,23,19.73,1
4,24,20.19,1
4,25,12.0,1
4,26,12.49,1
4,27,14.61,1
4,28,15.52,1
4,29,9.7,1
4,30,8.83,1
5,1,7.26,1
5,2,6.09,1
5,3,12.14,1
5,4,17.84,1
5,5,12.51,1
5,6,9.83,1
5,7,10.04,1
5,8,13.43,1
5,9,16.54,1
5,10,11.82,1
5,11,10.9,1
5,12,12.61,1
5,13,8.86,1
5,14,13.81,1
5,15,15.75,1
5,16,20.08,1
5,17,24.41,1
5,18,24.59,1
5,19,24.46,1
5,20,14.61,1
5,21,13.64,1
5,22,15.52,1
5,23,13.25,1
5,24,17.47,1
5,25,20.17,1
5,26,22.54,1
5,27,22.99,1
5,28,19.07,1
5,29,21.07,1
5,30,18.07,1
5,31,20.08,1
6,1,21.51,1
6,2,21.37,1
6,3,23.21,1
6,4,24.81,1
6,5,24.37,1
6,6,23.62,1
6,7,22.67,1
6,8,25.29,1
6,9,24.81,1
6,10,26.66,1
6,11,25.96,1
6,12,21.88,1
6,13,25.04,1
6,14,18.99,1
6,15,17.96,1
6,16,20.73,1
6,17,18.26,1
6,18,18.49,1
6,19,19.86,1
6,20,19.79,1
6,21,20.19,1
6,22,19.23,1
6,23,19.78,1
6,24,19.96,1
6,25,21.33,1
6,26,20.7,1
6,27,22.45,1
6,28,24.84,1
6,29,28.34,1
6,30,30.67,1
7,1,31.85,1
7,2,31.55,1
7,3,28.78,1
7,4,25.23,1
7,5,22.16,1
7,6,22.71,1
7,7,26.28,1
7,8,27.28,1
7,9,26.96,1
7,10,25.35,1
7,11,26.09,1
7,12,26.93,1
7,13,28.51,1
7,14,31.15,1
7,15,30.74,1
7,16,26.69,1
7,17,26.29,1
7,18,27.81,1
7,19,22.87,1
7,20,23.95,1
7,21,25.2,1
7,22,19.08,1
7,23,21.17,1
7,24,22.5,1
7,25,24.24,1
7,26,26.38,1
7,27,24.86,1
7,28,23.56,1
7,29,23.79,1
7,30,27.0,1
7,31,27.69,1
8,1,22.96,1
8,2,22.63,1
8,3,23.6,1
8,4,25.81,1
8,5,26.94,1
8,6,25.45,1
8,7,26.39,1
8,8,27.14,1
8,9,25.71,1
8,10,24.76,1
8,11,23.34,1
8,12,21.98,1
8,13,24.46,1
8,14,25.24,1
8,15,22.68,1
8,16,24.18,1
8,17,23.56,1
8,18,23.59,1
8,19,23.31,1
8,20,23.14,1
8,21,23.3,1
8,22,20.33,1
8,23,19.37,1
8,24,19.46,1
8,25,22.09,1
8,26,22.59,1
8,27,24.1,1
8,28,22.1,1
8,29,23.97,1
8,30,22.04,1
8,31,25.5,1
9,1,28.26,1
9,2,29.61,1
9,3,25.68,1
9,4,22.3,1
9,5,22.61,1
9,6,21.88,1
9,7,22.42,1
9,8,24.05,1
9,9,22.78,1
9,10,23.05,1
9,11,21.59,1
9,12,24.33,1
9,13,22.6,1
9,14,17.74,1
9,15,22.02,1
9,16,21.68,1
9,17,20.03,1
9,18,20.27,1
9,19,16.34,1
9,20,15.8,1
9,21,15.14,1
9,22,15.16,1
9,23,15.04,1
9,24,17.38,1
9,25,16.38,1
9,26,17.62,1
