month,day,avg_daytime_temperature,years_sampled
1,1,30.45,1
1,2,29.64,1
1,3,28.57,1
1,4,28.08,1
1,5,29.21,1
1,6,28.95,1
1,7,27.54,1
1,8,26.48,1
1,9,25.53,1
1,10,26.17,1
1,11,25.9,1
1,12,27.22,1
1,13,28.8,1
1,14,29.51,1
1,15,29.97,1
1,16,30.02,1
1,17,29.85,1
1,18,29.86,1
1,19,31.44,1
1,20,30.32,1
1,21,28.95,1
1,22,29.62,1
1,23,28.31,1
1,24,28.7,1
1,25,29.22,1
1,26,29.42,1
1,27,30.04,1
1,28,29.95,1
1,29,30.59,1
1,30,30.82,1
1,31,31.16,1
2,1,30.02,1
2,2,29.86,1
2,3,29.8,1
2,4,31.04,1
2,5,32.06,1
2,6,31.55,1
2,7,31.31,1
2,8,29.81,1
2,9,29.19,1
2,10,30.93,1
2,11,32.29,1
2,12,31.14,1
2,13,31.08,1
2,14,31.52,1
2,15,31.59,1
2,16,32.49,1
2,17,31.22,1
2,18,29.44,1
2,19,31.3,1
2,20,30.96,1
2,21,31.86,1
2,22,32.78,1
2,23,30.74,1
2,24,30.55,1
2,25,30.31,1
2,26,31.06,1
2,27,32.19,1
2,28,32.11,1
3,1,33.02,1
3,2,33.86,1
3,3,33.83,1
3,4,33.16,1
3,5,32.4,1
3,6,31.62,1
3,7,32.51,1
3,8,32.15,1
3,9,33.42,1
3,10,32.2,1
3,11,32.49,1
3,12,28.74,1
3,13,29.56,1
3,14,31.44,1
3,15,31.89,1
3,16,30.83,1
3,17,30.68,1
3,18,31.0,1
3,19,30.91,1
3,20,30.72,1
3,21,31.31,1
3,22,31.92,1
3,23,32.02,1
3,24,32.12,1
3,25,32.91,1
3,26,33.32,1
3,27,32.54,1
3,28,32.67,1
3,29,32.28,1
3,30,32.1,1
3,31,32.81,1
4,1,33.01,1
4,2,32.84,1
4,3,32.57,1
4,4,33.15,1
4,5,34.49,1
4,6,34.82,1
4,7,34.7,1
4,8,34.68,1
4,9,33.82,1
4,10,32.88,1
4,11,33.62,1
4,12,34.37,1
4,13,34.5,1
4,14,34.63,1
4,15,34.29,1
4,16,34.24,1
4,17,32.98,1
4,18,33.7,1
4,19,32.78,1
4,20,32.27,1
4,21,31.58,1
4,22,33.22,1
4,23,32.06,1
4,24,32.16,1
4,25,32.55,1
4,26,32.04,1
4,27,33.42,1
4,28,33.09,1
4,29,33.14,1
4,30,31.78,1
5,1,32.21,1
5,2,32.9,1
5,3,33.1,1
5,4,32.87,1
5,5,31.77,1
5,6,32.17,1
5,7,31.04,1
5,8,30.4,1
5,9,31.45,1
5,10,31.96,1
5,11,31.81,1
5,12,28.68,1
5,13,31.16,1
5,14,31.63,1
5,15,31.68,1
5,16,31.58,1
5,17,31.84,1
5,18,31.75,1
5,19,30.97,1
5,20,29.75,1
5,21,31.52,1
5,22,30.95,1
5,23,30.75,1
5,24,32.05,1
5,25,32.42,1
5,26,31.86,1
5,27,32.84,1
5,28,32.75,1
5,29,31.35,1
5,30,30.94,1
5,31,30.9,1
6,1,31.12,1
6,2,31.48,1
6,3,32.46,1
6,4,31.77,1
6,5,31.75,1
6,6,30.96,1
6,7,30.43,1
6,8,30.38,1
6,9,29.98,1
6,10,29.79,1
6,11,29.48,1
6,12,28.42,1
6,13,29.99,1
6,14,30.25,1
6,15,30.68,1
6,16,30.18,1
6,17,31.56,1
6,18,30.69,1
6,19,28.98,1
6,20,29.01,1
6,21,31.36,1
6,22,32.0,1
6,23,32.04,1
6,24,32.48,1
6,25,31.41,1
6,26,30.83,1
6,27,30.8,1
6,28,30.09,1
6,29,30.72,1
6,30,31.42,1
7,1,31.42,1
7,2,30.38,1
7,3,30.32,1
7,4,27.55,1
7,5,29.34,1
7,6,28.78,1
7,7,30.36,1
7,8,31.68,1
7,9,31.0,1
7,10,32.07,1
7,11,31.82,1
7,12,28.9,1
7,13,28.31,1
7,14,30.01,1
7,15,30.78,1
7,16,29.64,1
7,17,28.23,1
7,18,31.53,1
7,19,31.74,1
7,20,32.28,1
7,21,31.68,1
7,22,31.11,1
7,23,29.14,1
7,24,30.45,1
7,25,31.79,1
7,26,30.72,1
7,27,30.03,1
7,28,28.98,1
7,29,28.09,1
7,30,28.75,1
7,31,27.98,1
8,1,29.58,1
8,2,29.27,1
8,3,31.02,1
8,4,30.54,1
8,5,29.93,1
8,6,30.18,1
8,7,29.52,1
8,8,29.51,1
8,9,29.02,1
8,10,29.44,1
8,11,28.97,1
8,12,29.72,1
8,13,30.27,1
8,14,29.9,1
8,15,30.87,1
8,16,30.96,1
8,17,29.78,1
8,18,29.66,1
8,19,29.32,1
8,20,27.85,1
8,21,28.81,1
8,22,28.67,1
8,23,27.67,1
8,24,30.89,1
8,25,30.6,1
8,26,29.36,1
8,27,29.89,1
8,28,28.82,1
8,29,28.27,1
8,30,29.94,1
8,31,28.01,1
9,1,29.29,1
9,2,29.38,1
9,3,31.37,1
9,4,31.78,1
9,5,31.76,1
9,6,30.59,1
9,7,29.97,1
9,8,29.89,1
9,9,30.22,1
9,10,29.01,1
