month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.0,1
1,10,0.0,1
1,11,0.0,1
1,12,0.0,1
1,13,0.0,1
1,14,0.0,1
1,15,0.0,1
1,16,0.1,1
1,17,1.1,1
1,18,1.8,1
1,19,1.8,1
1,20,2.1,1
1,21,9.1,1
1,22,14.2,1
1,23,14.2,1
1,24,14.2,1
1,25,14.2,1
1,26,14.2,1
1,27,14.2,1
1,28,14.2,1
1,29,14.2,1
1,30,14.2,1
1,31,14.4,1
2,1,15.9,1
2,2,15.9,1
2,3,15.9,1
2,4,15.9,1
2,5,15.9,1
2,6,16.9,1
2,7,17.1,1
2,8,21.9,1
2,9,28.9,1
2,10,28.9,1
2,11,28.9,1
2,12,29.3,1
2,13,29.7,1
2,14,29.8,1
2,15,30.9,1
2,16,31.2,1
2,17,33.5,1
2,18,38.5,1
2,19,38.5,1
2,20,38.5,1
2,21,38.8,1
2,22,43.1,1
2,23,43.2,1
2,24,44.2,1
2,25,45.6,1
2,26,46.9,1
2,27,47.8,1
2,28,49.1,1
3,1,50.5,1
3,2,50.5,1
3,3,50.5,1
3,4,50.5,1
3,5,50.5,1
3,6,50.6,1
3,7,50.7,1
3,8,51.5,1
3,9,51.5,1
3,10,51.7,1
3,11,51.8,1
3,12,52.2,1
3,13,52.7,1
3,14,57.0,1
3,15,57.1,1
3,16,57.7,1
3,17,59.0,1
3,18,59.4,1
3,19,64.6,1
3,20,67.6,1
3,21,67.6,1
3,22,69.7,1
3,23,70.2,1
3,24,71.5,1
3,25,71.8,1
3,26,71.9,1
3,27,71.9,1
3,28,71.9,1
3,29,71.9,1
3,30,71.9,1
3,31,71.9,1
4,1,72.9,1
4,2,72.9,1
4,3,72.9,1
4,4,72.9,1
4,5,72.9,1
4,6,72.9,1
4,7,72.9,1
4,8,72.9,1
4,9,72.9,1
4,10,76.2,1
4,11,76.2,1
4,12,76.2,1
4,13,76.2,1
4,14,77.3,1
4,15,77.3,1
4,16,77.6,1
4,17,82.8,1
4,18,83.2,1
4,19,87.5,1
4,20,89.9,1
4,21,91.9,1
4,22,93.2,1
4,23,99.7,1
4,24,101.9,1
4,25,102.0,1
4,26,103.6,1
4,27,103.6,1
4,28,107.3,1
4,29,115.1,1
4,30,115.9,1
5,1,117.9,1
5,2,121.9,1
5,3,125.0,1
5,4,125.9,1
5,5,130.5,1
5,6,131.8,1
5,7,136.3,1
5,8,150.9,1
5,9,151.2,1
5,10,152.0,1
5,11,153.7,1
5,12,157.5,1
5,13,164.4,1
5,14,166.7,1
5,15,174.0,1
5,16,184.5,1
5,17,186.0,1
5,18,187.0,1
5,19,191.8,1
5,20,196.4,1
5,21,197.6,1
5,22,201.6,1
5,23,202.6,1
5,24,203.9,1
5,25,205.9,1
5,26,208.5,1
5,27,215.2,1
5,28,217.7,1
5,29,219.1,1
5,30,220.7,1
5,31,253.9,1
6,1,254.4,1
6,2,261.1,1
6,3,265.9,1
6,4,272.3,1
6,5,278.1,1
6,6,283.1,1
6,7,286.3,1
6,8,292.4,1
6,9,307.7,1
6,10,318.7,1
6,11,333.5,1
6,12,351.4,1
6,13,354.1,1
6,14,360.1,1
6,15,369.1,1
6,16,381.3,1
6,17,385.4,1
6,18,387.4,1
6,19,416.8,1
6,20,430.1,1
6,21,433.3,1
6,22,437.1,1
6,23,443.7,1
6,24,445.9,1
6,25,454.1,1
6,26,459.4,1
6,27,467.3,1
6,28,479.3,1
6,29,483.7,1
6,30,486.2,1
7,1,488.9,1
7,2,497.2,1
7,3,500.7,1
7,4,505.5,1
7,5,514.6,1
7,6,528.4,1
7,7,532.0,1
7,8,533.9,1
7,9,534.8,1
7,10,535.3,1
7,11,536.2,1
7,12,543.6,1
7,13,553.0,1
7,14,557.7,1
7,15,560.5,1
7,16,567.0,1
7,17,573.9,1
7,18,575.1,1
7,19,576.8,1
7,20,576.9,1
7,21,584.7,1
7,22,602.5,1
7,23,617.0,1
7,24,625.7,1
7,25,628.4,1
7,26,631.4,1
7,27,642.2,1
7,28,648.5,1
7,29,666.9,1
7,30,681.3,1
7,31,701.2,1
8,1,711.4,1
8,2,723.2,1
8,3,724.7,1
8,4,729.7,1
8,5,743.8,1
8,6,747.3,1
8,7,760.7,1
8,8,770.9,1
8,9,773.6,1
8,10,781.0,1
8,11,785.3,1
8,12,791.7,1
8,13,795.4,1
8,14,805.6,1
8,15,807.5,1
8,16,811.0,1
8,17,820.3,1
8,18,834.9,1
8,19,842.5,1
8,20,859.1,1
8,21,862.9,1
8,22,872.9,1
8,23,896.2,1
8,24,896.8,1
8,25,899.5,1
8,26,901.5,1
8,27,911.5,1
8,28,925.5,1
8,29,944.0,1
8,30,948.6,1
8,31,963.6,1
9,1,966.7,1
9,2,976.1,1
9,3,981.5,1
9,4,981.8,1
9,5,983.5,1
9,6,995.2,1
9,7,1001.6,1
9,8,1016.4,1
9,9,1022.9,1
9,10,1037.7,1
9,11,1044.9,1
9,12,1065.7,1
9,13,1071.0,1
9,14,1075.8,1
9,15,1101.2,1
9,16,1114.9,1
9,17,1121.8,1
9,18,1135.8,1
9,19,1159.2,1
9,20,1175.4,1
9,21,1185.0,1
9,22,1195.4,1
9,23,1207.9,1
9,24,1223.8,1
9,25,1344.1,1
