month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,1.4,1
1,4,4.6,1
1,5,5.7,1
1,6,5.7,1
1,7,5.7,1
1,8,5.7,1
1,9,5.7,1
1,10,5.8,1
1,11,5.8,1
1,12,5.8,1
1,13,5.8,1
1,14,5.8,1
1,15,5.8,1
1,16,5.9,1
1,17,41.8,1
1,18,54.2,1
1,19,59.6,1
1,20,102.6,1
1,21,103.4,1
1,22,105.6,1
1,23,105.6,1
1,24,133.2,1
1,25,133.2,1
1,26,133.5,1
1,27,138.0,1
1,28,138.2,1
1,29,138.2,1
1,30,138.6,1
1,31,139.1,1
2,1,139.4,1
2,2,142.1,1
2,3,142.1,1
2,4,142.8,1
2,5,145.3,1
2,6,145.3,1
2,7,145.3,1
2,8,150.6,1
2,9,150.9,1
2,10,153.6,1
2,11,158.0,1
2,12,158.0,1
2,13,176.5,1
2,14,176.7,1
2,15,176.7,1
2,16,176.7,1
2,17,176.7,1
2,18,176.7,1
2,19,176.7,1
2,20,176.7,1
2,21,176.7,1
2,22,176.7,1
2,23,176.7,1
2,24,176.7,1
2,25,176.7,1
2,26,176.7,1
2,27,176.7,1
2,28,177.6,1
3,1,180.1,1
3,2,180.2,1
3,3,181.3,1
3,4,181.3,1
3,5,217.5,1
3,6,252.8,1
3,7,265.1,1
3,8,271.8,1
3,9,275.3,1
3,10,275.4,1
3,11,275.4,1
3,12,275.7,1
3,13,275.7,1
3,14,293.5,1
3,15,293.5,1
3,16,293.5,1
3,17,293.5,1
3,18,293.6,1
3,19,293.6,1
3,20,293.6,1
3,21,293.6,1
3,22,293.7,1
3,23,294.0,1
3,24,294.0,1
3,25,294.0,1
3,26,294.8,1
3,27,294.8,1
3,28,294.8,1
3,29,295.0,1
3,30,295.0,1
3,31,295.0,1
4,1,295.2,1
4,2,295.4,1
4,3,295.4,1
4,4,295.4,1
4,5,295.4,1
4,6,295.4,1
4,7,295.4,1
4,8,295.4,1
4,9,295.4,1
4,10,295.4,1
4,11,295.4,1
4,12,302.4,1
4,13,308.2,1
4,14,308.2,1
4,15,308.2,1
4,16,308.2,1
4,17,308.2,1
4,18,308.2,1
4,19,308.2,1
4,20,308.2,1
4,21,308.2,1
4,22,308.2,1
4,23,308.2,1
4,24,308.2,1
4,25,308.2,1
4,26,308.2,1
4,27,308.2,1
4,28,308.2,1
4,29,308.2,1
4,30,308.4,1
5,1,308.6,1
5,2,311.0,1
5,3,313.0,1
5,4,319.3,1
5,5,320.3,1
5,6,320.9,1
5,7,322.1,1
5,8,322.5,1
5,9,338.4,1
5,10,339.0,1
5,11,339.0,1
5,12,347.8,1
5,13,351.3,1
5,14,351.3,1
5,15,353.7,1
5,16,353.7,1
5,17,355.1,1
5,18,358.2,1
5,19,358.6,1
5,20,358.6,1
5,21,358.6,1
5,22,358.6,1
5,23,358.6,1
5,24,358.6,1
5,25,358.6,1
5,26,358.6,1
5,27,358.6,1
5,28,358.6,1
5,29,358.6,1
5,30,358.6,1
5,31,358.6,1
6,1,358.7,1
6,2,358.7,1
6,3,358.7,1
6,4,375.4,1
6,5,378.9,1
6,6,378.9,1
6,7,378.9,1
6,8,378.9,1
6,9,381.3,1
6,10,384.2,1
6,11,384.9,1
6,12,384.9,1
6,13,384.9,1
6,14,384.9,1
6,15,385.0,1
6,16,385.0,1
6,17,385.0,1
6,18,385.0,1
6,19,385.0,1
6,20,385.0,1
6,21,385.0,1
6,22,385.0,1
6,23,385.0,1
6,24,385.0,1
6,25,385.0,1
6,26,385.0,1
6,27,385.0,1
6,28,385.0,1
6,29,386.4,1
6,30,386.8,1
7,1,386.8,1
7,2,386.8,1
7,3,386.8,1
7,4,386.8,1
7,5,386.8,1
7,6,386.8,1
7,7,386.8,1
7,8,386.8,1
7,9,386.8,1
7,10,386.8,1
7,11,386.8,1
7,12,386.8,1
7,13,386.8,1
7,14,386.8,1
7,15,386.8,1
7,16,386.8,1
7,17,386.8,1
7,18,386.8,1
7,19,386.8,1
7,20,386.8,1
7,21,386.9,1
7,22,386.9,1
7,23,386.9,1
7,24,386.9,1
7,25,389.4,1
7,26,389.9,1
7,27,389.9,1
7,28,389.9,1
7,29,389.9,1
7,30,389.9,1
7,31,389.9,1
8,1,389.9,1
8,2,389.9,1
8,3,389.9,1
8,4,390.2,1
8,5,390.2,1
8,6,393.9,1
8,7,394.1,1
8,8,394.1,1
8,9,394.1,1
8,10,394.1,1
8,11,394.1,1
8,12,394.1,1
8,13,394.1,1
8,14,394.1,1
8,15,394.2,1
8,16,395.3,1
8,17,395.5,1
8,18,396.7,1
8,19,396.7,1
8,20,397.9,1
8,21,402.9,1
8,22,403.6,1
8,23,403.7,1
8,24,406.4,1
8,25,406.4,1
8,26,406.9,1
8,27,406.9,1
8,28,406.9,1
8,29,406.9,1
8,30,406.9,1
8,31,406.9,1
9,1,406.9,1
9,2,406.9,1
9,3,406.9,1
9,4,406.9,1
9,5,406.9,1
9,6,406.9,1
9,7,406.9,1
9,8,406.9,1
9,9,419.4,1
9,10,419.4,1
9,11,419.4,1
9,12,420.8,1
9,13,420.8,1
9,14,420.8,1
9,15,420.8,1
9,16,435.2,1
9,17,443.1,1
9,18,444.9,1
9,19,445.8,1
9,20,445.8,1
9,21,445.8,1
9,22,445.8,1
9,23,445.8,1
9,24,445.8,1
9,25,445.8,1
9,26,445.8,1
