month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.0,1
1,10,0.0,1
1,11,0.0,1
1,12,0.0,1
1,13,0.0,1
1,14,0.0,1
1,15,0.0,1
1,16,0.0,1
1,17,1.4,1
1,18,2.5,1
1,19,2.5,1
1,20,2.5,1
1,21,2.5,1
1,22,2.5,1
1,23,2.5,1
1,24,2.5,1
1,25,2.5,1
1,26,2.5,1
1,27,2.5,1
1,28,2.5,1
1,29,2.5,1
1,30,2.5,1
1,31,2.5,1
2,1,2.5,1
2,2,2.5,1
2,3,2.5,1
2,4,2.5,1
2,5,2.5,1
2,6,2.5,1
2,7,2.5,1
2,8,2.5,1
2,9,2.5,1
2,10,2.5,1
2,11,2.5,1
2,12,2.5,1
2,13,2.5,1
2,14,2.5,1
2,15,2.5,1
2,16,2.5,1
2,17,2.5,1
2,18,2.5,1
2,19,2.5,1
2,20,2.5,1
2,21,2.5,1
2,22,2.5,1
2,23,2.5,1
2,24,2.5,1
2,25,2.5,1
2,26,3.1,1
2,27,4.7,1
2,28,4.9,1
3,1,4.9,1
3,2,7.4,1
3,3,7.4,1
3,4,10.6,1
3,5,11.3,1
3,6,11.3,1
3,7,11.3,1
3,8,11.3,1
3,9,11.3,1
3,10,12.7,1
3,11,12.7,1
3,12,12.7,1
3,13,12.9,1
3,14,12.9,1
3,15,12.9,1
3,16,12.9,1
3,17,18.5,1
3,18,18.7,1
3,19,18.7,1
3,20,18.7,1
3,21,18.7,1
3,22,18.7,1
3,23,18.7,1
3,24,18.7,1
3,25,18.7,1
3,26,18.7,1
3,27,18.7,1
3,28,18.7,1
3,29,18.7,1
3,30,18.7,1
3,31,18.7,1
4,1,18.7,1
4,2,18.7,1
4,3,19.7,1
4,4,19.7,1
4,5,19.7,1
4,6,19.7,1
4,7,19.7,1
4,8,20.3,1
4,9,26.3,1
4,10,26.3,1
4,11,26.3,1
4,12,26.3,1
4,13,27.9,1
4,14,28.9,1
4,15,28.9,1
4,16,39.5,1
4,17,39.8,1
4,18,39.8,1
4,19,40.7,1
4,20,40.7,1
4,21,40.7,1
4,22,40.7,1
4,23,40.7,1
4,24,40.7,1
4,25,40.7,1
4,26,40.7,1
4,27,44.0,1
4,28,44.0,1
4,29,44.0,1
4,30,44.0,1
5,1,44.0,1
5,2,45.3,1
5,3,45.3,1
5,4,45.3,1
5,5,45.3,1
5,6,45.3,1
5,7,45.3,1
5,8,45.3,1
5,9,45.3,1
5,10,45.3,1
5,11,45.3,1
5,12,45.3,1
5,13,45.3,1
5,14,45.3,1
5,15,48.4,1
5,16,52.9,1
5,17,99.5,1
5,18,104.7,1
5,19,104.7,1
5,20,106.8,1
5,21,106.9,1
5,22,138.6,1
5,23,138.6,1
5,24,138.6,1
5,25,147.3,1
5,26,147.3,1
5,27,147.3,1
5,28,147.3,1
5,29,147.3,1
5,30,147.3,1
5,31,147.3,1
6,1,147.3,1
6,2,147.3,1
6,3,147.8,1
6,4,151.7,1
6,5,151.7,1
6,6,166.3,1
6,7,167.8,1
6,8,168.0,1
6,9,168.2,1
6,10,171.7,1
6,11,171.7,1
6,12,172.2,1
6,13,174.7,1
6,14,174.7,1
6,15,177.2,1
6,16,189.9,1
6,17,191.6,1
6,18,193.1,1
6,19,210.1,1
6,20,210.3,1
6,21,210.3,1
6,22,210.3,1
6,23,212.6,1
6,24,217.3,1
6,25,217.3,1
6,26,217.3,1
6,27,218.4,1
6,28,219.9,1
6,29,228.8,1
6,30,230.7,1
7,1,231.0,1
7,2,231.1,1
7,3,233.5,1
7,4,234.0,1
7,5,235.4,1
7,6,235.5,1
7,7,241.5,1
7,8,241.8,1
7,9,243.9,1
7,10,271.1,1
7,11,307.6,1
7,12,331.0,1
7,13,331.1,1
7,14,331.1,1
7,15,331.1,1
7,16,331.6,1
7,17,331.6,1
7,18,332.4,1
7,19,332.6,1
7,20,342.8,1
7,21,343.0,1
7,22,345.9,1
7,23,350.3,1
7,24,351.8,1
7,25,352.9,1
7,26,354.2,1
7,27,355.0,1
7,28,356.1,1
7,29,356.6,1
7,30,360.2,1
7,31,361.6,1
8,1,362.2,1
8,2,369.0,1
8,3,378.2,1
8,4,378.4,1
8,5,379.6,1
8,6,380.9,1
8,7,391.0,1
8,8,391.0,1
8,9,391.0,1
8,10,391.0,1
8,11,394.7,1
8,12,423.3,1
8,13,434.2,1
8,14,435.9,1
8,15,448.6,1
8,16,454.7,1
8,17,454.7,1
8,18,456.1,1
8,19,458.3,1
8,20,459.2,1
8,21,466.2,1
8,22,468.6,1
8,23,477.8,1
8,24,489.2,1
8,25,518.7,1
8,26,526.0,1
8,27,527.2,1
8,28,534.7,1
8,29,534.7,1
8,30,534.7,1
8,31,534.7,1
9,1,534.7,1
9,2,534.7,1
9,3,534.7,1
9,4,534.7,1
9,5,534.7,1
9,6,534.7,1
9,7,545.4,1
9,8,548.2,1
9,9,548.2,1
9,10,548.2,1
9,11,548.2,1
9,12,548.2,1
9,13,548.2,1
9,14,548.2,1
9,15,548.2,1
9,16,548.2,1
9,17,548.2,1
