month,day,avg_daytime_temperature,years_sampled
1,1,2.33,1
1,2,1.81,1
1,3,0.23,1
1,4,-2.06,1
1,5,-2.68,1
1,6,-4.44,1
1,7,-5.6,1
1,8,-7.05,1
1,9,-7.19,1
1,10,-5.61,1
1,11,-5.49,1
1,12,-5.56,1
1,13,1.44,1
1,14,4.8,1
1,15,4.31,1
1,16,5.51,1
1,17,2.51,1
1,18,2.38,1
1,19,2.4,1
1,20,-0.48,1
1,21,-1.24,1
1,22,-2.76,1
1,23,-5.44,1
1,24,-2.63,1
1,25,-1.83,1
1,26,0.18,1
1,27,-0.19,1
1,28,0.27,1
1,29,-0.92,1
1,30,-2.11,1
1,31,-4.41,1
2,1,-7.13,1
2,2,-8.59,1
2,3,-6.67,1
2,4,-5.58,1
2,5,-2.49,1
2,6,1.23,1
2,7,1.98,1
2,8,0.61,1
2,9,0.84,1
2,10,2.94,1
2,11,5.95,1
2,12,6.63,1
2,13,1.26,1
2,14,0.59,1
2,15,-1.28,1
2,16,-3.05,1
2,17,-1.86,1
2,18,-1.87,1
2,19,-2.44,1
2,20,-2.16,1
2,21,6.41,1
2,22,8.62,1
2,23,8.54,1
2,24,7.2,1
2,25,6.87,1
2,26,9.08,1
2,27,13.05,1
2,28,13.9,1
3,1,8.49,1
3,2,9.19,1
3,3,9.37,1
3,4,7.48,1
3,5,7.11,1
3,6,8.98,1
3,7,10.55,1
3,8,10.16,1
3,9,10.47,1
3,10,11.08,1
3,11,12.74,1
3,12,10.62,1
3,13,12.08,1
3,14,10.73,1
3,15,6.31,1
3,16,6.04,1
3,17,7.53,1
3,18,8.99,1
3,19,10.11,1
3,20,9.29,1
3,21,8.14,1
3,22,9.89,1
3,23,11.22,1
3,24,12.12,1
3,25,10.85,1
3,26,5.68,1
3,27,4.87,1
3,28,6.49,1
3,29,6.88,1
3,30,6.1,1
3,31,6.7,1
4,1,7.47,1
4,2,8.05,1
4,3,7.56,1
4,4,12.8,1
4,5,14.42,1
4,6,10.04,1
4,7,8.88,1
4,8,9.38,1
4,9,7.7,1
4,10,5.93,1
4,11,9.43,1
4,12,8.81,1
4,13,11.78,1
4,14,11.55,1
4,15,12.49,1
4,16,15.82,1
4,17,16.57,1
4,18,17.46,1
4,19,12.17,1
4,20,8.25,1
4,21,9.37,1
4,22,11.49,1
4,23,10.97,1
4,24,11.19,1
4,25,11.25,1
4,26,10.51,1
4,27,12.67,1
4,28,11.77,1
4,29,11.09,1
4,30,14.49,1
5,1,18.63,1
5,2,21.6,1
5,3,24.09,1
5,4,20.73,1
5,5,16.75,1
5,6,11.87,1
5,7,9.09,1
5,8,10.67,1
5,9,13.25,1
5,10,16.01,1
5,11,13.52,1
5,12,8.71,1
5,13,9.89,1
5,14,10.05,1
5,15,11.75,1
5,16,11.71,1
5,17,13.82,1
5,18,15.71,1
5,19,16.66,1
5,20,18.2,1
5,21,18.18,1
5,22,20.38,1
5,23,23.08,1
5,24,23.98,1
5,25,21.43,1
5,26,24.56,1
5,27,19.72,1
5,28,17.35,1
5,29,21.51,1
5,30,20.46,1
5,31,18.95,1
6,1,19.19,1
6,2,22.69,1
6,3,18.11,1
6,4,20.04,1
6,5,18.09,1
6,6,20.32,1
6,7,19.24,1
6,8,20.85,1
6,9,18.7,1
6,10,16.87,1
6,11,16.09,1
6,12,15.56,1
6,13,17.13,1
6,14,14.39,1
6,15,15.47,1
6,16,17.43,1
6,17,20.03,1
6,18,25.66,1
6,19,27.96,1
6,20,25.68,1
6,21,24.68,1
6,22,22.69,1
6,23,23.05,1
6,24,26.89,1
6,25,30.34,1
6,26,29.88,1
6,27,33.94,1
6,28,34.49,1
6,29,25.08,1
6,30,24.85,1
7,1,22.51,1
7,2,23.14,1
7,3,19.45,1
7,4,16.89,1
7,5,19.81,1
7,6,17.3,1
7,7,20.24,1
7,8,17.89,1
7,9,19.06,1
7,10,22.61,1
7,11,23.62,1
7,12,26.38,1
7,13,24.89,1
7,14,21.71,1
7,15,22.78,1
7,16,25.45,1
7,17,24.03,1
7,18,21.22,1
7,19,17.8,1
7,20,16.27,1
7,21,18.95,1
7,22,16.93,1
7,23,17.17,1
7,24,17.77,1
7,25,22.77,1
7,26,21.93,1
7,27,19.08,1
7,28,19.77,1
7,29,25.22,1
7,30,32.33,1
7,31,26.73,1
8,1,19.39,1
8,2,20.43,1
8,3,23.33,1
8,4,25.66,1
8,5,27.12,1
8,6,24.19,1
8,7,18.74,1
8,8,19.79,1
8,9,25.35,1
8,10,25.17,1
8,11,18.95,1
8,12,21.34,1
8,13,24.27,1
8,14,27.26,1
8,15,29.63,1
8,16,20.27,1
8,17,18.2,1
8,18,18.29,1
8,19,18.64,1
8,20,19.98,1
8,21,20.86,1
8,22,18.24,1
8,23,16.79,1
8,24,17.24,1
8,25,20.11,1
8,26,20.9,1
8,27,23.3,1
8,28,24.29,1
8,29,22.78,1
8,30,24.23,1
8,31,20.98,1
9,1,19.61,1
9,2,18.73,1
9,3,19.27,1
9,4,21.58,1
9,5,17.28,1
9,6,16.68,1
9,7,16.85,1
9,8,23.24,1
9,9,19.02,1
9,10,16.18,1
9,11,16.85,1
9,12,18.4,1
9,13,18.55,1
9,14,16.78,1
9,15,19.65,1
9,16,17.79,1
9,17,16.35,1
9,18,17.42,1
9,19,17.48,1
9,20,18.44,1
9,21,14.96,1
9,22,15.21,1
