month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.8,1
1,3,5.6,1
1,4,5.6,1
1,5,5.6,1
1,6,6.0,1
1,7,8.6,1
1,8,19.8,1
1,9,54.2,1
1,10,78.2,1
1,11,79.0,1
1,12,79.0,1
1,13,79.0,1
1,14,81.1,1
1,15,82.8,1
1,16,82.9,1
1,17,89.3,1
1,18,91.7,1
1,19,97.6,1
1,20,98.9,1
1,21,108.1,1
1,22,116.4,1
1,23,125.6,1
1,24,136.9,1
1,25,161.5,1
1,26,179.8,1
1,27,193.6,1
1,28,199.7,1
1,29,202.7,1
1,30,226.1,1
1,31,257.0,1
2,1,259.7,1
2,2,261.4,1
2,3,261.4,1
2,4,265.6,1
2,5,276.0,1
2,6,278.0,1
2,7,278.1,1
2,8,284.1,1
2,9,294.1,1
2,10,341.4,1
2,11,352.5,1
2,12,365.4,1
2,13,381.0,1
2,14,390.4,1
2,15,400.3,1
2,16,449.5,1
2,17,449.8,1
2,18,457.5,1
2,19,477.7,1
2,20,478.9,1
2,21,478.9,1
2,22,478.9,1
2,23,478.9,1
2,24,478.9,1
2,25,478.9,1
2,26,478.9,1
2,27,479.1,1
2,28,485.1,1
3,1,485.1,1
3,2,485.1,1
3,3,485.1,1
3,4,485.1,1
3,5,486.2,1
3,6,492.8,1
3,7,493.4,1
3,8,500.2,1
3,9,500.3,1
3,10,500.9,1
3,11,502.0,1
3,12,502.0,1
3,13,507.1,1
3,14,535.8,1
3,15,543.2,1
3,16,544.0,1
3,17,544.0,1
3,18,544.0,1
3,19,544.0,1
3,20,544.0,1
3,21,544.0,1
3,22,548.3,1
3,23,549.0,1
3,24,549.0,1
3,25,551.1,1
3,26,551.7,1
3,27,551.7,1
3,28,553.7,1
3,29,557.4,1
3,30,563.9,1
3,31,564.7,1
4,1,567.3,1
4,2,574.4,1
4,3,574.4,1
4,4,574.4,1
4,5,574.4,1
4,6,574.4,1
4,7,574.4,1
4,8,574.4,1
4,9,574.4,1
4,10,574.4,1
4,11,587.5,1
4,12,591.6,1
4,13,597.0,1
4,14,597.0,1
4,15,597.0,1
4,16,597.1,1
4,17,597.1,1
4,18,597.1,1
4,19,597.2,1
4,20,599.5,1
4,21,602.5,1
4,22,602.5,1
4,23,602.5,1
4,24,602.5,1
4,25,603.6,1
4,26,604.1,1
4,27,613.1,1
4,28,632.4,1
4,29,634.7,1
4,30,645.2,1
5,1,646.2,1
5,2,664.5,1
5,3,675.9,1
5,4,685.0,1
5,5,697.2,1
5,6,709.6,1
5,7,709.6,1
5,8,718.8,1
5,9,719.1,1
5,10,722.5,1
5,11,725.2,1
5,12,726.7,1
5,13,730.6,1
5,14,746.8,1
5,15,772.6,1
5,16,782.7,1
5,17,783.6,1
5,18,784.1,1
5,19,784.1,1
5,20,784.1,1
5,21,784.1,1
5,22,784.1,1
5,23,784.1,1
5,24,784.1,1
5,25,784.2,1
5,26,784.2,1
5,27,784.2,1
5,28,784.2,1
5,29,784.2,1
5,30,784.4,1
5,31,786.0,1
6,1,786.0,1
6,2,789.3,1
6,3,791.5,1
6,4,804.5,1
6,5,808.2,1
6,6,808.8,1
6,7,808.8,1
6,8,809.1,1
6,9,810.3,1
6,10,810.7,1
6,11,810.8,1
6,12,810.8,1
6,13,810.8,1
6,14,810.8,1
6,15,810.8,1
6,16,810.8,1
6,17,810.8,1
6,18,810.8,1
6,19,811.0,1
6,20,811.0,1
6,21,811.0,1
6,22,811.0,1
6,23,811.0,1
6,24,811.0,1
6,25,814.1,1
6,26,814.3,1
6,27,814.7,1
6,28,821.3,1
6,29,825.4,1
6,30,825.4,1
7,1,825.7,1
7,2,825.7,1
7,3,827.3,1
7,4,827.3,1
7,5,827.3,1
7,6,827.3,1
7,7,827.3,1
7,8,827.3,1
7,9,827.3,1
7,10,828.5,1
7,11,828.5,1
7,12,828.5,1
7,13,828.8,1
7,14,828.8,1
7,15,829.1,1
7,16,830.2,1
7,17,832.1,1
7,18,832.1,1
7,19,832.1,1
7,20,832.1,1
7,21,832.1,1
7,22,832.1,1
7,23,832.1,1
7,24,832.1,1
7,25,853.6,1
7,26,858.4,1
7,27,861.3,1
7,28,861.3,1
7,29,861.3,1
7,30,861.6,1
7,31,862.4,1
8,1,862.4,1
8,2,862.4,1
8,3,871.7,1
8,4,871.7,1
8,5,875.7,1
8,6,875.7,1
8,7,875.7,1
8,8,877.3,1
8,9,880.5,1
8,10,883.7,1
8,11,883.8,1
8,12,883.8,1
8,13,883.8,1
8,14,883.8,1
8,15,884.6,1
8,16,886.2,1
8,17,886.2,1
8,18,887.1,1
8,19,887.4,1
8,20,902.9,1
8,21,919.4,1
8,22,919.6,1
8,23,926.5,1
8,24,927.8,1
8,25,929.4,1
8,26,929.4,1
8,27,930.4,1
8,28,930.5,1
8,29,930.5,1
8,30,930.7,1
8,31,931.1,1
9,1,931.1,1
9,2,931.1,1
9,3,931.1,1
9,4,931.1,1
9,5,931.1,1
9,6,931.1,1
9,7,931.1,1
9,8,935.6,1
9,9,939.3,1
9,10,939.3,1
9,11,939.3,1
9,12,939.3,1
9,13,939.3,1
9,14,939.3,1
9,15,939.9,1
9,16,942.8,1
9,17,942.9,1
9,18,944.7,1
