month,day,avg_accumulated_precipitation,years_sampled
1,1,0.2,1
1,2,1.1,1
1,3,1.8,1
1,4,3.5,1
1,5,10.4,1
1,6,26.2,1
1,7,27.2,1
1,8,27.4,1
1,9,30.0,1
1,10,30.5,1
1,11,32.5,1
1,12,34.3,1
1,13,35.4,1
1,14,36.2,1
1,15,36.7,1
1,16,38.0,1
1,17,39.1,1
1,18,39.1,1
1,19,39.1,1
1,20,42.0,1
1,21,47.0,1
1,22,49.5,1
1,23,51.8,1
1,24,54.9,1
1,25,57.1,1
1,26,59.6,1
1,27,79.2,1
1,28,90.4,1
1,29,96.1,1
1,30,97.0,1
1,31,97.5,1
2,1,99.1,1
2,2,102.2,1
2,3,102.4,1
2,4,102.4,1
2,5,102.6,1
2,6,121.9,1
2,7,127.2,1
2,8,127.9,1
2,9,127.9,1
2,10,128.2,1
2,11,129.1,1
2,12,131.3,1
2,13,133.0,1
2,14,133.0,1
2,15,134.3,1
2,16,135.0,1
2,17,136.5,1
2,18,136.9,1
2,19,137.7,1
2,20,137.9,1
2,21,138.7,1
2,22,142.6,1
2,23,145.1,1
2,24,152.6,1
2,25,152.9,1
2,26,153.2,1
2,27,153.3,1
2,28,153.4,1
3,1,153.6,1
3,2,153.6,1
3,3,153.6,1
3,4,155.2,1
3,5,156.1,1
3,6,156.8,1
3,7,156.9,1
3,8,157.4,1
3,9,160.0,1
3,10,161.4,1
3,11,162.9,1
3,12,166.7,1
3,13,172.7,1
3,14,175.5,1
3,15,177.9,1
3,16,180.1,1
3,17,183.5,1
3,18,199.8,1
3,19,200.9,1
3,20,201.0,1
3,21,202.7,1
3,22,210.7,1
3,23,212.8,1
3,24,222.8,1
3,25,224.0,1
3,26,224.3,1
3,27,230.2,1
3,28,235.1,1
3,29,237.9,1
3,30,247.0,1
3,31,254.2,1
4,1,255.1,1
4,2,260.3,1
4,3,261.8,1
4,4,263.7,1
4,5,264.0,1
4,6,264.8,1
4,7,266.2,1
4,8,266.4,1
4,9,266.7,1
4,10,267.0,1
4,11,267.2,1
4,12,267.3,1
4,13,269.0,1
4,14,273.9,1
4,15,283.9,1
4,16,286.3,1
4,17,301.4,1
4,18,303.7,1
4,19,306.4,1
4,20,308.4,1
4,21,313.4,1
4,22,314.5,1
4,23,320.0,1
4,24,321.7,1
4,25,323.9,1
4,26,332.6,1
4,27,346.3,1
4,28,347.3,1
4,29,353.7,1
4,30,353.7,1
5,1,353.7,1
5,2,355.1,1
5,3,355.9,1
5,4,357.6,1
5,5,357.9,1
5,6,358.0,1
5,7,358.3,1
5,8,358.5,1
5,9,358.5,1
5,10,358.6,1
5,11,359.1,1
5,12,360.3,1
5,13,361.7,1
5,14,362.7,1
5,15,363.8,1
5,16,365.6,1
5,17,367.7,1
5,18,370.3,1
5,19,370.7,1
5,20,371.2,1
5,21,379.4,1
5,22,385.9,1
5,23,387.7,1
5,24,390.1,1
5,25,391.2,1
5,26,395.2,1
5,27,398.1,1
5,28,405.9,1
5,29,407.2,1
5,30,408.3,1
5,31,411.4,1
6,1,411.9,1
6,2,412.7,1
6,3,413.4,1
6,4,413.9,1
6,5,415.1,1
6,6,416.5,1
6,7,418.8,1
6,8,430.8,1
6,9,441.0,1
6,10,441.8,1
6,11,441.8,1
6,12,442.6,1
6,13,443.4,1
6,14,444.6,1
6,15,447.2,1
6,16,448.5,1
6,17,451.2,1
6,18,451.9,1
6,19,454.0,1
6,20,455.0,1
6,21,455.5,1
6,22,457.1,1
6,23,457.1,1
6,24,457.6,1
6,25,458.4,1
6,26,459.2,1
6,27,460.2,1
6,28,462.5,1
6,29,466.2,1
6,30,469.8,1
7,1,470.4,1
7,2,472.9,1
7,3,475.2,1
7,4,482.1,1
7,5,484.7,1
7,6,484.7,1
7,7,484.9,1
7,8,485.3,1
7,9,488.8,1
7,10,490.5,1
7,11,491.1,1
7,12,492.2,1
7,13,492.3,1
7,14,493.5,1
7,15,495.4,1
7,16,498.5,1
7,17,500.1,1
7,18,501.9,1
7,19,505.0,1
7,20,508.8,1
7,21,508.8,1
7,22,508.8,1
7,23,513.2,1
7,24,513.4,1
7,25,514.2,1
7,26,516.0,1
7,27,516.1,1
7,28,516.5,1
7,29,518.9,1
7,30,520.5,1
7,31,520.5,1
8,1,521.2,1
8,2,521.8,1
8,3,522.6,1
8,4,522.8,1
8,5,524.5,1
8,6,526.4,1
8,7,527.9,1
8,8,528.0,1
8,9,529.7,1
8,10,529.7,1
8,11,530.4,1
8,12,531.6,1
8,13,532.3,1
8,14,534.0,1
8,15,536.7,1
8,16,545.1,1
8,17,553.2,1
8,18,553.8,1
8,19,554.0,1
8,20,554.5,1
8,21,556.1,1
8,22,558.0,1
8,23,558.7,1
8,24,559.2,1
8,25,559.6,1
8,26,560.9,1
8,27,562.8,1
8,28,566.7,1
8,29,568.3,1
8,30,571.8,1
8,31,572.2,1
9,1,572.4,1
9,2,573.9,1
9,3,574.5,1
9,4,575.4,1
9,5,575.8,1
9,6,576.7,1
9,7,578.3,1
9,8,579.0,1
9,9,581.9,1
9,10,582.4,1
9,11,583.2,1
9,12,583.4,1
9,13,586.8,1
9,14,587.5,1
9,15,588.7,1
9,16,589.4,1
9,17,589.9,1
9,18,591.2,1
9,19,592.3,1
9,20,593.0,1
9,21,593.0,1
9,22,593.6,1
9,23,593.9,1
9,24,595.0,1
9,25,596.4,1
9,26,597.0,1
